Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
Morocco,MENA,c,2020,PF,5,5,1,2,2,5,2,1,1,1,5,1,1,1,3,0,N/A,13,1,2,2,2,7,1,2,2,5,1,1,2,1,5,2,2,2,1,7,24,37
Mozambique,SSA,c,2020,PF,5,4,1,1,1,3,2,1,2,2,7,1,1,2,4,0,N/A,14,2,3,2,2,9,2,2,2,6,2,2,1,2,7,3,2,2,2,9,31,45
Myanmar,Asia,c,2020,NF,5,6,2,2,1,5,3,3,2,1,9,2,1,1,4,4,N/A,14,1,1,1,2,5,2,2,2,6,0,1,0,0,1,1,1,1,1,4,16,30
Nagorno-Karabakh,Eurasia,t,2020,PF,5,5,1,2,1,4,2,2,1,1,6,1,1,1,3,0,N/A,13,2,1,1,3,7,2,2,1,5,1,1,1,1,4,1,1,2,1,5,21,34
Namibia,SSA,c,2020,F,2,2,4,4,3,11,3,3,3,3,12,3,3,2,8,0,N/A,31,3,4,4,3,14,3,4,4,11,3,3,3,2,11,3,3,2,2,10,46,77
Nauru,Asia,c,2020,F,2,3,4,4,4,12,4,3,4,3,14,3,3,2,8,0,N/A,34,2,4,4,3,13,3,3,3,9,2,2,3,2,9,3,3,3,3,12,43,77
Nepal,Asia,c,2020,PF,3,4,3,4,3,10,3,3,2,2,10,3,1,1,5,0,N/A,25,2,2,3,3,10,3,2,2,7,2,1,2,1,6,3,2,2,1,8,31,56
Netherlands,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,4,16,59,99
New Zealand,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,4,3,15,57,97
Nicaragua,Americas,c,2020,NF,6,5,1,1,1,3,1,0,1,2,4,1,1,1,3,0,N/A,10,1,2,2,2,7,0,0,2,2,1,0,1,2,4,2,2,2,2,8,21,31
Niger,SSA,c,2020,PF,4,4,2,2,2,6,2,2,2,2,8,2,2,2,6,0,N/A,20,2,2,3,3,10,2,2,2,6,1,2,1,2,6,2,2,1,1,6,28,48
Nigeria,SSA,c,2020,PF,4,5,2,2,2,6,3,3,2,2,10,2,2,2,6,0,N/A,22,2,1,3,3,9,2,2,3,7,2,1,0,1,4,1,2,1,1,5,25,47
North Korea,Asia,c,2020,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3
North Macedonia,Europe,c,2020,PF,3,3,2,2,3,7,3,3,2,3,11,2,2,2,6,0,N/A,24,3,3,3,3,12,3,3,2,8,2,2,3,2,9,3,3,2,2,10,39,63
Northern Cyprus,Europe,t,2020,F,2,2,4,4,3,11,4,4,3,2,13,3,2,2,7,0,N/A,31,4,3,4,4,15,4,4,3,11,4,3,3,3,13,3,3,3,2,11,50,81
Norway,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
Oman,MENA,c,2020,NF,6,5,0,1,1,2,0,0,1,1,2,0,2,0,2,0,N/A,6,1,2,1,1,5,0,1,2,3,0,1,2,1,4,1,2,1,1,5,17,23
Pakistan,Asia,c,2020,PF,5,5,1,2,2,5,2,2,1,1,6,1,1,3,5,0,N/A,16,1,1,2,2,6,3,1,2,6,1,1,1,1,4,2,2,1,1,6,22,38
Pakistani Kashmir,Asia,t,2020,NF,6,5,1,2,1,4,1,1,1,1,4,1,1,1,3,2,N/A,9,1,1,2,2,6,1,1,2,4,1,1,1,0,3,2,2,1,1,6,19,28
Palau,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,92
Panama,Americas,c,2020,F,1,2,4,4,4,12,4,4,4,3,15,4,2,3,9,0,N/A,36,3,4,4,4,15,4,4,3,11,2,2,3,3,10,4,3,3,2,12,48,84
