Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
Venezuela,Americas,c,2017,NF,6,5,2,2,1,5,1,1,1,3,6,0,0,0,0,0,0,11,1,3,2,2,8,1,1,1,3,0,0,0,1,1,2,1,3,1,7,19,30
Vietnam,Asia,c,2017,NF,7,5,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,3,1,1,1,1,4,1,0,0,1,1,1,1,1,4,2,1,3,2,8,17,20
West Bank,MENA,t,2017,NF,7,5,0,0,2,2,1,0,1,2,4,0,1,1,2,3,0,5,1,2,2,3,8,1,2,2,5,2,2,0,1,5,1,1,2,1,5,23,28
Western Sahara,MENA,t,2017,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-3,0,2,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,0,4,7,4
Yemen,MENA,c,2017,NF,7,6,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,2,1,2,1,1,5,1,1,1,3,1,0,0,1,2,0,1,1,0,2,12,14
Zambia,SSA,c,2017,PF,4,4,2,2,2,6,2,3,3,3,11,2,2,2,6,0,0,23,1,3,3,3,10,2,2,3,7,2,2,2,2,8,3,2,1,2,8,33,56
Zimbabwe,SSA,c,2017,PF,5,5,1,1,1,3,2,2,1,1,6,1,1,1,3,0,0,12,1,3,2,2,8,1,2,1,4,2,0,0,1,3,2,1,1,1,5,20,32
Abkhazia,Eurasia,t,2016,PF,4,5,3,2,1,6,2,3,2,1,8,2,1,2,5,0,0,19,2,2,1,3,8,3,2,1,6,1,1,1,1,4,1,1,2,1,5,23,42
Afghanistan,Asia,c,2016,NF,6,6,1,0,1,2,2,1,1,2,6,1,1,0,2,0,0,10,2,1,1,2,6,2,1,1,4,1,0,0,1,2,0,1,0,1,2,14,24
Albania,Europe,c,2016,PF,3,3,3,3,2,8,3,4,3,3,13,3,1,2,6,0,0,27,2,4,3,4,13,4,3,2,9,2,2,2,3,9,3,2,2,2,9,40,67
Algeria,MENA,c,2016,NF,6,5,1,2,1,4,1,1,1,1,4,1,1,1,3,0,0,11,1,1,2,3,7,2,1,2,5,1,1,1,2,5,2,2,2,1,7,24,35
Andorra,Europe,c,2016,F,1,1,4,4,4,12,4,4,3,4,15,4,4,4,12,0,0,39,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,4,4,15,57,96
Angola,SSA,c,2016,NF,6,6,0,2,1,3,2,1,1,2,6,1,0,0,1,0,0,10,1,1,2,1,5,1,1,1,3,1,1,0,1,3,1,1,1,0,3,14,24
Antigua and Barbuda,Americas,c,2016,F,2,2,4,4,4,12,3,4,3,3,13,3,2,3,8,0,0,33,2,4,4,4,14,3,3,3,9,3,3,4,3,13,4,3,3,3,13,49,82
Argentina,Americas,c,2016,F,2,2,4,4,3,11,4,3,4,3,14,3,1,2,6,0,0,31,2,4,4,4,14,4,4,3,11,2,3,2,3,10,3,3,4,3,13,48,79
Armenia,Eurasia,c,2016,PF,5,4,1,2,2,5,2,2,1,2,7,1,1,2,4,0,0,16,2,2,2,3,9,2,2,2,6,1,1,2,2,6,3,2,2,2,9,30,46
Australia,Asia,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,3,15,58,98
Austria,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,0,37,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,3,15,58,95
Azerbaijan,Eurasia,c,2016,NF,7,6,0,0,1,1,1,0,1,1,3,0,1,0,1,0,0,5,0,1,1,1,3,0,0,1,1,0,1,0,1,2,1,1,2,1,5,11,16
Bahamas,Americas,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,0,38,4,4,4,4,16,4,4,4,12,3,4,4,2,13,3,4,3,3,13,54,92
Bahrain,MENA,c,2016,NF,7,6,0,1,1,2,1,1,0,0,2,1,2,0,3,3,0,4,0,1,0,1,2,0,0,1,1,0,1,0,0,1,1,2,2,1,6,10,14
Bangladesh,Asia,c,2016,PF,4,4,2,2,3,7,2,2,2,3,9,2,1,2,5,0,0,21,1,2,2,2,7,2,2,2,6,2,1,2,1,6,3,2,2,2,9,28,49
Barbados,Americas,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,3,4,15,58,98
Belarus,Eurasia,c,2016,NF,7,6,0,0,0,0,1,0,1,1,3,0,1,0,1,0,0,4,1,1,0,1,3,0,1,0,1,0,1,0,1,2,2,2,2,1,7,13,17
Belgium,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,3,4,4,15,4,4,4,12,4,3,4,3,14,4,4,4,3,15,56,96
Belize,Americas,c,2016,F,1,2,4,4,4,12,4,4,4,2,14,4,2,4,10,0,0,36,3,4,4,4,15,3,4,4,11,3,3,3,3,12,4,3,3,3,13,51,87
Benin,SSA,c,2016,F,2,2,3,3,3,9,4,4,4,4,16,3,2,3,8,0,0,33,3,4,4,4,15,4,4,4,12,3,3,3,3,12,3,3,2,2,10,49,82
Bhutan,Asia,c,2016,PF,3,4,3,4,3,10,3,4,2,1,10,3,3,4,10,1,0,29,2,2,2,3,9,2,1,1,4,3,1,1,1,6,2,2,2,2,8,27,56
Bolivia,Americas,c,2016,PF,3,3,4,4,3,11,3,2,3,3,11,3,2,2,7,0,0,29,2,4,4,4,14,3,3,3,9,1,1,2,2,6,3,2,3,2,10,39,68
Bosnia and Herzegovina,Europe,c,2016,PF,4,3,3,3,2,8,3,3,2,2,10,2,1,1,4,0,0,22,2,3,2,3,10,3,2,2,7,2,2,2,2,8,3,2,3,2,10,35,57
Botswana,SSA,c,2016,F,3,2,3,4,3,10,3,2,3,2,10,3,3,2,8,0,0,28,2,4,3,3,12,4,4,2,10,3,3,3,3,12,3,3,2,3,11,45,73
Brazil,Americas,c,2016,F,2,2,4,3,4,11,4,4,3,3,14,3,2,3,8,0,0,33,3,4,4,4,15,3,4,3,10,3,2,2,3,10,4,3,3,3,13,48,81
Brunei,Asia,c,2016,NF,6,5,0,0,0,0,1,0,1,1,3,0,2,1,3,0,1,7,1,1,2,2,6,1,1,1,3,1,2,2,1,6,2,2,1,2,7,22,29
Bulgaria,Europe,c,2016,F,2,2,4,4,3,11,4,4,3,3,14,4,2,2,8,0,0,33,3,3,4,4,14,4,4,3,11,3,2,3,2,10,4,3,3,2,12,47,80
Burkina Faso,SSA,c,2016,PF,4,3,2,2,2,6,2,2,2,3,9,2,2,2,6,0,0,21,3,4,3,4,14,2,3,3,8,2,2,2,2,8,3,2,1,2,8,38,59
Burundi,SSA,c,2016,NF,7,6,0,0,1,1,1,0,0,3,4,0,0,0,0,0,0,5,0,3,2,1,6,0,1,1,2,0,0,0,1,1,1,2,1,1,5,14,19
Cabo Verde,SSA,c,2016,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,0,37,3,4,4,4,15,4,4,3,11,4,3,4,3,14,4,3,3,3,13,53,90
Cambodia,Asia,c,2016,NF,6,5,1,1,2,4,1,1,1,1,4,1,1,1,3,0,0,11,1,3,2,3,9,1,1,1,3,0,1,1,1,3,2,1,2,1,6,21,32
Cameroon,SSA,c,2016,NF,6,6,1,1,1,3,1,0,1,1,3,1,1,1,3,0,0,9,1,2,2,2,7,1,1,1,3,0,1,0,0,1,1,1,1,1,4,15,24
Canada,Americas,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,4,16,59,99
Central African Republic,SSA,c,2016,NF,7,7,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,2,1,4,0,0,1,1,0,0,0,0,0,0,0,1,0,1,6,7
Chad,SSA,c,2016,NF,7,6,1,0,1,2,1,0,0,0,1,1,0,0,1,0,0,4,1,1,3,2,7,2,1,2,5,0,1,0,0,1,1,1,0,1,3,16,20
Chile,Americas,c,2016,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,0,38,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,4,3,15,57,95
China,Asia,c,2016,NF,7,6,0,0,0,0,0,0,0,1,1,0,1,1,2,2,0,1,1,0,1,2,4,1,1,1,3,1,1,0,0,2,1,1,2,2,6,15,16
Colombia,Americas,c,2016,PF,3,4,4,3,3,10,3,3,2,3,11,3,2,3,8,0,0,29,2,4,3,3,12,2,2,1,5,3,1,1,2,7,3,2,3,2,10,34,63
Comoros,SSA,c,2016,PF,3,4,3,3,3,9,3,3,3,2,11,2,1,1,4,0,0,24,2,2,3,3,10,2,2,3,7,2,2,2,2,8,2,2,1,1,6,31,55
Congo (Brazzaville),SSA,c,2016,NF,6,5,0,1,0,1,1,0,0,1,2,1,1,1,3,0,0,6,1,3,1,2,7,1,2,3,6,0,1,1,0,2,2,2,2,1,7,22,28
Congo (Kinshasa),SSA,c,2016,NF,6,6,1,1,1,3,1,1,1,1,4,1,0,1,2,0,0,9,1,3,2,2,8,1,1,1,3,0,0,0,0,0,2,1,1,1,5,16,25
Costa Rica,Americas,c,2016,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,0,37,4,4,4,4,16,4,4,3,11,4,3,3,3,13,4,3,3,3,13,53,90
Cote d'Ivoire,SSA,c,2016,PF,4,4,3,2,2,7,2,2,2,2,8,3,1,1,5,0,0,20,2,3,3,3,11,2,3,2,7,1,1,2,2,6,2,2,1,2,7,31,51
Crimea,Eurasia,t,2016,NF,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,1,1,2,2,6,10,9
Croatia,Europe,c,2016,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,0,37,3,3,4,4,14,4,4,4,12,3,3,3,2,11,4,3,3,3,13,50,87
Cuba,Americas,c,2016,NF,7,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,0,1,5,0,0,0,0,0,1,1,1,3,1,1,3,1,6,14,15
Cyprus,Europe,c,2016,F,1,1,4,4,3,11,4,4,4,4,16,4,3,4,11,0,0,38,4,4,3,4,15,4,4,4,12,4,4,4,3,15,3,4,4,3,14,56,94
Czech Republic,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,0,38,4,4,4,4,16,4,4,4,12,3,4,4,3,14,4,4,4,3,15,57,95
Denmark,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,3,4,15,58,98
Djibouti,SSA,c,2016,NF,6,5,1,1,1,3,1,0,1,1,3,1,1,1,3,0,0,9,1,1,2,2,6,0,1,2,3,0,2,1,1,4,2,2,1,1,6,19,28
Dominica,Americas,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,0,38,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,3,4,15,57,95
Dominican Republic,Americas,c,2016,PF,3,3,4,3,3,10,4,2,3,1,10,4,2,3,9,0,0,29,2,4,4,4,14,3,4,3,10,3,2,2,1,8,2,3,2,2,9,41,70
Ecuador,Americas,c,2016,PF,3,3,3,3,1,7,3,2,3,3,11,3,1,2,6,0,0,24,1,4,4,3,12,2,2,3,7,1,1,2,2,6,3,2,3,2,10,35,59
Egypt,MENA,c,2016,NF,6,5,1,1,1,3,1,0,1,2,4,0,1,1,2,0,0,9,1,1,1,2,5,1,1,2,4,1,0,0,1,2,2,2,2,1,7,18,27
El Salvador,Americas,c,2016,F,2,3,4,3,3,10,4,4,3,3,14,3,3,3,9,0,0,33,2,4,3,3,12,3,3,2,8,3,2,1,2,8,2,2,2,2,8,36,69
Equatorial Guinea,SSA,c,2016,NF,7,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,4,0,0,0,0,0,0,0,0,0,1,1,1,0,3,7,8
Eritrea,SSA,c,2016,NF,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,3
Estonia,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,0,38,4,4,4,4,16,4,4,4,12,4,3,4,3,14,4,4,3,3,14,56,94
Eswatini,SSA,c,2016,NF,7,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,1,2,7,0,1,1,2,1,1,1,1,4,1,1,1,1,4,17,18
Ethiopia,SSA,c,2016,NF,7,6,0,0,1,1,0,0,0,0,0,0,2,1,3,0,0,4,0,2,1,0,3,0,0,0,0,1,1,0,1,3,2,1,1,1,5,11,15
Fiji,Asia,c,2016,PF,3,3,3,3,3,9,3,2,3,3,11,3,2,2,7,0,0,27,2,3,3,3,11,2,2,1,5,2,2,3,2,9,3,3,2,2,10,35,62
Finland,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
France,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,0,38,4,3,4,3,14,3,4,4,11,4,3,3,3,13,4,4,4,3,15,53,91
Gabon,SSA,c,2016,NF,6,5,0,1,1,2,1,1,1,1,4,1,1,1,3,0,0,9,1,3,3,3,10,1,1,2,4,1,2,2,1,6,2,1,1,1,5,25,34
Gaza Strip,MENA,t,2016,NF,7,6,0,0,0,0,1,0,0,1,2,0,1,0,1,0,0,3,0,1,1,2,4,1,1,1,3,0,0,0,0,0,0,1,1,0,2,9,12
Georgia,Eurasia,c,2016,PF,3,3,3,3,3,9,3,3,3,2,11,3,2,2,7,0,0,27,2,2,4,3,11,3,3,2,8,2,2,2,2,8,3,2,3,2,10,37,64
Germany,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,0,39,4,3,4,4,15,4,4,4,12,4,4,3,3,14,4,4,4,3,15,56,95
Ghana,SSA,c,2016,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,0,37,3,3,4,4,14,4,4,3,11,2,3,3,3,11,3,3,2,2,10,46,83
Greece,Europe,c,2016,F,2,2,4,4,4,12,4,4,4,3,15,3,2,3,8,0,0,35,3,3,4,4,14,3,4,4,11,3,3,2,2,10,4,3,3,3,13,48,83
Grenada,Americas,c,2016,F,1,2,4,4,4,12,4,4,4,4,16,4,3,3,10,0,0,38,3,4,4,4,15,4,4,3,11,3,3,3,3,12,4,3,3,3,13,51,89
Guatemala,Americas,c,2016,PF,4,4,3,3,2,8,3,3,2,2,10,2,2,1,5,0,0,23,2,4,3,3,12,2,2,2,6,1,2,1,1,5,3,2,2,1,8,31,54
Guinea,SSA,c,2016,PF,5,5,3,1,2,6,2,2,2,2,8,1,1,1,3,0,0,17,1,3,2,3,9,1,2,2,5,1,1,1,1,4,1,2,1,1,5,23,40
Guinea-Bissau,SSA,c,2016,PF,5,5,2,3,2,7,3,2,1,2,8,1,0,0,1,0,0,16,1,3,3,3,10,1,2,2,5,1,0,0,2,3,2,1,1,1,5,23,39
Guyana,Americas,c,2016,F,2,3,4,4,3,11,4,4,3,2,13,4,2,2,8,0,0,32,3,4,4,4,15,3,4,3,10,2,2,2,2,8,3,2,2,2,9,42,74
Haiti,Americas,c,2016,PF,5,5,2,1,1,4,2,1,2,3,8,2,1,2,5,0,0,17,2,3,2,3,10,2,1,1,4,1,1,1,1,4,2,2,2,0,6,24,41
Honduras,Americas,c,2016,PF,4,4,2,3,2,7,3,3,1,2,9,1,1,1,3,0,0,19,1,4,2,2,9,2,1,2,5,1,1,1,1,4,2,2,2,2,8,26,45
Hong Kong,Asia,t,2016,PF,5,2,0,2,1,3,2,1,1,3,7,1,3,2,6,0,0,16,2,4,2,4,12,2,4,2,8,3,4,4,3,14,3,3,4,3,13,47,63
Hungary,Europe,c,2016,F,2,2,3,3,3,9,4,4,4,3,15,3,3,2,8,0,0,32,2,4,3,4,13,4,3,4,11,2,3,3,2,10,4,3,3,3,13,47,79
Iceland,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
India,Asia,c,2016,F,2,3,4,4,4,12,4,4,3,3,14,4,2,3,9,0,0,35,3,3,3,4,13,4,3,3,10,3,2,2,2,9,3,3,2,2,10,42,77
Indian Kashmir,Asia,t,2016,PF,4,4,3,3,3,9,2,3,2,2,9,2,1,1,4,0,0,22,2,2,2,3,9,2,2,2,6,1,2,2,1,6,2,2,2,2,8,29,51
Indonesia,Asia,c,2016,PF,2,4,4,4,3,11,4,4,3,3,14,3,1,2,6,0,0,31,3,1,4,4,12,2,3,3,8,2,1,1,1,5,3,2,2,2,9,34,65
Iran,MENA,c,2016,NF,6,6,1,1,1,3,0,1,0,1,2,1,0,1,2,0,0,7,0,0,1,1,2,0,0,1,1,1,1,0,1,3,1,1,1,1,4,10,17
Iraq,MENA,c,2016,NF,5,6,2,3,3,8,2,2,0,1,5,1,0,1,2,3,0,12,1,1,1,2,5,2,2,2,6,0,0,0,0,0,1,1,1,1,4,15,27
Ireland,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,0,39,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,3,4,15,57,96
Israel,MENA,c,2016,F,1,2,4,4,4,12,3,4,4,3,14,4,3,3,10,0,0,36,3,3,3,3,12,3,3,4,10,4,3,2,2,11,3,3,3,2,11,44,80
Italy,Europe,c,2016,F,1,1,4,4,4,12,4,4,3,3,14,4,3,3,10,0,0,36,3,4,4,4,15,4,4,4,12,3,3,3,3,12,4,3,4,3,14,53,89
Jamaica,Americas,c,2016,F,2,3,4,4,4,12,4,4,2,3,13,4,3,2,9,0,0,34,4,4,4,3,15,3,3,3,9,2,2,2,1,7,3,2,2,3,10,41,75
Japan,Asia,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,3,3,14,56,96
Jordan,MENA,c,2016,NF,6,5,0,1,1,2,2,1,1,2,6,0,2,1,3,0,0,11,1,2,2,2,7,1,2,1,4,2,1,1,2,6,2,2,2,2,8,25,36
Kazakhstan,Eurasia,c,2016,NF,6,5,1,0,1,2,1,0,1,1,3,0,1,0,1,0,0,6,0,1,2,1,4,1,1,0,2,1,1,1,1,4,2,2,2,2,8,18,24
Kenya,SSA,c,2016,PF,4,4,2,3,2,7,3,3,2,2,10,2,1,2,5,0,0,22,2,2,4,3,11,2,2,2,6,2,1,1,1,5,2,1,2,2,7,29,51
Kiribati,Asia,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,2,2,8,0,0,36,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,3,3,3,13,55,91
Kosovo,Europe,c,2016,PF,3,4,3,3,3,9,3,3,2,2,10,2,1,2,5,0,0,24,2,2,2,3,9,2,2,2,6,1,1,2,2,6,2,1,2,2,7,28,52
Kuwait,MENA,c,2016,PF,5,5,0,1,1,2,2,2,2,1,7,1,1,2,4,0,0,13,1,2,2,1,6,1,2,1,4,1,2,2,2,7,2,1,2,1,6,23,36
Kyrgyzstan,Eurasia,c,2016,PF,5,5,2,2,2,6,2,2,1,1,6,1,1,2,4,2,0,14,2,1,3,3,9,1,1,2,4,1,1,1,1,4,2,2,2,1,7,24,38
Laos,Asia,c,2016,NF,7,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,1,4,0,0,0,0,0,0,1,1,2,1,1,2,1,5,11,12
Latvia,Europe,c,2016,F,2,2,4,4,4,12,4,4,3,3,14,3,3,3,9,0,0,35,3,4,4,4,15,4,4,4,12,3,3,3,3,12,4,3,3,2,12,51,86
Lebanon,MENA,c,2016,PF,5,4,0,0,2,2,3,3,1,2,9,0,1,1,2,0,0,13,2,3,3,3,11,2,3,2,7,1,2,1,1,5,2,2,2,1,7,30,43
Lesotho,SSA,c,2016,PF,3,3,3,4,3,10,4,3,2,3,12,2,2,2,6,0,0,28,2,4,4,4,14,2,3,2,7,3,2,2,2,9,3,2,2,2,9,39,67
Liberia,SSA,c,2016,PF,3,4,3,3,3,9,3,3,3,3,12,3,2,2,7,0,0,28,2,2,3,3,10,3,3,2,8,2,1,2,2,7,2,2,2,2,8,33,61
Libya,MENA,c,2016,NF,6,6,1,1,2,4,1,0,0,1,2,0,0,0,0,0,0,6,1,1,2,2,6,1,2,0,3,1,0,0,0,1,0,1,2,1,4,14,20
Liechtenstein,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,0,39,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,4,16,59,98
Lithuania,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,0,38,4,4,4,4,16,4,4,3,11,4,3,3,3,13,4,3,3,3,13,53,91
Luxembourg,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,0,38,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,98
Madagascar,SSA,c,2016,PF,3,4,3,3,3,9,3,3,2,2,10,2,1,2,5,0,0,24,2,2,3,3,10,2,3,3,8,1,1,2,2,6,3,2,1,2,8,32,56
Malawi,SSA,c,2016,PF,3,3,3,3,2,8,3,3,3,3,12,3,2,2,7,0,0,27,3,4,3,3,13,3,2,3,8,3,2,2,2,9,2,2,1,2,7,37,64
Malaysia,Asia,c,2016,PF,4,4,2,2,2,6,2,2,2,1,7,2,1,2,5,0,0,18,2,1,2,2,7,2,2,2,6,1,2,1,1,5,3,3,2,1,9,27,45
Maldives,Asia,c,2016,PF,4,5,2,3,2,7,2,2,1,1,6,3,2,1,6,0,0,19,1,1,2,2,6,1,2,2,5,1,1,2,2,6,2,2,1,2,7,24,43
Mali,SSA,c,2016,PF,5,4,2,2,2,6,2,2,1,2,7,2,1,1,4,0,0,17,3,3,3,3,12,2,2,2,6,2,2,1,1,6,1,1,1,1,4,28,45
Malta,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,0,39,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,3,3,14,57,96
Marshall Islands,Asia,c,2016,F,1,1,4,4,4,12,3,4,4,4,15,4,3,3,10,0,0,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,92
Mauritania,SSA,c,2016,NF,6,5,1,1,1,3,1,1,0,0,2,1,2,1,4,0,0,9,2,2,3,2,9,1,1,2,4,1,1,1,1,4,1,2,1,0,4,21,30
Mauritius,SSA,c,2016,F,1,2,4,4,4,12,4,4,4,3,15,4,3,4,11,0,0,38,3,4,4,4,15,4,4,4,12,3,4,3,3,13,4,3,3,2,12,52,90
Mexico,Americas,c,2016,PF,3,3,3,3,3,9,3,4,2,3,12,2,2,3,7,0,0,28,2,4,4,3,13,3,3,2,8,2,1,1,2,6,3,2,3,2,10,37,65
Micronesia,Asia,c,2016,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,0,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,4,3,3,14,56,93
Moldova,Eurasia,c,2016,PF,3,3,4,3,3,10,4,3,1,3,11,3,0,1,4,0,0,25,2,3,3,3,11,3,3,2,8,2,1,2,2,7,3,2,2,2,9,35,60
Monaco,Europe,c,2016,F,2,1,2,4,4,10,3,3,2,3,11,3,4,3,10,0,0,31,4,4,4,4,16,4,4,4,12,3,4,4,4,15,4,3,3,4,14,57,88
Mongolia,Asia,c,2016,F,1,2,4,4,3,11,4,4,4,4,16,4,2,3,9,0,0,36,3,4,4,4,15,4,4,3,11,3,3,3,3,12,4,3,3,2,12,50,86
Montenegro,Europe,c,2016,PF,3,3,3,3,3,9,3,2,3,3,11,3,2,2,7,0,0,27,2,3,3,4,12,3,3,3,9,2,2,3,3,10,3,3,3,3,12,43,70
Morocco,MENA,c,2016,PF,5,4,1,2,2,5,2,2,1,2,7,1,1,1,3,0,0,15,1,2,2,3,8,1,2,2,5,1,2,2,1,6,2,2,2,1,7,26,41
Mozambique,SSA,c,2016,PF,4,4,2,2,2,6,2,2,3,3,10,2,2,2,6,0,0,22,2,4,2,3,11,2,3,2,7,2,2,1,2,7,3,2,2,2,9,34,56
Myanmar,Asia,c,2016,NF,6,5,0,2,1,3,2,3,2,1,8,2,0,1,3,3,0,11,2,1,1,3,7,1,2,1,4,0,1,0,0,1,2,1,1,1,5,17,28
Nagorno-Karabakh,Eurasia,t,2016,PF,5,5,2,2,2,6,2,2,1,1,6,1,1,1,3,0,0,15,1,1,1,3,6,1,1,1,3,1,1,1,1,4,1,1,2,1,5,18,33
Namibia,SSA,c,2016,F,2,2,4,3,3,10,3,2,3,3,11,3,3,3,9,0,0,30,3,4,4,3,14,4,4,4,12,3,3,3,2,11,3,3,2,2,10,47,77
Nauru,Asia,c,2016,F,2,2,4,4,4,12,4,3,4,4,15,3,3,2,8,0,0,35,2,4,4,3,13,3,4,3,10,3,3,3,3,12,4,4,3,3,14,49,84
Nepal,Asia,c,2016,PF,3,4,3,3,3,9,3,3,2,3,11,3,1,1,5,0,0,25,2,2,2,3,9,1,2,2,5,2,1,1,1,5,2,2,2,1,7,26,51
Netherlands,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,4,16,59,99
New Zealand,Asia,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,3,15,58,98
Nicaragua,Americas,c,2016,PF,4,3,2,2,2,6,2,1,1,3,7,2,2,2,6,0,0,19,2,4,3,3,12,2,2,2,6,1,2,2,2,7,3,3,2,2,10,35,54
Niger,SSA,c,2016,PF,3,4,3,3,2,8,3,2,2,2,9,3,2,2,7,0,0,24,2,3,3,3,11,2,2,2,6,1,2,1,1,5,2,2,1,1,6,28,52
Nigeria,SSA,c,2016,PF,4,5,3,3,3,9,3,3,2,2,10,2,2,1,5,1,0,23,2,1,3,3,9,2,2,3,7,2,1,0,1,4,1,2,1,1,5,25,48
North Korea,Asia,c,2016,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3
North Macedonia,Europe,c,2016,PF,4,3,2,1,3,6,3,2,2,3,10,2,2,2,6,0,0,22,2,3,3,2,10,3,3,2,8,2,2,1,2,7,3,3,2,2,10,35,57
Northern Cyprus,Europe,t,2016,F,2,2,4,4,3,11,4,4,2,2,12,3,3,3,9,0,0,32,3,3,4,4,14,3,3,3,9,3,3,3,3,12,3,3,3,3,12,47,79
Norway,Europe,c,2016,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
Oman,MENA,c,2016,NF,6,5,0,1,1,2,0,0,1,1,2,0,2,0,2,0,2,8,1,2,1,1,5,0,1,2,3,0,1,2,1,4,1,2,1,1,5,17,25
Pakistan,Asia,c,2016,PF,4,5,3,2,2,7,3,3,1,1,8,1,1,3,5,0,0,20,1,1,1,2,5,3,1,2,6,2,1,0,1,4,2,2,1,1,6,21,41
