Country,iso3,WHO_region,income_group,Nx
Togo,TGO,AFRO,LIC,8278737
Thailand,THA,SEARO,UMIC,69799978
Tajikistan,TJK,EURO,LIC,9537642
Turkmenistan,TKM,EURO,UMIC,6031187
Timor-Leste,TLS,SEARO,LMIC,1318442
Tonga,TON,WPRO,UMIC,105697
Trinidad and Tobago,TTO,AMRO,HIC,1399491
Tunisia,TUN,EMRO,LMIC,11818618
Turkey,TUR,EURO,UMIC,84339067
Tuvalu,TUV,WPRO,UMIC,11792
United Republic of Tanzania,TZA,AFRO,LMIC,59734213
Uganda,UGA,AFRO,LIC,45741000
Ukraine,UKR,EURO,LMIC,43733759
Uruguay,URY,AMRO,HIC,3473727
United States of America,USA,AMRO,HIC,331002647
Uzbekistan,UZB,EURO,LMIC,33469199
Saint Vincent and the Grenadines,VCT,AMRO,UMIC,110947
Venezuela (Bolivarian Republic of),VEN,AMRO,UMIC,28435943
Viet Nam,VNM,WPRO,LMIC,97338583
Vanuatu,VUT,WPRO,LMIC,307150
Samoa,WSM,WPRO,UMIC,198410
Yemen,YEM,EMRO,LIC,29825968
South Africa,ZAF,AFRO,UMIC,59308690
Zambia,ZMB,AFRO,LMIC,18383956
Zimbabwe,ZWE,AFRO,LMIC,14862927
