country,iso3c,world_bank_nominal_gdp_2018
Puerto Rico,PRI,31621.89347
Portugal,PRT,23562.55452
Paraguay,PRY,5805.675616
West Bank and Gaza,PSE,3562.330943
Pacific island small states,PSS,4341.143524
Post-demographic dividend,PST,45321.99861
Qatar,QAT,65908.0669
Romania,ROU,12399.88934
Russian Federation,RUS,11370.81346
Rwanda,RWA,783.2871842
South Asia,SAS,1898.971004
Saudi Arabia,SAU,23338.96346
Sudan,SDN,623.8672524
Senegal,SEN,1465.591006
Singapore,SGP,66188.7794
Solomon Islands,SLB,2441.517393
Sierra Leone,SLE,533.9911843
El Salvador,SLV,4067.659449
San Marino,SMR,48995.142
Serbia,SRB,7252.401858
Sub-Saharan Africa (excluding high income),SSA,1583.532021
Sub-Saharan Africa,SSF,1596.166175
Small states,SST,13013.75137
Sao Tome and Principe,STP,1953.58829
Suriname,SUR,6015.164607
Slovak Republic,SVK,19406.34753
Slovenia,SVN,26115.91337
Sweden,SWE,54589.06039
Eswatini,SWZ,4106.197153
Sint Maarten (Dutch part),SXM,29160.10381
Seychelles,SYC,16390.82491
Turks and Caicos Islands,TCA,29554.70596
Chad,TCD,726.1498811
East Asia & Pacific (IDA & IBRD countries),TEA,8055.429563
Europe & Central Asia (IDA & IBRD countries),TEC,8894.670685
Togo,TGO,679.9727606
Thailand,THA,7295.475616
Tajikistan,TJK,826.6215305
Turkmenistan,TKM,6966.635411
Latin America & the Caribbean (IDA & IBRD countries),TLA,8934.498183
Timor-Leste,TLS,1230.228191
Middle East & North Africa (IDA & IBRD countries),TMN,3975.048437
Tonga,TON,4740.792149
South Asia (IDA & IBRD),TSA,1898.971004
Sub-Saharan Africa (IDA & IBRD countries),TSS,1596.166175
Trinidad and Tobago,TTO,17129.91309
Tunisia,TUN,3438.789089
Turkey,TUR,9455.593654
Tuvalu,TUV,3700.744263
Tanzania,TZA,1060.994615
Uganda,UGA,770.4524533
Ukraine,UKR,3096.817402
Upper middle income,UMC,8906.243876
Uruguay,URY,17277.97011
United States,USA,62996.47129
Uzbekistan,UZB,1529.082864
St. Vincent and the Grenadines,VCT,7361.400962
Vietnam,VNM,2566.59695
Vanuatu,VUT,3125.257989
World,WLD,11385.67523
Samoa,WSM,4188.528346
Kosovo,XKX,4419.914327
"Yemen, Rep.",YEM,824.1176287
South Africa,ZAF,6374.028196
Zambia,ZMB,1516.390661
Zimbabwe,ZWE,1683.740577
