lgd_state_id,lgd_district_id,lgd_state_name,lgd_district_name,state,district,deaths,month,year,pc11_state_id,pc11_district_id,pc11_district_name
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,259,8,2020,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,231,5,2020,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,245,10,2019,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,275,1,2019,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,233,3,2018,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,222,7,2020,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,283,2,2020,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,243,9,2020,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,310,1,2021,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,262,2,2021,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,196,5,2019,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,227,11,2019,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,220,8,2019,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,271,10,2020,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,272,10,2018,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,323,11,2020,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,562,5,2021,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,278,12,2018,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,200,4,2018,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,309,4,2021,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,214,4,2020,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,316,1,2020,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,339,12,2019,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,206,4,2019,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,221,7,2018,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,279,2,2018,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,171,7,2019,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,207,3,2021,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,265,2,2019,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,228,6,2020,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,221,6,2019,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,239,3,2019,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,237,5,2018,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,264,11,2018,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,209,8,2018,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,233,6,2018,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,337,1,2018,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,342,12,2020,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,226,9,2019,02,028,hamirpur
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,208,9,2018,02,028,hamirpur
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,780,6,2018,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,845,6,2019,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,792,10,2018,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,823,2,2021,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,743,7,2018,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,939,10,2020,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,794,8,2019,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,894,12,2018,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,845,3,2018,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,796,7,2020,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,770,7,2019,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,819,6,2020,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,1178,12,2020,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,832,3,2020,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,975,11,2019,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,1013,1,2021,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,850,2,2018,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,1182,11,2020,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,866,8,2020,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,771,5,2019,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,877,9,2019,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,960,2,2019,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,903,2,2020,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,879,3,2019,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,763,9,2018,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,733,11,2018,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,1033,1,2020,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,1081,4,2021,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,773,3,2021,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,852,5,2020,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,713,8,2018,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,1029,1,2018,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,874,10,2019,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,814,5,2018,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,790,4,2020,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,1009,1,2019,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,703,4,2018,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,723,4,2019,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,904,9,2020,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,1066,12,2019,02,024,kangra
02,018,himachal pradesh,kangra,Himachal Pradesh,Kangra,2237,5,2021,02,024,kangra
02,019,himachal pradesh,kinnaur,Himachal Pradesh,Kinnaur,16,2,2020,02,034,kinnaur
02,019,himachal pradesh,kinnaur,Himachal Pradesh,Kinnaur,10,8,2019,02,034,kinnaur
02,019,himachal pradesh,kinnaur,Himachal Pradesh,Kinnaur,11,6,2018,02,034,kinnaur
02,019,himachal pradesh,kinnaur,Himachal Pradesh,Kinnaur,11,4,2018,02,034,kinnaur
02,019,himachal pradesh,kinnaur,Himachal Pradesh,Kinnaur,13,1,2019,02,034,kinnaur
02,019,himachal pradesh,kinnaur,Himachal Pradesh,Kinnaur,20,11,2019,02,034,kinnaur
02,019,himachal pradesh,kinnaur,Himachal Pradesh,Kinnaur,9,3,2019,02,034,kinnaur
