iso3c,date,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,demography_adjusted_ifr_percent,aged_65_older_pct,implied_infections_per_100_persons,implied_infections_per_100_persons_top_95,implied_infections_per_100_persons_bot_95,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65_top_95,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65_bot_95
DOM,2023-08-02,50.17437845856945,92.3365656814295,16.193871868429486,0.362921992193435,6.981,13.825113808982632,25.442537974445685,4.462080616982357,718.7276673624044,1322.6839375652414,231.97066134406944
DZA,2023-08-02,266.55286923484897,409.61406135372846,105.8733029847293,0.316028140163528,6.211,84.34466281924195,129.61316075896744,33.50122648253584,4291.625651824971,6594.9776421466495,1704.6096117328818
ECU,2023-08-02,463.44266047030584,474.1993813355357,451.3850709295358,0.357557461019926,7.104,129.61347783048473,132.62186726096857,126.24126752717403,6523.6860989626375,6675.103903934905,6353.956516463059
EGY,2023-08-02,313.45595234200584,377.5430792945062,284.9702904245059,0.245231752251881,5.159,127.82029629672539,153.95358709777776,116.20448323176717,6075.9052595853045,7318.144587991979,5523.7505412774935
ERI,2023-08-02,100.04265426011004,260.50430396499934,0,0.19799827586839,3.607,50.527033036696075,131.56897595318318,-23.902341046372506,2773.56956640172,7222.187523288032,0
ESH,2023-08-02,26.709081399980057,480.4788070129998,0,0.193096260928088,NA,13.832003411980581,248.82864365350787,-56.087152608994984,NA,NA,NA
ESP,2023-08-02,347.5027828076135,354.2493435932535,337.0239327532535,0.977515229221238,19.436,35.54960295446858,36.23977744832427,34.47761453514664,1787.9336427640128,1822.6453158739118,1734.0189995536814
EST,2023-08-02,405.147282479401,412.3155175587509,398.100371621751,0.919858002906373,19.452,44.04454613639303,44.82382240041435,43.27845932349531,2082.805276986433,2119.656166763062,2046.5780979937842
ETH,2023-08-02,279.79400285287954,483.91076763899974,53.89327388600033,0.168856571829736,3.526,165.69920839978062,286.58094997152017,31.91659838998911,7935.16740932727,13724.071685734536,1528.4535985819718
FIN,2023-08-02,272.9003594693621,282.11099964246205,260.4567562704621,0.953259707688942,21.228,28.6281227736956,29.59434846212105,27.32274889724508,1285.5679266504715,1328.95703619023,1226.9491062298007
FJI,2023-08-02,150.80813622975018,415.9863669520002,62.86788079199971,0.266725835491925,6.224,56.54050570377379,155.96028265683094,23.57022546243107,2423.0099008635952,6683.585587275067,1010.0880589974246
FLK,2023-08-02,-13.137280637589964,277.51165872499934,0,NA,NA,NA,NA,NA,NA,NA,NA
FRA,2023-08-02,222.51625618760428,235.02892996421429,211.3252871572143,0.955942115811437,19.718,23.277168408750853,24.58610475224366,22.1064940713313,1128.4930326990784,1191.9511611939056,1071.7379407506558
FRO,2023-08-02,117.42933870056726,135.77517275500733,82.88552764800727,NA,NA,NA,NA,NA,NA,NA,NA
FSM,2023-08-02,218.00614550371017,602.7023407910002,0,0.204024813291717,4.81,106.85276069435854,295.4063925201341,-5.08908307008416,4532.352297374432,12530.19419523909,0
GAB,2023-08-02,184.0143816178599,349.52199002699984,48.428159842000014,0.178662634985319,4.45,102.99544817134296,195.63239401216745,27.105924999919225,4135.154643097975,7854.426742179771,1088.2732548764047
GBR,2023-08-02,351.9150517637482,358.1087000922182,345.89352360121825,0.843223685351425,18.517,41.73448372919966,42.46900393256524,41.02037568561211,1900.4971202881038,1933.9455640342292,1867.9782016591146
GEO,2023-08-02,693.655747982971,740.8137267092311,652.881072159231,0.658413326314432,14.864,105.35262885182077,112.51499583947485,99.15975969287128,4666.682911618481,4983.9459547176475,4392.364586647142
GGY,2023-08-02,253.51907347748016,695.5381276379998,0,NA,NA,NA,NA,NA,NA,NA,NA
GHA,2023-08-02,143.9651655535199,311.46356790999994,10.106939133999656,0.164610882676519,3.385,87.45786621922772,189.21201493224774,6.139897295770571,4253.03295579084,9201.287087444607,298.58018121121586
GIB,2023-08-02,158.7237260674686,590.949520489719,0,NA,NA,NA,NA,NA,NA,NA,NA
GIN,2023-08-02,94.09305374861005,276.4761533850002,0,0.139762526329319,3.135,67.32352098938232,197.81851448044543,-31.225139892055203,3001.3733253145156,8819.016056937806,0
GLP,2023-08-02,397.4879086353801,755.3923363400003,42.49827024700003,0.88211911714941,NA,45.06057072199866,85.6338244636472,4.817747333754,NA,NA,NA
GMB,2023-08-02,136.6766232058198,368.7186288990002,0,0.128344871334392,2.339,106.49169054034118,287.28738831981383,-11.364501352764531,5843.378503882846,15763.94309102181,0
GNB,2023-08-02,177.30620448701976,364.68548959000015,0,0.137988415597429,3.002,128.49354325822358,264.2870330897509,-18.400771759765625,5906.269303365082,12148.084263491011,0
GNQ,2023-08-02,148.3077075753299,382.70684793700025,0,0.128727422149583,2.846,115.2106560504213,297.30017236909305,-19.542682858022186,5211.093027945535,13447.183694202398,0
GRC,2023-08-02,380.49357785790386,388.4766526256638,376.07920599466377,1.06901175775556,20.396,35.59302085290137,36.339792318214414,35.18008134767943,1865.5303876147473,1904.670781651617,1843.8870660652274
GRD,2023-08-02,185.42266607847017,383.0879248160001,87.70933212899959,0.451418106169042,7.304,41.0755934563766,84.86321651275229,19.429732864138856,2538.6454830020557,5244.90587097481,1200.8397060377818
GRL,2023-08-02,-213.8257917538246,0,0,0.852721412131438,NA,0,-18.120315759427378,-30.62520456378685,NA,NA,NA
GTM,2023-08-02,320.7006733653594,364.2451735294394,293.9985278014393,0.246152244234573,4.694,130.2854964262462,147.97556474127805,119.43767919551073,6832.140463684691,7759.803441189591,6263.283506634838
GUF,2023-08-02,331.8619402199703,687.7501886329998,0,0.258725243297188,NA,128.2680947520737,265.82260774724904,-20.389629065844353,NA,NA,NA
GUM,2023-08-02,398.3926606314497,897.9339062609981,188.983961675,0.46149692967898,9.551,86.32617792464492,194.56985486027094,40.95020996270947,4171.2141203167175,9401.464833640437,1978.6824591665793
GUY,2023-08-02,557.7091042274399,736.0678941669978,289.147996063,0.330751931553284,5.305,168.61854792754045,222.5437930808932,87.42140815477549,10512.895461403203,13874.983867426914,5450.480604392083
HKG,2023-08-02,226.45290514642323,231.1194110090032,215.05870893600323,0.854463377206589,16.303,26.502353545770788,27.048486473999457,25.168862080323795,1389.02597771222,1417.6495798871567,1319.1357967000135
HND,2023-08-02,293.6024513635401,430.48539131200016,164.79503128699977,0.252299119260729,4.652,116.37077934470622,170.62500755982873,65.3173232510172,6311.316667315996,9253.770234565782,3542.4555306749735
HRV,2023-08-02,653.6370088217958,667.0130198947556,643.8077846837557,0.918165820544792,19.724,71.18942942506415,72.6462480926359,70.11890121348162,3313.9171000902243,3381.7330150819084,3264.083272580388
HTI,2023-08-02,253.25395752050972,341.9886378560002,18.24371008399986,0.24288187984301501,4.8,104.27042053701108,140.8045087912866,7.511350824438429,5276.124115010619,7124.763288666671,380.0772934166638
HUN,2023-08-02,501.1311859201137,513.0792266942137,490.3665664162137,0.818970488726948,18.577,61.190383880510666,62.64929368722087,59.87597516223888,2697.589416591019,2761.9057258664675,2639.6434645863897
IDN,2023-08-02,322.75189783331984,589.8742049159998,151.09320803300025,0.297141457275364,5.319,108.61893886931517,198.5162926522762,50.84891533428156,6067.905580622671,11089.945570896782,2840.6318487121684
IMN,2023-08-02,160.16564811351995,515.2358976959998,0,NA,NA,NA,NA,NA,NA,NA,NA
IND,2023-08-02,428.72464012477985,702.1018054340001,169.3904986570005,0.296942357834205,5.989,144.37975210129983,236.44380362400577,57.04490928558536,7158.534648936047,11723.189270896646,2828.360304842219
IRL,2023-08-02,185.1198535738209,203.26351956630089,174.1520703753009,0.624922579774034,13.928,29.622846023704003,32.52619222685137,27.867783308177568,1329.1201434076743,1459.387705099805,1250.373853929501
IRN,2023-08-02,327.0531902117541,374.6736769646539,300.5638659086542,0.310714507514406,5.44,105.2584228615687,120.58454558877736,96.73312917154949,6012.007173010185,6887.383767732608,5525.071064497319
IRQ,2023-08-02,326.0318111426198,924.1392603889984,172.46016799199955,0.169645157771844,3.186,192.1845665533822,544.7483868840362,101.65935194209402,10233.264630967351,29006.254249497753,5413.062397740099
ISL,2023-08-02,88.2111593205228,100.2142499523228,77.39350169432278,0.693983162256222,14.431,12.710850077938174,14.440444005372456,11.15207196709316,611.2615849249727,694.4373221004976,536.3003374286105
ISR,2023-08-02,159.7681945436217,170.15837731259165,143.9434555025917,0.548653337641527,11.733,29.120062447885672,31.013823417906156,26.23577505631431,1361.699433594321,1450.2546434210487,1226.8256669444445
ITA,2023-08-02,474.1800611324901,483.67285247063,467.5202609026299,1.09660551678677,23.021,43.2407145389815,44.10636688094265,42.6334040587849,2059.7717785173977,2101.0071346623954,2030.842538997567
JAM,2023-08-02,282.3336710638971,345.86478337899695,233.53828395499684,0.427928630556785,9.684,65.97681269807728,80.82300614683962,54.574119906662084,2915.4654178428036,3571.507469836813,2411.589053645155
JEY,2023-08-02,364.4855796703303,756.370779527999,34.32159943699959,NA,NA,NA,NA,NA,NA,NA,NA
JOR,2023-08-02,159.78687383525158,236.7329268492015,128.2770498972018,0.205535800537427,3.81,77.7416262361336,115.17843909927197,62.41104934604481,4193.881203024976,6213.462646960669,3366.8517033386297
JPN,2023-08-02,180.60439392198347,187.95833442595344,160.59040078595345,1.29774091187324,27.049,13.916829797812866,14.483502269697476,12.374611859477197,667.6934227586361,694.8808992049741,593.7018033419108
KAZ,2023-08-02,418.4541451281958,435.41797767561576,405.1652773236158,0.365055835208924,6.991,114.62743634510366,119.2743508472952,110.98720750258298,5985.612146019108,6228.26459269941,5795.526781914115
KEN,2023-08-02,203.4349843365897,368.2163864840002,42.27785843200018,0.136524441623756,2.686,149.0099369146154,269.7073008353755,30.967245080197863,7573.90112943372,13708.726227997031,1574.0081322412577
KGZ,2023-08-02,191.86807459949807,205.09844850138805,178.61583296538805,0.24220794126403,4.489,79.21626086997014,84.67866389145803,73.74482935333634,4274.1829939741165,4568.91175097768,3978.9670965780365
KHM,2023-08-02,290.3005436480097,390.3628289759997,69.33866309000037,0.22559918242463,4.412,128.67978532900742,173.03379594756078,30.735334385870647,6579.794733635759,8847.752243336348,1571.5925451042694
KIR,2023-08-02,18.19960294305999,311.98425610699996,0,0.207799119178793,3.895,8.758267607188854,150.13742952325256,-34.555091248109974,467.2555312724003,8009.865368600769,0
KNA,2023-08-02,443.0898309011587,519.9981465697888,398.9083719277888,NA,NA,NA,NA,NA,NA,NA,NA
KOR,2023-08-02,145.19591540210155,163.46578611716157,131.61414184916154,0.709330990746997,13.914,20.469416576483656,23.045064751085476,18.55468653788249,1043.5238996845017,1174.8295681842862,945.9116131174469
KSV,2023-08-02,256.5004938226512,296.6214466028714,251.6478739318713,NA,NA,NA,NA,NA,NA,NA,NA
KWT,2023-08-02,194.2241836374754,304.46297109703545,156.52441558503563,0.219684178630981,2.345,88.41063787471353,138.59121443991805,71.24974431953096,8282.481178570379,12983.495569169954,6674.815163540964
LAO,2023-08-02,348.76587636216,505.7990879249993,148.5603395629998,0.207329136191272,4.029,168.21845822981928,243.95948259697235,71.65434742656966,8656.388095362621,12553.96098101264,3687.275739960283
LBN,2023-08-02,343.5864872280531,374.5192009900133,275.01349562001326,0.354555278804259,8.514,96.90632399743187,105.63069382384681,77.5657597166509,4035.5471837920263,4398.863060723671,3230.13267113006
LBR,2023-08-02,119.4104634121898,332.9817566319999,0,0.162867307677098,3.057,73.31763821437629,204.44972129837873,-30.127070230252272,3906.1322673271115,10892.435611122011,0
LBY,2023-08-02,464.78938612938987,653.227770757,279.8473032320003,0.240425367915404,4.424,193.31961105407584,271.6966917512816,116.39674534280728,10506.089198223099,14765.546355266728,6325.66236962026
LCA,2023-08-02,339.09172697524014,561.7050920529995,123.182874148,0.493352173628674,9.721,68.73218465445754,113.85479219065364,24.968547972936413,3488.2391418088687,5778.26450008229,1267.1831514041764
LIE,2023-08-02,118.8743700341036,282.5623405895435,81.78883567854375,NA,NA,NA,NA,NA,NA,NA,NA
LKA,2023-08-02,141.00043388889011,328.86018682899964,63.68757023400034,0.464081185976605,10.069,30.382708489285353,70.86264144428772,13.723368272294264,1400.341979232199,3266.066012801665,632.5113738603668
LSO,2023-08-02,168.87469027731987,359.57543895000015,69.66317009300026,0.229861932331157,4.506,73.46788072503708,156.43105202472924,30.306527656192355,3747.7738632339074,7979.925409454064,1546.0091010430594
LTU,2023-08-02,963.7778465771332,967.5096383298136,952.3414835198136,0.980037805359834,19.002,98.34088453590516,98.72166492338319,97.1739537303001,5071.981089238676,5091.62003120626,5011.796039994809
LUX,2023-08-02,26.16757367769699,40.82600894628701,14.380146246286984,0.692134645833,14.312,3.780705652467911,5.89856456284629,2.077651557086865,182.836596406491,285.2571893955213,100.47614761240207
LVA,2023-08-02,601.8437712324907,610.3360787096407,596.3668783386406,0.952783942668027,19.754,63.1668675636138,64.05818269780566,62.59203704343171,3046.693182304802,3089.6835006056526,3018.967694333505
MAC,2023-08-02,201.5236257374311,209.9313553085511,188.9529806515511,0.536409341510443,9.798,37.56900004201508,39.13640927978957,35.22552014465104,2056.7832796226894,2142.593950893561,1928.4852077112787
MAF,2023-08-02,216.0594528843202,623.0455100319991,0,NA,NA,NA,NA,NA,NA,NA,NA
MAR,2023-08-02,172.68212985589992,354.5662949220002,103.88545935299956,0.336430893195242,6.769,51.327667389833536,105.39052806789466,30.87869201497836,2551.07297763185,5238.0897462254425,1534.7238787560875
MCO,2023-08-02,812.2123494365865,877.3663721810863,687.6970161860863,NA,NA,NA,NA,NA,NA,NA,NA
MDA,2023-08-02,598.3961011432114,648.6217496162712,574.8849663722713,0.525268091545281,10.864,113.9220353901178,123.48394278207485,109.44600969021798,5508.0642594183655,5970.376929457577,5291.651015945059
MDG,2023-08-02,179.19454421017986,303.2232218010005,0,0.158319451764652,2.929,113.18542491958567,191.5261949313427,-5.640466599944462,6117.942786281321,10352.4486787641,0
MDV,2023-08-02,170.23120704681884,302.3973089400788,107.55567207307884,0.215955986293361,4.12,78.82680631764092,140.02728710159178,49.80444113596926,4131.825413757739,7339.74050825434,2610.574564880554
MEX,2023-08-02,536.6028904856967,580.9343242771365,504.7966858051367,0.36564601489984,6.857,146.75474875138082,158.87888848898564,138.05611581556926,7825.621853371687,8472.135398529043,7361.771704902095
MHL,2023-08-02,97.03449431023016,374.63687132700096,0,NA,NA,NA,NA,NA,NA,NA,NA
MKD,2023-08-02,823.1794779541488,840.8121108512787,812.4764156992787,0.581300008257099,13.26,141.6100922520666,144.64340253017886,139.768863608881,6207.990029820126,6340.966145183097,6127.273119904063
MLI,2023-08-02,127.96730519707992,347.71536574699894,35.3627612819999,0.123111771565777,2.519,103.9440043543754,282.4387638360148,28.724110482892403,5080.083572730446,13803.706460778045,1403.8412577213142
