location,official_covid_deaths_absolute,estimate_absolute,estimate_top_95_absolute,estimate_bot_95_absolute,difference_pct,vaccinated_per_100,official_covid_deaths_per_100k,estimate_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k
Saint Vincent and the Grenadines,73,154.334,355.484,93.442,111.4,NA,65.607,138.704,319.482,83.978
Samoa,NA,-57.401,174.529,-101.945,NA,NA,NA,-28.68,87.202,-50.936
San Marino,92,116.841,124.594,114.067,27,NA,270.509,343.55,366.346,335.391
São Tomé and Príncipe,56,125.42,458.793,38.522,124,NA,25.071,56.151,205.401,17.246
Saudi Arabia,8821,177241.719,323523.939,33733.749,1909.3,69.26283817968415,24.96,501.523,915.443,95.453
Senegal,1883,3899.734,33600.825,952.416,107.1,NA,10.95,22.678,195.396,5.538
Serbia,11062,42565.221,43560.335,38874.577,284.8,NA,160.983,619.442,633.923,565.733
Seychelles,125,-63.615,23.294,-68.915,-150.9,NA,126.378,-64.317,23.551,-69.675
Sierra Leone,121,-3525.218,9252.796,-5152.773,-3013.4,NA,1.486,-43.3,113.652,-63.291
Singapore,619,980.871,1693.084,149.436,58.5,NA,11.35,17.986,31.045,2.74
Sint Maarten,NA,3.077,85.433,-19.557,NA,NA,NA,7.087,196.754,-45.041
Slovakia,13725,20496.947,21389.644,19203.893,49.3,46.82368241878461,251.34,375.352,391.7,351.673
Slovenia,5001,4759.113,5070.488,4343.735,-4.8,NA,240.58,228.944,243.923,208.962
Solomon Islands,NA,-95.141,557.031,-522.368,NA,NA,NA,-13.514,79.124,-74.201
Somalia,1313,23345.204,29128.249,-5164.493,1678,NA,8.026,142.701,178.051,-31.569
South Africa,89515,228594.739,232307.074,225103.249,155.4,NA,149.087,380.725,386.908,374.91
South Korea,3215,-3422.397,4181.241,-6117.047,-206.5,82.17057753851931,6.266,-6.671,8.15,-11.923
South Sudan,133,25865.451,29911.88,326.387,19347.7,NA,1.169,227.261,262.814,2.868
Spain,87804,108945.852,112047.593,104754.389,24.1,NA,187.835,233.063,239.699,224.097
Sri Lanka,14072,31285.933,53900.68,16916.664,122.3,73.93659000806892,65.459,145.534,250.732,78.692
St. Helena Ascension and Tristan da Cunha,NA,-2.468,8.237,-8.363,NA,NA,NA,-40.487,135.142,-137.215
Sudan,3099,170312.104,266883.674,37589.816,5395.7,NA,6.901,379.235,594.272,83.702
Suriname,1143,1227.152,2638.916,1157.591,7.4,43.08345077205398,193.14,207.36,445.915,195.606
Sweden,15109,10549.449,11164.087,9916.457,-30.2,71.72609208182668,148.708,103.832,109.881,97.601
Switzerland,11364,11025.813,11025.813,9863.375,-3,NA,130.388,126.508,126.508,113.171
Syria,2689,14244.037,41435.414,5628.751,429.7,NA,14.714,77.94,226.724,30.799
Taiwan,848,-6196.691,-4711.192,-6817.278,-830.7,75.37942976166681,3.555,-25.976,-19.749,-28.578
Tajikistan,125,21428.268,25154.715,10961.293,17042.6,NA,1.282,219.786,258.007,112.428
Tanzania,727,63001.6,71104.356,-17775.668,8566,NA,1.182,102.444,115.62,-28.904
Thailand,20254,55148.429,61593.728,47931.321,172.3,65.76782976342645,28.955,78.839,88.053,68.521
