location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Latin America and Caribbean,2020-05-11,2971.494,3062.517,2977.852,2921.717,2872.951,1561.875,FALSE
Africa,2020-05-18,219.046,2299.779,1006.009,-437.878,-2432.639,65.375,FALSE
North America,2020-05-18,1253.636,1253.636,1253.636,1253.636,1253.636,1559.5,FALSE
Oceania,2020-05-18,-26.471,-0.356,-14.775,-28.498,-40.014,0.375,FALSE
Asia,2020-05-18,2191.717,5595.943,2485.128,645.395,-1124.581,364.5,FALSE
Europe,2020-05-18,1276.403,1276.996,1276.542,1276.025,1275.44,1191.375,FALSE
Latin America and Caribbean,2020-05-18,3217.807,3286.497,3217.807,3151.329,3107.105,1926.625,FALSE
Africa,2020-05-25,240.547,2463.309,1036.09,-333.687,-2406.641,80.625,FALSE
North America,2020-05-25,1033.893,1033.893,1033.893,1033.893,1033.893,1285.5,FALSE
Oceania,2020-05-25,-38.122,-10.918,-26.93,-40.001,-50.618,0.5,FALSE
Asia,2020-05-25,2654.363,6184.853,3171.354,746.296,-893.996,393.75,FALSE
Europe,2020-05-25,933.085,933.627,933.192,932.694,932.129,928.625,FALSE
Latin America and Caribbean,2020-05-25,3390.928,3482.665,3390.928,3312.156,3267.003,2183.375,FALSE
Africa,2020-06-01,1377.866,3510.535,2046.882,736.28,-1178.185,119.75,FALSE
North America,2020-06-01,816.236,816.236,816.236,816.236,816.236,1067.125,FALSE
Oceania,2020-06-01,-53.466,-25.59,-43.754,-56.789,-67.625,0.125,FALSE
Asia,2020-06-01,4745.271,11281.11,6415.499,3252.45,1578.118,461.125,FALSE
Europe,2020-06-01,1432.264,1432.764,1432.366,1431.914,1431.369,777,FALSE
Latin America and Caribbean,2020-06-01,3512.431,3632.097,3527.736,3432.516,3374.364,2325.5,FALSE
Africa,2020-06-08,1617.37,3973.421,2320.899,1046.591,-737.956,233.125,FALSE
North America,2020-06-08,711.464,711.464,711.464,711.464,711.464,930.875,FALSE
Oceania,2020-06-08,-42.327,-11.82,-29.967,-43.092,-53.026,0,FALSE
Asia,2020-06-08,4918.491,11465.406,7154.641,3884.466,1868.184,602.375,FALSE
Europe,2020-06-08,1321.244,1321.698,1321.294,1320.892,1320.438,627.25,FALSE
Latin America and Caribbean,2020-06-08,3690.453,3799.851,3709.045,3611.291,3561.893,2591.75,FALSE
Africa,2020-06-15,2646.717,4801.46,3282.284,2075.26,1035.509,219.75,FALSE
North America,2020-06-15,745.007,745.007,745.007,745.007,745.007,806.375,FALSE
Oceania,2020-06-15,-55.769,-24.638,-44.976,-58.425,-70.015,0,FALSE
Asia,2020-06-15,6069.876,12789.206,8482.295,4809.811,2866.616,738.125,FALSE
Europe,2020-06-15,989.994,990.476,990.134,989.717,989.263,530.25,FALSE
Latin America and Caribbean,2020-06-15,3696.769,3823.286,3719.895,3631.379,3572.941,2704.25,FALSE
Africa,2020-06-22,2852.608,4847.22,3466.324,2261.738,1215.585,314.5,FALSE
