location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
North America,2020-04-13,17.317,17.317,17.317,17.317,17.317,8.34,FALSE
Africa,2020-04-20,-2.045,5.315,0.706,-4.089,-10.37,0.081,FALSE
Latin America and Caribbean,2020-04-20,2.859,3.215,2.936,2.623,2.201,1.037,FALSE
Europe,2020-04-20,20.473,20.48,20.474,20.471,20.469,15.756,FALSE
Asia,2020-04-20,-3.523,0.158,-2.992,-4.889,-7.907,0.322,FALSE
Oceania,2020-04-20,1.268,6.793,3.674,1.268,0.461,0.189,FALSE
North America,2020-04-20,22.726,22.726,22.726,22.726,22.726,12.751,FALSE
Africa,2020-04-27,-2.37,5.436,0.634,-4.696,-11.88,0.102,FALSE
Latin America and Caribbean,2020-04-27,4.279,4.686,4.35,3.995,3.535,1.804,FALSE
Europe,2020-04-27,22.622,22.63,22.624,22.62,22.618,18.685,FALSE
Asia,2020-04-27,-4.048,0.031,-3.263,-5.414,-8.833,0.375,FALSE
Oceania,2020-04-27,0.785,6.584,3.357,0.785,-0.205,0.229,FALSE
North America,2020-04-27,26.89,26.89,26.89,26.89,26.89,16.793,FALSE
Africa,2020-05-04,-2.395,5.936,0.778,-5.087,-13.043,0.129,FALSE
Latin America and Caribbean,2020-05-04,7.166,7.559,7.206,6.827,6.365,2.953,FALSE
Europe,2020-05-04,24.221,24.23,24.223,24.219,24.217,20.802,FALSE
Asia,2020-05-04,-3.861,0.305,-2.961,-5.35,-9.052,0.428,FALSE
Oceania,2020-05-04,0.475,6.265,3.137,0.475,-0.754,0.26,FALSE
North America,2020-05-04,30.513,30.513,30.513,30.513,30.513,20.596,FALSE
Africa,2020-05-11,-2.351,6.727,1.402,-5.352,-14.261,0.164,FALSE
Latin America and Caribbean,2020-05-11,10.337,10.753,10.377,9.936,9.424,4.459,FALSE
Europe,2020-05-11,25.836,25.845,25.837,25.833,25.831,22.474,FALSE
Oceania,2020-05-11,0.16,5.981,2.981,0.16,-1.252,0.264,FALSE
Asia,2020-05-11,-3.649,1.113,-2.66,-5.327,-9.149,0.479,FALSE
North America,2020-05-11,33.609,33.609,33.609,33.609,33.609,23.979,FALSE
Africa,2020-05-18,-2.356,7.853,1.875,-5.692,-15.42,0.198,FALSE
Latin America and Caribbean,2020-05-18,13.783,14.279,13.799,13.261,12.727,6.238,FALSE
Europe,2020-05-18,27.04,27.05,27.041,27.037,27.035,23.812,FALSE
Oceania,2020-05-18,-0.291,5.885,2.721,-0.291,-1.91,0.269,FALSE
Asia,2020-05-18,-3.354,1.348,-2.337,-5.061,-9.067,0.535,FALSE
North America,2020-05-18,35.938,35.938,35.938,35.938,35.938,26.817,FALSE
Africa,2020-05-25,-2.321,8.979,2.107,-5.516,-16.697,0.244,FALSE
Latin America and Caribbean,2020-05-25,17.389,18.022,17.389,16.756,16.218,8.369,FALSE
Europe,2020-05-25,27.92,27.93,27.921,27.916,27.913,24.486,FALSE
Oceania,2020-05-25,-0.922,5.604,2.427,-0.922,-2.762,0.278,FALSE
Asia,2020-05-25,-3.068,1.777,-1.474,-4.645,-8.827,0.591,FALSE
North America,2020-05-25,37.859,37.859,37.859,37.859,37.859,29.014,FALSE
Africa,2020-06-01,-1.814,10.333,3.289,-5.074,-17.107,0.304,FALSE
Latin America and Caribbean,2020-06-01,21.104,21.932,21.117,20.428,19.8,10.528,FALSE
Europe,2020-06-01,29.264,29.274,29.265,29.26,29.257,25.259,FALSE
Oceania,2020-06-01,-1.819,5.041,1.805,-1.819,-3.887,0.278,FALSE
Asia,2020-06-01,-2.438,3.809,-0.497,-3.852,-7.97,0.665,FALSE
North America,2020-06-01,39.376,39.376,39.376,39.376,39.376,30.92,FALSE
Africa,2020-06-08,-1.177,11.987,4.527,-4.547,-17.032,0.376,FALSE
Latin America and Caribbean,2020-06-08,24.998,25.817,25.042,24.258,23.615,13.207,FALSE
Europe,2020-06-08,30.504,30.514,30.504,30.499,30.496,25.855,FALSE
Oceania,2020-06-08,-2.517,4.804,1.382,-2.517,-4.795,0.278,FALSE
Asia,2020-06-08,-1.74,5.262,0.392,-3.159,-7.4,0.758,FALSE
North America,2020-06-08,40.698,40.698,40.698,40.698,40.698,32.46,FALSE
Africa,2020-06-15,-0.044,14.541,6.17,-3.141,-16.059,0.474,FALSE
Latin America and Caribbean,2020-06-15,28.905,29.861,28.985,28.126,27.445,15.787,FALSE
Europe,2020-06-15,31.436,31.446,31.437,31.431,31.428,26.341,FALSE
Oceania,2020-06-15,-3.455,4.131,0.608,-3.455,-5.968,0.278,FALSE
Asia,2020-06-15,-0.883,6.938,1.877,-2.384,-6.593,0.875,FALSE
North America,2020-06-15,42.082,42.082,42.082,42.082,42.082,33.803,FALSE
Africa,2020-06-22,1.174,17.1,7.666,-2.242,-15.022,0.584,FALSE
Latin America and Caribbean,2020-06-22,32.785,33.932,32.906,31.95,31.247,18.696,FALSE
Europe,2020-06-22,32.894,32.905,32.895,32.889,32.886,26.932,FALSE
Oceania,2020-06-22,-4.568,3.297,-0.279,-4.568,-7.303,0.278,FALSE
Asia,2020-06-22,0.393,8.695,3.335,-1.427,-5.658,1.042,FALSE
North America,2020-06-22,43.622,43.622,43.622,43.622,43.622,34.931,FALSE
Africa,2020-06-29,2.39,20.098,9.278,-0.967,-13.908,0.692,FALSE
Latin America and Caribbean,2020-06-29,36.779,37.943,36.937,35.924,35.255,21.523,FALSE
Europe,2020-06-29,34.139,34.149,34.14,34.134,34.13,27.311,FALSE
Oceania,2020-06-29,-5.52,2.611,-1.016,-5.52,-8.512,0.282,FALSE
Asia,2020-06-29,1.691,10.049,4.804,-0.323,-5.048,1.185,FALSE
North America,2020-06-29,45.417,45.417,45.417,45.417,45.417,35.986,FALSE
Africa,2020-07-06,3.448,22.873,10.631,0.357,-13.135,0.814,FALSE
