location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Africa,2020-08-17,0.222,0.261,0.222,0.11,0.048,0.024,FALSE
North America,2020-08-17,0.414,0.414,0.414,0.414,0.414,0.257,FALSE
Oceania,2020-08-17,-0.19,-0.14,-0.174,-0.195,-0.223,0.036,FALSE
Europe,2020-08-17,0.242,0.242,0.242,0.242,0.242,0.044,FALSE
Latin America and Caribbean,2020-08-17,0.586,0.597,0.586,0.574,0.563,0.434,FALSE
Asia,2020-08-17,0.268,0.423,0.294,0.221,0.135,0.032,FALSE
Africa,2020-08-24,0.2,0.245,0.2,0.092,0.03,0.022,FALSE
North America,2020-08-24,0.335,0.335,0.335,0.335,0.335,0.219,FALSE
Oceania,2020-08-24,-0.218,-0.172,-0.2,-0.221,-0.252,0.03,FALSE
Europe,2020-08-24,0.2,0.2,0.2,0.2,0.199,0.042,FALSE
Latin America and Caribbean,2020-08-24,0.545,0.556,0.545,0.531,0.521,0.423,FALSE
Asia,2020-08-24,0.253,0.416,0.305,0.224,0.134,0.032,FALSE
Africa,2020-08-31,0.191,0.231,0.191,0.078,0.02,0.018,FALSE
North America,2020-08-31,0.3,0.3,0.3,0.3,0.3,0.228,FALSE
Oceania,2020-08-31,-0.167,-0.118,-0.15,-0.17,-0.197,0.041,FALSE
Europe,2020-08-31,0.173,0.173,0.173,0.173,0.173,0.044,FALSE
Latin America and Caribbean,2020-08-31,0.495,0.509,0.495,0.483,0.474,0.394,FALSE
Asia,2020-08-31,0.254,0.386,0.289,0.219,0.132,0.033,FALSE
Africa,2020-09-07,0.168,0.19,0.168,0.049,-0.006,0.018,FALSE
North America,2020-09-07,0.264,0.264,0.264,0.264,0.264,0.208,FALSE
Oceania,2020-09-07,-0.174,-0.129,-0.148,-0.174,-0.204,0.035,FALSE
Europe,2020-09-07,0.307,0.307,0.307,0.307,0.307,0.049,FALSE
Latin America and Caribbean,2020-09-07,0.413,0.422,0.413,0.396,0.387,0.387,FALSE
Asia,2020-09-07,0.283,0.45,0.33,0.249,0.134,0.034,FALSE
Africa,2020-09-14,0.153,0.188,0.153,0.041,-0.048,0.014,FALSE
North America,2020-09-14,0.267,0.267,0.267,0.267,0.267,0.186,FALSE
Oceania,2020-09-14,-0.197,-0.14,-0.175,-0.197,-0.228,0.016,FALSE
Europe,2020-09-14,0.32,0.32,0.32,0.32,0.32,0.05,FALSE
Latin America and Caribbean,2020-09-14,0.379,0.392,0.379,0.363,0.351,0.353,FALSE
Asia,2020-09-14,0.303,0.443,0.335,0.256,0.146,0.038,FALSE
Africa,2020-09-21,0.143,0.2,0.143,0.043,-0.016,0.013,FALSE
North America,2020-09-21,0.303,0.303,0.303,0.303,0.303,0.195,FALSE
Oceania,2020-09-21,-0.118,-0.075,-0.095,-0.119,-0.141,0.012,FALSE
Europe,2020-09-21,0.262,0.262,0.262,0.262,0.262,0.069,FALSE
Latin America and Caribbean,2020-09-21,0.378,0.383,0.378,0.363,0.352,0.306,FALSE
Asia,2020-09-21,0.279,0.43,0.323,0.233,0.136,0.039,FALSE
Africa,2020-09-28,0.091,0.15,0.091,-0.008,-0.132,0.014,FALSE
North America,2020-09-28,0.226,0.226,0.226,0.226,0.226,0.195,FALSE
Oceania,2020-09-28,-0.101,-0.062,-0.078,-0.101,-0.119,0.01,FALSE
Europe,2020-09-28,0.301,0.301,0.301,0.301,0.301,0.078,FALSE
Latin America and Caribbean,2020-09-28,0.345,0.354,0.345,0.332,0.322,0.311,FALSE
Asia,2020-09-28,0.265,0.422,0.289,0.221,0.125,0.037,FALSE
Africa,2020-10-05,0.099,0.137,0.099,-0.005,-0.139,0.013,FALSE
North America,2020-10-05,0.31,0.31,0.31,0.31,0.31,0.187,FALSE
Oceania,2020-10-05,-0.147,-0.096,-0.124,-0.147,-0.175,0.007,FALSE
Asia,2020-10-05,0.255,0.377,0.266,0.207,0.115,0.036,FALSE
Europe,2020-10-05,0.49,0.49,0.49,0.49,0.49,0.09,FALSE
Latin America and Caribbean,2020-10-05,0.375,0.38,0.375,0.361,0.351,0.349,FALSE
Africa,2020-10-12,0.159,0.196,0.159,0.024,-0.087,0.016,FALSE
North America,2020-10-12,0.236,0.236,0.236,0.236,0.236,0.192,FALSE
Oceania,2020-10-12,-0.123,-0.074,-0.096,-0.123,-0.141,0.002,FALSE
Asia,2020-10-12,0.233,0.36,0.258,0.2,0.113,0.035,FALSE
Europe,2020-10-12,0.577,0.577,0.577,0.577,0.577,0.114,FALSE
Latin America and Caribbean,2020-10-12,0.361,0.371,0.361,0.348,0.34,0.274,FALSE
Africa,2020-10-19,0.119,0.176,0.119,0.008,-0.112,0.017,FALSE
North America,2020-10-19,0.291,0.291,0.291,0.291,0.291,0.197,FALSE
Oceania,2020-10-19,-0.085,-0.047,-0.062,-0.085,-0.096,0.004,FALSE
Asia,2020-10-19,0.233,0.295,0.245,0.185,0.11,0.033,FALSE
Europe,2020-10-19,0.773,0.773,0.773,0.773,0.773,0.155,FALSE
Latin America and Caribbean,2020-10-19,0.383,0.39,0.383,0.369,0.36,0.247,FALSE
Africa,2020-10-26,0.075,0.151,0.081,-0.003,-0.136,0.017,FALSE
North America,2020-10-26,0.328,0.328,0.328,0.328,0.328,0.221,FALSE
Oceania,2020-10-26,-0.107,-0.057,-0.078,-0.107,-0.13,0.003,FALSE
Asia,2020-10-26,0.243,0.297,0.26,0.19,0.116,0.031,FALSE
Europe,2020-10-26,0.928,0.928,0.928,0.928,0.928,0.224,FALSE
Latin America and Caribbean,2020-10-26,0.377,0.385,0.377,0.364,0.358,0.253,FALSE
North America,2020-11-02,0.493,0.493,0.493,0.493,0.493,0.232,FALSE
Africa,2020-11-02,0.188,0.247,0.188,0.111,0.053,0.019,FALSE
Oceania,2020-11-02,-0.056,-0.014,-0.029,-0.056,-0.066,0.006,FALSE
Asia,2020-11-02,0.279,0.325,0.279,0.198,0.129,0.031,FALSE
Europe,2020-11-02,1.247,1.247,1.247,1.247,1.247,0.331,FALSE
Latin America and Caribbean,2020-11-02,0.393,0.401,0.393,0.379,0.372,0.24,FALSE
North America,2020-11-09,0.506,0.506,0.506,0.506,0.506,0.288,FALSE
Africa,2020-11-09,0.211,0.266,0.211,0.131,0.059,0.022,FALSE
Oceania,2020-11-09,-0.019,0.025,0.012,-0.019,-0.027,0.006,FALSE
Asia,2020-11-09,0.281,0.333,0.281,0.201,0.134,0.033,FALSE
Europe,2020-11-09,1.297,1.297,1.297,1.297,1.297,0.485,FALSE
Latin America and Caribbean,2020-11-09,0.393,0.403,0.393,0.378,0.37,0.23,FALSE
North America,2020-11-16,0.614,0.614,0.614,0.614,0.614,0.319,FALSE
Africa,2020-11-16,0.209,0.264,0.209,0.131,0.064,0.021,FALSE
Oceania,2020-11-16,-0.07,-0.027,-0.041,-0.07,-0.078,0.005,FALSE
Asia,2020-11-16,0.264,0.326,0.264,0.189,0.13,0.033,FALSE
Latin America and Caribbean,2020-11-16,0.398,0.405,0.398,0.383,0.376,0.248,FALSE
Europe,2020-11-16,1.287,1.287,1.287,1.287,1.287,0.558,FALSE
North America,2020-11-23,0.665,0.665,0.665,0.665,0.665,0.43,FALSE
Africa,2020-11-23,0.194,0.252,0.194,0.116,0.05,0.024,FALSE
Oceania,2020-11-23,-0.059,-0.013,-0.032,-0.059,-0.066,0.004,FALSE
Latin America and Caribbean,2020-11-23,0.408,0.414,0.408,0.391,0.384,0.231,FALSE
Asia,2020-11-23,0.263,0.327,0.266,0.192,0.111,0.036,FALSE
Europe,2020-11-23,1.266,1.266,1.266,1.266,1.266,0.615,FALSE
North America,2020-11-30,0.785,0.785,0.785,0.785,0.785,0.432,FALSE
Africa,2020-11-30,0.217,0.268,0.217,0.139,0.056,0.021,FALSE
Oceania,2020-11-30,0.008,0.06,0.039,0.008,0.001,0.004,FALSE
Latin America and Caribbean,2020-11-30,0.422,0.427,0.422,0.409,0.401,0.257,FALSE
Asia,2020-11-30,0.236,0.313,0.263,0.18,0.108,0.036,FALSE
Europe,2020-11-30,1.234,1.234,1.234,1.234,1.233,0.647,FALSE
North America,2020-12-07,0.944,0.944,0.944,0.944,0.944,0.621,FALSE
Africa,2020-12-07,0.251,0.312,0.251,0.164,0.087,0.022,FALSE
Oceania,2020-12-07,-0.049,-0.001,-0.019,-0.049,-0.058,0.002,FALSE
Latin America and Caribbean,2020-12-07,0.505,0.515,0.505,0.489,0.48,0.266,FALSE
Asia,2020-12-07,0.235,0.314,0.242,0.176,0.104,0.035,FALSE
Europe,2020-12-07,1.188,1.188,1.188,1.188,1.188,0.634,FALSE
North America,2020-12-14,0.944,0.944,0.944,0.944,0.944,0.69,FALSE
Africa,2020-12-14,0.292,0.343,0.292,0.196,0.129,0.025,FALSE
Oceania,2020-12-14,-0.01,0.049,0.021,-0.01,-0.016,0.005,FALSE
Latin America and Caribbean,2020-12-14,0.536,0.547,0.536,0.522,0.512,0.273,FALSE
Europe,2020-12-14,1.106,1.106,1.106,1.106,1.106,0.616,FALSE
Asia,2020-12-14,0.204,0.287,0.221,0.155,0.094,0.032,FALSE
North America,2020-12-21,0.985,0.985,0.985,0.985,0.985,0.747,FALSE
Africa,2020-12-21,0.332,0.375,0.332,0.238,0.187,0.029,FALSE
Oceania,2020-12-21,0.003,0.053,0.032,0.003,-0.005,0.005,FALSE
Latin America and Caribbean,2020-12-21,0.597,0.605,0.597,0.581,0.573,0.3,FALSE
Europe,2020-12-21,1.075,1.075,1.075,1.075,1.075,0.641,FALSE
Asia,2020-12-21,0.193,0.264,0.21,0.143,0.067,0.031,FALSE
