location,iso3c,official_covid_deaths_per_100k,cumulative_estimated_daily_excess_deaths_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65,cumulative_estimated_daily_excess_deaths_per_100k_demography_adjusted,implied_infections_per_100_persons,implied_infections_per_100_persons_top_95,implied_infections_per_100_persons_bot_95
Brazil,BRA,327.271,419.5150118122874,428.379,411.897,4905.4608490679075,408.7137935574683,95.08962234855233,97.0987648294266,93.3628250209578
Barbados,BRB,NA,280.41818796096015,296.212,194.926,1875.4560457528105,155.97154652279946,36.287680253901854,38.331525038771154,25.224476940860253
Brunei,BRN,NA,135.23088816327672,228.415,33.096,2945.5649785074434,203.90123483015134,47.43879879277025,80.12759058637835,11.610039718919372
Bhutan,BTN,NA,-69.465414566739,263.167,-102.99,-1422.0146277735723,-98.37091442723994,0,86.7047949174809,0
Botswana,BWA,NA,301.11125444350023,628.833,129.855,7640.4784177493075,620.2706083934148,144.3095360023453,301.3725203279721,62.23395742861714
Central African Republic,CAF,NA,152.63127720629984,309.631,-29.654,4175.95833669767,473.69815847298304,110.20860980574454,223.57127749051736,0
Canada,CAN,NA,170.7914412157265,181.916,143.389,1005.6019854906176,91.71964791011827,21.33910530839232,22.72904110471656,17.915341993857982
Switzerland,CHE,NA,251.51340128251903,261.063,249.131,1364.2514714825288,122.37402832800699,28.471023788300524,29.552069120971257,28.20130996380644
Chile,CHL,NA,326.9362794800977,331.284,322.383,2948.8254665833656,250.85310127367944,58.36242143299072,59.13854461460812,57.549656355457635
China,CHN,8.536,213.3213865820862,325.961,26.936,2004.7118370649955,184.48126600009533,42.92063099129371,65.58393738567905,5.419605316863426
Ivory Coast,CIV,NA,164.66048613769993,295.955,-1.504,5614.063625560857,499.61896745703683,116.23923557887755,208.9246801210604,0
Cameroon,CMR,NA,185.22273328530025,438.356,58.834,5852.219061146928,580.3367100482701,135.0186841338694,319.5412860528989,42.88753543781831
Congo,COG,1.483,219.70770439960003,508.822,-2.797,6458.192369182834,644.084998143714,149.85009118671246,319.463004236839,0
Congo-Brazzaville,COG,NA,219.70770439960003,468.391,-30.579,6458.192369182834,644.084998143714,149.85009118671246,319.463004236839,0
Colombia,COL,275.623,367.56166904027,392.457,354.652,4807.241290089851,378.81266904234553,88.13295320070702,94.10230332967024,85.03755493777021
Comoros,COM,NA,124.81590233399996,444.236,41.984,4212.484047721902,335.83675196385815,78.1343581214796,278.0901476039302,26.28197402510142
Cape Verde,CPV,NA,125.49005536720536,238.723,112.609,2813.6783714620033,203.61229055493646,47.371574239933885,90.11605033654368,42.50891534681405
Costa Rica,CRI,NA,184.97228179832663,201.609,127.857,1953.6573911948317,167.0057873711688,38.854860054812775,42.34945418236518,26.857324204434978
Cuba,CUB,NA,544.8141075917381,580.303,501.953,3696.662420896582,327.22206448908804,76.13010137375251,81.08916889758612,70.14080175189355
Curaçao,CUW,NA,425.2109343522002,607.743,148.3,2597.97723683143,242.17545142648905,56.343516126027346,80.53036958960033,19.65078056798469
Cyprus,CYP,NA,209.2533537261379,219.225,201.16,1559.7298280123575,143.45147384473105,33.37481310456608,34.965289943064995,32.083908061739066
Czech Republic,CZE,NA,445.17500471072185,459.926,442.092,2339.701501606779,234.7341872959669,54.61226308998883,56.421895874168875,54.23401451017453
Germany,DEU,209.883,302.36560826789145,309.599,298.491,1409.4327519129793,127.15016772245774,29.58222017672999,30.28991708770547,29.203119252616364
Djibouti,DJI,NA,133.7485249795,481.385,59.462,3174.6623541300733,249.66134353731934,58.085152119187846,209.0590027704054,25.823392355011286
Denmark,DNK,NA,126.89433035518556,129.697,119.185,644.8865698794814,63.961880265454305,14.88110050362218,15.20975787898876,13.977026317138431
Dominican Republic,DOM,NA,53.603808356029496,92.734,12.655,767.8528628567468,63.48462109809004,14.770063404550868,25.55196801300566,3.4870455380627057
Algeria,DZA,NA,275.4948436237292,421.314,108.307,4435.595614614864,374.6915435707105,87.17414958084906,133.31519999887377,34.271410205017105
Ecuador,ECU,NA,464.1116161460189,472.278,459.867,6533.102704758148,557.9082273771472,129.8005682281525,132.08439698381787,128.6133895640319
Egypt,EGY,22.371,318.8090183598196,350.793,305.919,6179.666957934089,558.778990850158,130.00315637445118,143.04551137326422,124.7469994852484
Eritrea,ERI,NA,133.18301804330005,326.642,0.182,3692.348712040478,289.1169913872339,67.26473625044451,164.9720156912474,0.09188735013091372
Western Sahara,ESH,NA,42.44737457349993,586.385,-113.432,NA,94.48505967159925,21.982494311118735,303.6749826835736,0
Spain,ESP,NA,348.76133039381386,356.194,344.383,1794.4089853561115,153.3525371850643,35.678352619801466,36.438696106758826,35.23043502335766
Estonia,EST,NA,401.3694431401325,405.126,399.525,2063.383935534302,187.54681234462257,43.63384803654152,44.04220272857352,43.43336086186097
Ethiopia,ETH,6.139,408.34780340160074,505.595,65.467,11581.049444174723,1039.437613053762,241.8311582289803,299.4226882296348,38.77055253082611
Finland,FIN,NA,278.02617076984916,284.175,271.037,1309.7143902857035,125.36047060250235,29.165836815225155,29.810888717786685,28.432697590118995
Fiji,FJI,NA,104.32848801999997,442.985,74.708,1676.2289206298194,168.12178851508608,39.11450416026852,166.08237384428838,28.009410942594062
France,FRA,247.718,218.61431651654064,225.715,212.567,1108.7043134016667,98.29539585166432,22.868991009039625,23.61179184569621,22.23636272833388
Micronesia,FSM,NA,201.42600201699992,639.807,61.363,4187.650769584198,424.3446351642331,98.72622783827708,313.5928865785534,30.076132738454
Gabon,GAB,NA,210.02393396209996,387.769,48.408,4719.638965440448,505.26733957626857,117.55336194350762,217.03962408920185,27.094607756668193
Britain,GBR,339.669,365.83022862871286,377.018,359.097,1975.6452375045249,186.47600814350037,43.384719260613295,44.71154715684787,42.586198997950866
Georgia,GEO,NA,659.92790677956,683.703,651.611,4439.773323328579,430.80829203398554,100.2300349043064,103.84099154066192,98.96689719302196
Ghana,GHA,NA,224.06934577880045,353.671,28.454,6619.478457276233,585.0730242137038,136.12061495297658,214.8524676415272,17.285314345780403
Guinea,GIN,NA,115.87925405069984,286.63,-68.732,3696.307944200953,356.3699866684215,82.91153365220119,205.083648768355,0
Guadeloupe,GLP,NA,574.3794999944002,764.192,72.122,NA,279.87098052125367,65.11359847301824,86.63143622150568,8.175985612245256
The Gambia,GMB,NA,139.91271500009984,453.292,-13.639,5981.732150495931,468.55959695612194,109.0130938193617,353.1825259078605,0
Guinea-Bissau,GNB,NA,204.92808771030016,338.262,-9.11,6826.385333454369,638.3296706519434,148.51108103752907,245.13768403925545,0
