location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Europe,2020-05-11,193343.974,193397.634,193360.769,193318.27,193293.772,156174,FALSE
Asia,2020-05-11,-181754.029,38444.69,-130350.8,-255084.728,-415759.434,22208,FALSE
Africa,2020-05-11,-33027.317,94056.334,23724.785,-69899.927,-204402.119,2661,FALSE
Latin America and Caribbean,2020-05-11,68362.118,71522.576,68956.48,65972.111,62179.051,32607,FALSE
North America,2020-05-11,126619.869,126619.869,126619.869,126619.869,126619.869,85997,FALSE
Oceania,2020-05-18,-69.299,2695.23,1292.122,-69.299,-771.108,132,FALSE
Europe,2020-05-18,202345.396,202402.375,202365.298,202316.992,202286.68,164527,FALSE
Asia,2020-05-18,-169666.649,66669.929,-108609.715,-242234.322,-415769.434,24831,FALSE
Africa,2020-05-18,-32923.422,114860.875,33165.505,-73640.678,-221430.52,3123,FALSE
Latin America and Caribbean,2020-05-18,90947.746,94053.173,91193.355,88184.384,84144.198,45921,FALSE
North America,2020-05-18,135395.318,135395.318,135395.318,135395.318,135395.318,96859,FALSE
Oceania,2020-05-25,-350.65,2551.226,1133.351,-350.65,-1082.866,135,FALSE
Europe,2020-05-25,208921.515,208981.293,208940.125,208890.082,208857.859,170687,FALSE
Asia,2020-05-25,-156549.364,74474.809,-84098.142,-222508.222,-408587.854,27542,FALSE
Africa,2020-05-25,-32409.228,136468.587,42059.084,-70872.732,-239358.541,3711,FALSE
Latin America and Caribbean,2020-05-25,114796.802,119015.904,114895.024,111468.099,107243.818,61335,FALSE
North America,2020-05-25,142632.567,142632.567,142632.567,142632.567,142632.567,105787,FALSE
Oceania,2020-06-01,-751.321,2282.407,839.787,-751.321,-1520.572,136,FALSE
Europe,2020-06-01,218962.137,219024.448,218979.861,218929.531,218893.495,175918,FALSE
Asia,2020-06-01,-130424.145,123551.186,-40951.912,-188456.039,-381060.864,30885,FALSE
Africa,2020-06-01,-24844.517,161087.112,57314.878,-59978.495,-245066.715,4566,FALSE
Latin America and Caribbean,2020-06-01,139390.453,144412.994,139479.82,135718.23,131165.319,77781,FALSE
North America,2020-06-01,148346.217,148346.217,148346.217,148346.217,148346.217,113284,FALSE
Oceania,2020-06-08,-1060.31,2103.843,655.683,-1060.31,-1865.643,136,FALSE
Europe,2020-06-08,228224.697,228289.567,228242.536,228191.537,228149.558,180088,FALSE
Asia,2020-06-08,-97427.207,174222.072,-4898.972,-161229.583,-339346.431,35174,FALSE
Africa,2020-06-08,-15473.927,189168.213,74963.975,-54512.039,-244529.234,6282,FALSE
Latin America and Caribbean,2020-06-08,165222.156,171101.405,165258.444,160964.956,156446.846,96126,FALSE
North America,2020-06-08,153326.466,153326.466,153326.466,153326.466,153326.466,119731,FALSE
Oceania,2020-06-15,-1478.57,1890.755,321.722,-1478.57,-2329.864,136,FALSE
Europe,2020-06-15,235190.201,235257.528,235209.089,235157.614,235108.41,183693,FALSE
Asia,2020-06-15,-57500.118,249485.61,46274.862,-124247.694,-298063.279,40461,FALSE
Africa,2020-06-15,429.376,225878.511,94555.824,-42072.941,-230787.873,7853,FALSE
Latin America and Caribbean,2020-06-15,191116.865,198119.073,191403.34,186344.705,181865.608,114745,FALSE
North America,2020-06-15,158541.515,158541.515,158541.515,158541.515,158541.515,125446,FALSE
Oceania,2020-06-22,-1975.677,1516.701,-69.512,-1975.677,-2862.942,136,FALSE
Europe,2020-06-22,246083.726,246153.607,246102.717,246051.334,245998.702,186860,FALSE
Asia,2020-06-22,2401.302,348120.64,117052.844,-56682.752,-271515.6,48430,FALSE
Africa,2020-06-22,17538.549,262592.135,111777.577,-22778.375,-216564.321,10153,FALSE
Latin America and Caribbean,2020-06-22,216831.473,224933.724,217187.759,211523.283,206830.146,134358,FALSE
North America,2020-06-22,164342.564,164342.564,164342.564,164342.564,164342.564,130094,FALSE
Oceania,2020-06-29,-2400.156,1209.989,-433.922,-2400.156,-3296.553,137,FALSE
Europe,2020-06-29,255380.381,255452.883,255399.958,255348.773,255293.695,189376,FALSE
Asia,2020-06-29,63130.397,454191.102,197283.375,1195.034,-228941.042,54941,FALSE
Africa,2020-06-29,35305.191,299920.096,137455.092,-8206.186,-201418.585,12252,FALSE
Latin America and Caribbean,2020-06-29,243282.295,251437.962,243716.84,237845.714,232767.59,153540,FALSE
North America,2020-06-29,171107.014,171107.014,171107.014,171107.014,171107.014,136293,FALSE
Oceania,2020-07-06,-2854.198,871.811,-825.943,-2854.198,-3773.982,139,FALSE
Europe,2020-07-06,264486.091,264560.936,264506.018,264452.542,264397.72,191954,FALSE
Asia,2020-07-06,132341.092,574961.13,270690.12,57987.461,-192240.858,62425,FALSE
Africa,2020-07-06,52556.298,340034.583,156773.591,11181.63,-185481.993,14063,FALSE
Latin America and Caribbean,2020-07-06,275375.343,283358.159,275415.774,269874.168,264375.554,173736,FALSE
North America,2020-07-06,180598.663,180598.663,180598.663,180598.663,180598.663,140846,FALSE
Oceania,2020-07-13,-3330.63,511.13,-1167.844,-3330.63,-4325.367,142,FALSE
Europe,2020-07-13,273369.707,273447.068,273390.541,273335.792,273279.991,194378,FALSE
Asia,2020-07-13,201879.539,697417.188,373930.716,112135.12,-149069.539,70465,FALSE
Africa,2020-07-13,74954.625,382524.79,189691.815,35986.809,-170710.352,16062,FALSE
Latin America and Caribbean,2020-07-13,308029.623,315688.446,308055.578,302455.75,296898.414,194704,FALSE
North America,2020-07-13,191618.112,191618.112,191618.112,191618.112,191618.112,146824,FALSE
Oceania,2020-07-20,-3718.202,240.22,-1568.734,-3718.202,-4796.153,161,FALSE
Europe,2020-07-20,282362.344,282441.894,282384.706,282328.26,282272.385,196554,FALSE
Asia,2020-07-20,279902.062,807131.998,460705.656,168734.746,-80364.781,79896,FALSE
Africa,2020-07-20,103385.852,425261.414,222069.007,57303.067,-153036.079,17955,FALSE
Latin America and Caribbean,2020-07-20,340328.658,347840.021,340328.658,334658.78,329058.924,217463,FALSE
North America,2020-07-20,203785.761,203785.761,203785.761,203785.761,203785.761,153680,FALSE
Oceania,2020-07-27,-4052.427,44.869,-1877.088,-4052.427,-5264.433,209,FALSE
Europe,2020-07-27,297653.605,297734.668,297676.71,297619.306,297564.264,198568,FALSE
Asia,2020-07-27,351899.372,922584.184,546582.332,231486.265,-35896.03,89662,FALSE
Africa,2020-07-27,122745.422,460179.755,248536.903,76814.768,-141190.715,20521,FALSE
Latin America and Caribbean,2020-07-27,372113.602,379198.459,372113.602,365831.598,360618.365,240397,FALSE
