custom_regions,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Oceania,2021-06-28,44446737,0.027753867609924796,0.06943424229122633,0.06334667302504894,0.030404147478274534,0.006769962199331797,-0.0140730117264907,-0.02302644562562255,-0.1451027695759548,-0.006308816068519773,0.003215084157921424
European Union,2021-06-28,447593544,0.12009658408754077,0.12009658408754077,0.12009658408754077,0.12009658408754077,0.12009658408754077,0.12009658408754077,0.12009658408754077,3.2426077703636014,0.12009658408754077,0.07615346659244933
North America,2021-06-28,375152636,0.18374739343361624,0.18374739343361624,0.18374739343361624,0.18374739343361624,0.18374739343361624,0.18374739343361624,0.18374739343361624,0.36749478686723247,0.18374739343361624,0.08168088681642637
Latin America and Caribbean,2021-07-05,655119303,0.540758069833502,0.5664341547648255,0.5637057223435407,0.5472546659300156,0.5250421706498754,0.5117785393684565,0.5083149062355408,20.191221107806278,0.4206504397459641,0.5388768097404084
Asia,2021-07-05,4666863690,0.4300442361572044,0.6615359324204443,0.5591060140984001,0.4631205151714438,0.33150017283746863,0.2549045506552148,0.2199177445976196,1.9982790353504531,0.04078120480307047,0.0497795340579146
Oceania,2021-07-05,44446737,0.06171680244897639,0.09150191219119601,0.08255997670463933,0.062097897880910184,0.03667179672794444,0.02120295403933695,0.015747370610274355,0.4058799153504797,0.017646952841325204,0.005464968103282812
European Union,2021-07-05,447593544,0.056005423839413836,0.056005423839413836,0.056005423839413836,0.056005423839413836,0.056005423839413836,0.056005423839413836,0.056005423839413836,1.5121464436641734,0.056005423839413836,0.06051383082504872
North America,2021-07-05,375152636,0.13513479923304733,0.13513479923304733,0.13513479923304733,0.13513479923304733,0.13513479923304733,0.13513479923304733,0.13513479923304733,0.27026959846609466,0.13513479923304733,0.06625863079368047
Latin America and Caribbean,2021-07-12,655119303,0.5325036788540485,0.558863113195154,0.5584415504823474,0.5423925383765638,0.523640568069603,0.5111786070545045,0.5072124552116934,20.360839068216148,0.42418414725450304,0.47116807364169516
Asia,2021-07-12,4666863690,0.4465063791756903,0.6878357572027023,0.6229949670411631,0.5167747666691342,0.36588001793326924,0.2868087497578393,0.2542819383228237,2.1088963651658,0.04303870132991428,0.06655129025206219
