continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
"Europe, United States, Canada, and Oceania",2021-03-01,1164189376,2553.224222442843,2569.819074267315,2567.285240842246,2558.5048730643234,2549.062201551612,2544.040873261142,2541.602150578583,191652.46662343538,2555.366221645805,5176.856
Latin America and Caribbean,2021-03-08,658737988,5339.742788986153,5457.4706956724885,5449.799380039298,5385.169164011053,5297.737897341328,5238.077066051064,5230.936066590577,237265.81749726235,4943.037864526299,3321.857
Asia,2021-03-08,4653336159,6541.889525076204,9687.36501150741,8673.830154816116,7224.137228041437,4893.081831434426,2057.3279068368965,1231.559850618352,28219.02146471845,564.380429294369,827.718
Africa,2021-03-08,1372305269,2947.98592005764,4947.91639616776,4790.332346518145,3287.1305931321313,2023.4483304802043,1302.2075721200988,1203.9449954943157,38701.35081886185,691.0955503368187,295.713
"Europe, United States, Canada, and Oceania",2021-03-08,1164189376,2780.0438528934055,2799.8335924706103,2797.946557058888,2787.4038393379533,2778.037574409214,2771.6104045710385,2771.080039067476,208844.2724486774,2784.5902993156988,4757.144
Latin America and Caribbean,2021-03-15,658737988,5265.338507207138,5377.6147755454795,5359.151262174668,5300.840886100187,5220.718432411343,5179.088580507816,5162.787547926048,233333.0174972623,4861.104531192965,3537.145
Asia,2021-03-15,4653336159,7788.657665947401,11040.17307823453,10622.224710229426,8735.40190055528,6130.148301880678,2659.3286536118912,1648.353872635364,33785.16432186124,675.7032864372247,829.628
Africa,2021-03-15,1372305269,3344.1385301674995,5132.227051183342,5099.264349612213,3392.9203725143548,2077.8419487247097,1074.3700165519745,889.7049025859369,34450.150818861846,615.181264622533,285.001
"Europe, United States, Canada, and Oceania",2021-03-15,1164189376,3312.0931703677506,3335.761138162337,3335.2864619133993,3323.470059885448,3310.1112891705875,3302.784483765124,3301.660012904632,248315.70102010565,3310.876013601409,4327.716
Latin America and Caribbean,2021-03-22,658737988,5342.892077776541,5484.0742877469465,5480.540499137082,5408.656009044689,5322.212359729389,5258.715094590397,5248.359267320023,236596.44606869115,4929.092626431066,3921.4320000000002
Asia,2021-03-22,4653336159,7776.6054656407805,13348.377344756887,13079.355874711886,9916.970992281447,6470.722631057704,3352.099803055553,2405.0323689355423,19272.108308430477,385.44216616860956,1267.286
Africa,2021-03-22,1372305269,3889.5604432423033,5352.050758707952,5123.285503983999,3889.5604432423033,2261.1611666426497,1373.1721358415668,1201.5485072421604,35362.15081886193,631.4669789082487,296.721
"Europe, United States, Canada, and Oceania",2021-03-22,1164189376,4170.038528415609,4196.774293950089,4191.276335508834,4182.582019099652,4170.038528415609,4162.411339908779,4161.999907235399,312939.98673439235,4172.533156458565,4228.075
Latin America and Caribbean,2021-03-29,658737988,5474.48053448566,5650.3125905894385,5643.644537718862,5565.744028786038,5463.843273906959,5414.941751468489,5380.032915741162,240330.16035440515,5006.878340716774,4474.715
Asia,2021-03-29,4653336159,14406.318923173287,24413.98490428952,21673.860152531674,17746.62327232683,11488.220959007655,7855.447643112181,6612.219015003027,36513.67973700174,730.2735947400347,1128.858
Africa,2021-03-29,1372305269,4474.199627138016,5530.057845288917,5489.770976808551,4474.199627138016,2533.0689593137768,1686.6371362398083,1518.794016002401,35859.75081886185,640.3526931939616,294.572
"Europe, United States, Canada, and Oceania",2021-03-29,1164189376,4344.390459082542,4367.6978710865815,4364.895387966389,4355.774382705753,4342.464507198835,4335.815989798744,4334.797845810935,325521.12959153403,4340.281727887121,4467.713
Latin America and Caribbean,2021-04-05,658737988,5575.982537466573,5777.5974510124615,5766.681996544259,5692.076043735519,5575.982537466573,5520.431233532555,5513.222710332761,241497.7739949583,5031.203624894964,4402.002
Asia,2021-04-05,4653336159,18094.566493807255,26857.283368217504,24909.430062654214,20088.027589374455,14796.244066680543,11634.583077751317,9394.22255431492,60445.45700274689,1208.9091400549378,1506.143
Africa,2021-04-05,1372305269,4429.914522517429,4903.823146276771,4843.164483951363,4429.914522517429,2549.83634445677,1957.2015165900068,1629.466521921359,55806.9456575716,996.5526010280644,265.145
"Europe, United States, Canada, and Oceania",2021-04-05,1164189376,4701.059487237331,4723.536584720356,4714.859794101656,4701.059487237331,4657.430545845001,4626.402451891645,4616.343161403245,345847.2391327056,4611.296521769408,4225.858
