region,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Europe & Central Asia,2020-07-20,923927595,32.584587723285594,32.81280082401289,32.74297276683021,32.584587723285594,32.39832352014148,32.256624612506194,32.100317400365725,1894.938029820878,32.117593725777596,22.523996807347224
Middle East & North Africa,2020-07-20,493379661,31.09573841938848,35.369701789031446,35.09978051250306,32.2544814116066,29.093184336544844,27.076172815664858,26.37760458348351,508.3331667240305,24.20634127257288,5.80326192246502
East Asia & Pacific,2020-07-20,2362944397,-7.7219005271905194,0.5288774590533865,-0.08510017496574002,-3.269104862692178,-7.7219005271905194,-9.248624041789508,-9.833463342056328,-219.27608469605246,-5.348197187708597,0.5240101720429945
North America,2020-07-20,376814276,54.0859531798148,54.08707126418817,54.08691893344528,54.086422334555806,54.0859531798148,54.08574621969921,54.08568947263266,216.34620446685312,54.08655111671328,40.7864125084263
Other,2020-07-20,3675292,13.003999120434177,38.558820767411845,34.85583961178076,23.834245196941264,13.003999120434177,5.941854971884522,5.130801255083807,88.05036460289169,14.675060767148617,4.516974433596024
Latin America & Caribbean,2020-07-27,660258572,56.45726433225376,58.21372010808352,58.1300857964432,57.01878592150507,55.96610088359374,55.18873369165898,55.16434273993079,2719.2021197129,55.49392081046736,36.40933313017252
South Asia,2020-07-27,1918999115,25.216354694468865,42.25380394012084,38.0888705390349,25.216354694468865,11.334099150308461,0.9562264920621154,-0.5480499209634526,-0.07952153343749542,-0.009940191679686928,2.2355416771518417
Sub-Saharan Africa,2020-07-27,1211214422,19.173181390900925,30.959185791080632,29.757182651978173,19.173181390900925,-0.5763745790406979,-14.254355055961247,-19.103573713583636,52.809614799748985,1.1002003083281038,1.1765194288612921
Europe & Central Asia,2020-07-27,923927595,34.89303825531247,35.13559124623416,35.0640739530708,34.89303825531247,34.685472615730546,34.52895469827601,34.40217150048156,2027.2038916237746,34.3593879936233,22.777589406234803
Middle East & North Africa,2020-07-27,493379661,34.329475495380294,39.2546763383124,38.904769162468334,35.390335660283725,32.102062992459096,29.906632551389873,29.178045086528567,557.6804078419134,26.55620989723397,6.417799010162278
East Asia & Pacific,2020-07-27,2362944397,-7.725507104371239,1.3672831106221812,0.8911791142453473,-2.793425806293892,-7.725507104371239,-9.304093646274044,-10.036276981090268,-221.62467862181938,-5.405479966385839,0.556554272571823
North America,2020-07-27,376814276,57.28214079022585,57.28330079100382,57.28316830332866,57.282629448707915,57.28214079022585,57.281926379416056,57.28185502804527,229.13106704541903,57.28276676135476,42.88452914135345
Other,2020-07-27,3675292,17.322921028796294,43.7594809837772,40.25438057019098,28.77665143411014,17.322921028796294,9.86641848019594,9.817413604634554,112.98394127807164,18.83065687967861,5.686976708245222
Latin America & Caribbean,2020-08-03,660258572,60.9777851608823,62.849315531912886,62.662455062628794,61.48705867348268,60.431113320495506,59.616969186111284,59.56644102804614,2930.3905558129336,59.8038888941415,39.82738901873734
South Asia,2020-08-03,1918999115,28.010885583963486,46.807887574113124,41.5972520930329,28.010885583963486,13.414004122580073,2.4931668455953826,0.7809658517317363,-0.07788351187708985,-0.009735438984636231,2.5364283714117293
Sub-Saharan Africa,2020-08-03,1211214422,21.174146486170613,33.48830326132348,32.251951895497236,21.174146486170613,0.17042341885345402,-14.084591752015376,-18.95066182069418,65.47012456362128,1.3639609284087768,1.3502314456424132
