region,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Western Europe,2020-11-02,198272204,74218.12617524662,74218.12617524662,74218.12617524662,74218.12617524662,74218.12617524662,74218.12617524662,74218.12617524662,667963.1355772197,74218.12617524662,72255.365
Eastern Europe,2020-11-02,291464163,306045.0496684929,306045.0496684929,306045.0496684929,306045.0496684929,306045.0496684929,306045.0496684929,306045.0496684929,3060450.4966849294,306045.0496684929,58843.93666666667
Northern America,2020-11-02,375278947,336733.1638517305,336737.7911762986,336737.153341707,336734.6799297015,336731.9457396946,336730.4877868227,336730.32248336816,1683674.7162157309,336734.9432431462,241921.995
South-eastern Asia,2020-11-02,675308604,66442.47847830859,168073.95480787163,157159.45913290358,90923.78961330207,-18533.73992576103,-61036.657226650546,-74970.55986101963,-274123.5148273175,-24920.31952975614,23005.332
Eastern Asia,2020-11-02,1613865100,18725.16103417245,626398.6387685019,565060.4977754358,196291.54101604602,-16475.80342120399,-161102.1556718676,-175248.82337421982,-556283.733392607,-92713.95556543449,5721.583
Polynesia,2020-11-02,672480,-94.438048409393,70.65717224394523,46.769010279859316,-35.32935894910528,-114.63599699131126,-183.550273107306,-207.00286686689782,-368.0865572859139,-40.898506365101554,39.501
Northern Europe,2020-11-02,106197356,77607.22366925539,77749.89011383556,77702.63395960692,77638.8685668563,77568.64035732715,77534.05906917894,77522.59212256873,1087013.1387106127,77643.79562218663,74779.201
Northern Africa,2020-11-02,255737737,265973.28433863574,291488.6152830705,270598.69372704515,265973.28433863574,179528.53314991805,153868.388057413,144933.14540573256,886391.2021767066,126627.31459667237,15204.440999999999
Melanesia,2020-11-02,12188834,-872.0869652938293,3201.3998394587684,2905.719739591786,814.4119539310169,-2299.7886298557287,-4343.560935490723,-4907.450185024389,0,0,9.758
Micronesia,2020-11-02,534606,9.888306844782491,248.35402408025848,222.49416517672938,68.47472809188315,-52.420234645152966,-230.92514907249262,-277.1126599772169,0,0,0
Central Asia,2020-11-02,75497721,57093.641994831014,59517.869775087034,59200.11221493148,57692.06684584275,56363.36634162287,55403.02024998689,54624.28101391601,274365.75965507154,54873.151931014305,4525.318
Other,2020-11-02,25642027,-4441.563745622544,-4441.563745622544,-4441.563745622544,-4441.563745622544,-4441.563745622544,-4441.563745622544,-4441.563745622544,-8883.127491245088,-4441.563745622544,703.514
Latin America and the Caribbean,2020-11-09,654992992,675812.130915187,687327.8274666177,685706.5280303014,676488.0214624831,665337.9118915395,656833.3282771519,655180.7266909892,29361641.463121846,652480.9214027077,459266.871
Southern Asia,2020-11-09,1989452477,1441825.1844315205,1647031.2755934868,1608279.3591620508,1441825.1844315205,1164623.1950200337,836232.0671786596,613820.652937707,861292.5162329366,95699.16847032629,181676.34333333332
Sub-Saharan Africa,2020-11-09,1136656566,228509.09884890588,425211.317258874,372157.62935537426,228509.09884890588,-23294.51150241136,-269758.4628603593,-403424.8456559053,1593675.146917408,32523.982590151187,28964.842666666667
Southern Europe,2020-11-09,150043376,183410.96365292542,183411.46691345613,183411.3507796319,183411.13321047186,183410.8998448673,183410.7782237753,183410.70162624397,2934576.8996384842,183411.05622740526,92013.31533333333
Western Asia,2020-11-09,289775883,262085.06095178422,351077.09118219034,333128.6501667583,262085.06095178422,162672.20667094132,128337.44222506962,114636.57681681743,221994.55218506715,12333.030676948176,40255.560333333335
Australia and New Zealand,2020-11-09,31050817,-5996.021722842798,-5996.021722842798,-5996.021722842798,-5996.021722842798,-5996.021722842798,-5996.021722842798,-5996.021722842798,-11992.043445685596,-5996.021722842798,939.1946666666666
Western Europe,2020-11-09,198272204,83768.61386584723,83768.61386584723,83768.61386584723,83768.61386584723,83768.61386584723,83768.61386584723,83768.61386584723,753917.524792625,83768.61386584723,79611.364
Eastern Europe,2020-11-09,291464163,348625.6048003174,348625.6048003174,348625.6048003174,348625.6048003174,348625.6048003174,348625.6048003174,348625.6048003174,3486256.0480031734,348625.6048003174,68042.95166666666
Northern America,2020-11-09,375278947,349870.79666712234,349875.5063174523,349874.83194111084,349872.28012021777,349869.51268550614,349868.1628816798,349867.9073760349,1749362.6692686363,349872.5338537273,249933.992
South-eastern Asia,2020-11-09,675308604,73677.63117492519,178616.8438313702,169273.20941810592,98829.33635968843,-14573.64750320637,-60128.96171944731,-73633.09048851498,-272376.1637147638,-24761.469428614895,24210.333
Eastern Asia,2020-11-09,1613865100,25583.93282898114,645256.5439419261,612863.567955109,208465.08885312526,-12066.833762215045,-159202.69221973163,-177811.69303286806,-556346.1228600385,-92724.35381000643,5784.583
