region,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Southern Asia,2021-03-01,1962272390,0.21068235166805938,0.32345120775028474,0.3064831657978492,0.24842173954224456,0.16790868360187103,0.09098268383770573,0.0075265397877898495,0.05909189624215864,0.006565766249128738,0.018120369109407893
Sub-Saharan Africa,2021-03-01,1121670004,0.20716156729231072,0.2991400759222178,0.2854115624692485,0.20826858663781,0.10668133737824238,0.03126685848052096,0.0047022656175350645,1.0143556054830412,0.02070113480577635,0.020288498327356536
Southern Europe,2021-03-01,150192351,0.22594648221954733,0.2264657956081265,0.22640195875853442,0.22616931173102572,0.2259056900474749,0.22573778487687796,0.2256846344327671,3.612030411788901,0.22575190073680632,0.4817635486643391
Western Asia,2021-03-01,284170120,0.2726923364632061,0.36510478300768917,0.34618926324267235,0.27619006719016637,0.2096108688392399,0.14635421329109013,0.13231791266239198,0.4757157860431762,0.026428654780176458,0.08883129584489742
Australia and New Zealand,2021-03-01,30914517,-0.0027014896850875224,-0.0027014896850875224,-0.0027014896850875224,-0.0027014896850875224,-0.0027014896850875224,-0.0027014896850875224,-0.0027014896850875224,-0.005402979370175045,-0.0027014896850875224,0
Western Europe,2021-03-01,198599053,-0.38542336592305726,-0.38542336592305726,-0.38542336592305726,-0.38542336592305726,-0.38542336592305726,-0.38542336592305726,-0.38542336592305726,-3.468810293307516,-0.38542336592305726,0.37181848999048356
Eastern Europe,2021-03-01,292475148,0.8312554770949747,0.8312554770949747,0.8312554770949747,0.8312554770949747,0.8312554770949747,0.8312554770949747,0.8312554770949747,8.312554770949745,0.8312554770949747,0.439157654516342
Northern America,2021-03-01,371107718,0.14177062453385544,0.14185117275832496,0.1418307918415794,0.14179843117983806,0.1417691348415606,0.14174562869562307,0.14174255429328703,0.7090179347748996,0.14180358695497994,0.547049522694109
South-eastern Asia,2021-03-01,674675391,0.21535235803539368,0.295310215812495,0.28462254130475967,0.2392464679039418,0.1449958395369921,0.10707260448448669,0.10028402056008526,0.6775514560135614,0.06159558691032376,0.04114156284677649
Eastern Asia,2021-03-01,1658782555,-0.06131974923509204,0.08353074197606057,0.05145999442623458,0.006471975814100598,-0.06131974923509204,-0.10512422862661515,-0.12320247969111595,-0.04742269428192781,-0.006774670611703973,0.0037463017568327393
Polynesia,2021-03-01,633057,-0.17173257736538572,-0.06684499005450129,-0.0838371589919668,-0.12035084867520404,-0.17804981707380796,-0.21728277851338912,-0.23742075521550624,-1.1270865618861563,-0.12523184020957295,0.02258880321993122
Northern Europe,2021-03-01,106727166,-0.016609936562880113,-0.015120032694215716,-0.015476455673039312,-0.016132652038898607,-0.016868224401889526,-0.017235030093170838,-0.017421489226988402,-0.22580551687616798,-0.01612896549115486,0.3786692883796802
Northern Africa,2021-03-01,250023393,0.3277344753087864,0.41732228422181156,0.40997253371581044,0.36732255110611933,0.30945818946111314,0.2747679811193941,0.2643156212105864,1.183249703203355,0.19720828386722586,0.043253552678568764
Melanesia,2021-03-01,11328580,-0.09293161551942387,0.12287506991914184,0.09338056199610374,0.022429618187635135,-0.09293161551942387,-0.1286742484075014,-0.14461714857318608,0,0,0.005040349275902187
Micronesia,2021-03-01,554402,-0.03297517076737959,0.12881325285090578,0.09307376753674586,0.027022202133010195,-0.07393240678983615,-0.13320604838038433,-0.15316238798231954,0,0,0
Central Asia,2021-03-01,75250695,0.10026208350368726,0.1229759791622855,0.12089787967751651,0.11070568355807876,0.09766496664116521,0.08354733395942053,0.08042414463647816,0.5359246342986933,0.10718492685973864,0.016516790974488674
Other,2021-03-01,23855008,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,-0.19060492401580498,0
Latin America and the Caribbean,2021-03-08,658613257,0.8000380944108165,0.8273631214238902,0.8239253555571406,0.8144091409681136,0.7999079644085452,0.7884317845285678,0.7860976646739157,33.252970177772205,0.7389548928393824,0.504371414436925
Southern Asia,2021-03-08,1962272390,0.21796135981532197,0.30354886556154476,0.29793249010318207,0.2436977323538684,0.16679666894353773,0.06792783337065998,-0.011985618369243976,0.04793223980206243,0.005325804422451381,0.014298371695481073
