region,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
AMRO,2021-11-01,1026162142,2808.431336550061,2945.058663445207,2916.509532664928,2828.869458182597,2741.497757420104,2668.828216386964,2656.9910330885054,86826.06248009381,2480.7446422883945,2135.428
WPRO,2021-11-01,1939733436,4133.62231192153,5911.182459268856,5767.562002976074,4133.62231192153,2343.63553152626,1375.1050176458834,1203.9699106878538,9163.183064306626,339.37715052987505,392.286
SEARO,2021-11-01,2040340794,9209.795929321961,17365.874128084375,16458.510273856853,9895.54003913684,5742.623737991182,3228.8956836947305,2347.5496626897966,2683.590405682963,243.96276415299664,690.857
Other,2021-11-08,44430902,73.24443137611277,94.23353173745393,92.92161770591414,80.04726405061335,67.12051943741078,61.732436370346605,58.8959777092494,1887.456140685398,52.42933724126105,8.288
EMRO,2021-11-08,739378959,2341.8862923186484,3469.466856750602,3435.2997995804785,2596.8120357889125,2128.2567343459905,1858.7145747110937,1759.9089726916668,16852.418241173124,802.4961067225297,308.715
AFRO,2021-11-08,1148918838,2953.224965344828,4361.327125204113,3515.37591141738,2953.224965344828,1665.6166794601343,894.787030960085,836.3388401881066,9795.457795120667,208.41399564086524,81.43299999999999
EURO,2021-11-08,935273721,10856.906801537847,11046.66991595763,10944.811534069897,10856.906801537847,10454.423604345286,10243.262793097047,10208.252972404636,509973.0511327221,9622.13304024004,3923.1923333333334
AMRO,2021-11-08,1026162142,2934.8217801444603,3059.518459984794,3044.6909011286516,2974.295009723118,2892.29581551493,2803.073949376961,2790.972283389411,92298.56248009382,2637.1017851455376,1917.571
WPRO,2021-11-08,1939733436,3120.975350026593,5796.429136350032,5410.592694699025,3966.498362171106,2276.2439077938543,1490.3851753010533,1161.5793897489139,8920.954492878054,330.40572195844646,370.142
SEARO,2021-11-08,2040340794,8443.891110863144,16186.205452572913,14794.226670840551,8722.41263957127,5544.66830382601,2430.5066279481853,1891.3359354149507,2683.590405682963,243.96276415299664,485.145
Other,2021-11-15,44430902,70.92675307671578,92.29495836694484,90.27291478714136,74.85989026295364,64.35690222455453,56.193823424831024,56.07496906594443,1887.456140685398,52.42933724126105,7.0009999999999994
EMRO,2021-11-15,739378959,2134.395352782875,3104.1550449098845,2949.345736589514,2333.488831381202,1855.7336751934124,1585.1869082517853,1579.553530480447,14626.898241173123,696.5189638653868,270.857
AFRO,2021-11-15,1148918838,2897.8025768924995,4292.166402649365,3503.4542023520066,2897.8025768924995,1596.0444945055017,956.0057829208196,855.602377092008,7426.657795120707,158.0139956408661,81.428
EURO,2021-11-15,935273721,11062.78149092421,11266.919519138566,11229.447735247304,11062.78149092421,10654.999782747258,10447.530628522567,10430.653399260656,521604.27970415074,9841.590183097183,4131.708
AMRO,2021-11-15,1026162142,2666.6136977979377,2793.840341481525,2766.959568682118,2707.027566220612,2626.423864779451,2539.467015243881,2516.5686667701693,83828.72914676048,2395.1065470502995,1939.431
WPRO,2021-11-15,1939733436,3564.658899783272,6054.423614239954,5677.889884180898,4080.467080134967,2438.5815056035135,1558.7668778387988,1322.4005644579925,10503.925921449485,389.03429338701795,375.286
SEARO,2021-11-15,2040340794,7381.697316922912,16051.44913695722,12455.913981700098,7771.414796779758,4486.5431183850005,2653.2259300812243,1854.2068479184616,2683.590405682963,243.96276415299664,464.857
Other,2021-11-22,44430902,68.52724988744903,89.6900594758614,89.19719536300751,74.83468978179857,62.72494832273511,56.05350782528184,54.888347933485335,1887.456140685398,52.42933724126105,5.715
EMRO,2021-11-22,739378959,2218.578361806748,3119.9443993848035,3014.183972675818,2391.5810876420564,1913.0037960037353,1631.221438986955,1612.6262292850827,15542.618241173122,740.1246781511011,257.714
AFRO,2021-11-22,1148918838,2830.7091400630297,4241.651397564077,3400.243175452241,2830.7091400630297,1586.3484524848716,969.6081947941877,811.2604597447528,7031.857795120701,149.61399564086597,67.575
