region,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
North America,2020-02-17,376814276,-0.025465699288469604,-0.025461761700012502,-0.02546290993741193,-0.025464097555761196,-0.025465699288469604,-0.025466922806716908,-0.025466966118957043,-0.10185543256185399,-0.025463858140463497,0
Other,2020-02-17,3675292,-0.04292041209432498,0.0744062517760155,0.055128183192884976,-0.00798690209793989,-0.04376935236459591,-0.07680743251064033,-0.0786236519988248,-0.1268216575628759,-0.02113694292714598,0
Latin America & Caribbean,2020-02-24,660258572,-0.02759406424261923,-0.024271367829980735,-0.02482500213229682,-0.02717487464674824,-0.030124653886778232,-0.03388708245017007,-0.034322149562812834,-1.3126727715904851,-0.026789240236540515,0
South Asia,2020-02-24,1918999115,-0.005690632442756197,0.06430945952955232,0.057197331305188476,0.015444542357753341,-0.031165873549932742,-0.08096431819313028,-0.10430876568289198,9.450512880365721e-5,1.1813141100457151e-5,0
Sub-Saharan Africa,2020-02-24,1211214422,-0.021086790362655743,0.07823232280361714,0.05158701767306651,-0.00158576079102269,-0.06173648606951356,-0.10190565663084375,-0.11031329690997753,-0.20349377342780525,-0.0042394536130792755,0
Europe & Central Asia,2020-02-24,923927595,-0.1376468068615369,-0.13621221948150178,-0.13633303622778303,-0.13701297610158736,-0.13772949215497618,-0.13840007690148087,-0.13875485072596871,-8.095233802510009,-0.13720735258491543,7.738701645771279e-5
Middle East & North Africa,2020-02-24,493379661,-0.008655365936437117,0.0031723322481118903,9.782429342736895e-4,-0.0028773204305000545,-0.011100577212438437,-0.01598100180555132,-0.016865192881641733,-0.048718223768536184,-0.0023199154175493424,2.3166743389529387e-4
East Asia & Pacific,2020-02-24,2362944397,-0.06595131623277907,-0.03847946950664917,-0.042195287577067586,-0.05444364512557813,-0.06668422590451896,-0.07005980823838215,-0.07045275986751912,-2.59605098783453,-0.06331831677645196,0.004461763896512034
North America,2020-02-24,376814276,0.0028105049159819324,0.002814904697534369,0.002814403564086907,0.0028121808198126293,0.002809960711146948,0.0028084629259095065,0.002808108600578982,0.011251478037027423,0.002812869509256856,0
Other,2020-02-24,3675292,-0.061680411001291104,0.013224705218466382,8.133895835753895e-4,-0.03911332342905816,-0.07113175441710116,-0.10846581042324233,-0.12241556192781566,-0.1268216575628759,-0.02113694292714598,0
Latin America & Caribbean,2020-03-02,660258572,-0.0017171703139433007,0.002545976080114551,0.0014433335428587094,-0.0013946412010458643,-0.004918305499354635,-0.00807404606133946,-0.00850594729833824,-0.04602456615808763,-9.392768603691354e-4,0
South Asia,2020-03-02,1918999115,-0.04489969943567283,0.06581680363275477,0.04634766019211093,-0.01347181632769857,-0.07936138549671488,-0.13686428335294934,-0.1472823510206906,-6.643146702042524e-4,-8.303933377553155e-5,0
Sub-Saharan Africa,2020-03-02,1211214422,-0.017675050827035677,0.13384071088134553,0.09010292850253561,0.03689361692156034,-0.04763268609343045,-0.12098343158848772,-0.13253851315444964,0.23895228509804917,0.004978172606209358,0
Europe & Central Asia,2020-03-02,923927595,-0.10757950969391626,-0.10632074069160821,-0.10661536884111956,-0.10738864690400171,-0.1083804834536719,-0.10951792284985992,-0.10989211602857961,-6.259720990410109,-0.10609696593915441,5.10321374263099e-4
Middle East & North Africa,2020-03-02,493379661,0.04117004766797721,0.054077772664159515,0.052149309779576,0.044303378475134554,0.035088687635381394,0.02756834024491853,0.027267713093845652,0.8574943122020321,0.04083306248581105,0.0013318343903114401
East Asia & Pacific,2020-03-02,2362944397,-0.11910080763733427,-0.10391095994910352,-0.10477266193840665,-0.1127732908491624,-0.12091280437096659,-0.1330077746175751,-0.13509854803689608,-4.354579830003093,-0.10620926414641692,0.002067632232989865
North America,2020-03-02,376814276,0.009088828730405509,0.009093083480851576,0.00909291372771096,0.009090734370282924,0.009088273953451437,0.009085580782037132,0.009085099968843486,0.03636649356068957,0.009091623390172393,7.589945981770605e-5
Other,2020-03-02,3675292,-0.0497007276161847,0.04019174173280039,0.032380424281003704,-0.023070746710938343,-0.06564518029581114,-0.09745829226400347,-0.11466268497017,-0.09596601492647625,-0.015994335821079373,0
Latin America & Caribbean,2020-03-09,660258572,-0.0034929127193948305,0.004302755217548302,0.001364870247401112,-0.0011977875148942844,-0.005773397399442164,-0.01017004214619272,-0.010643319008227826,-0.07980930991249073,-0.001628761426785525,4.331636303239089e-5
South Asia,2020-03-09,1918999115,-0.02824035530152526,0.09893629866559411,0.06947989500909979,0.017129272431282993,-0.0694603529985752,-0.16018564962956924,-0.19959624127485537,-6.643146702042524e-4,-8.303933377553155e-5,0
Sub-Saharan Africa,2020-03-09,1211214422,-0.03488673274486125,0.09760616621017805,0.07269063209180393,0.01356745390852976,-0.05920082994941506,-0.13042015218581451,-0.15307864880763464,0.1113448217186184,0.00231968378580455,5.8949099930714e-5
Europe & Central Asia,2020-03-09,923927595,0.036694459918285564,0.03785642561972923,0.037631899176227675,0.036816981704328136,0.03571213984056028,0.03465382234968177,0.034065356471872116,2.244315828312987,0.03803925132733876,0.005952955653413514
Middle East & North Africa,2020-03-09,493379661,0.09497576089009939,0.11012308540583422,0.10901777409406162,0.09872353448204212,0.08642813482344633,0.08095832576740361,0.07920960673914083,1.9382198510685393,0.09229618338421618,0.004227373288498814
East Asia & Pacific,2020-03-09,2362944397,-0.05119995600800684,-0.03526984205018956,-0.035970461676410596,-0.04632026763352618,-0.05845194902695187,-0.06893206244069391,-0.07014035542096049,-1.5597475586686096,-0.03804262338216121,0.0014751510887964412
North America,2020-03-09,376814276,0.009975925608708799,0.009981194322557983,0.009980630308893476,0.009977803675546163,0.009975231192131775,0.009972708707629143,0.009972272964096831,0.0399150397339825,0.009978759933495625,8.340979098148606e-4
Other,2020-03-09,3675292,-0.05226837372970748,0.05161996440063346,0.02922263025798194,-0.028507002501579295,-0.06973485876185814,-0.09901756908964673,-0.1263680308386693,-0.09596601492647625,-0.015994335821079373,0
Latin America & Caribbean,2020-03-16,660258572,-0.021536749058632863,-0.0146309541746952,-0.0159776237965506,-0.018677927053285037,-0.023417142755905257,-0.027644242477540812,-0.02895985880939124,-0.7774678024098417,-0.01586668984509881,3.895443556619209e-4
