region,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Middle East & North Africa,2020-01-13,472721233,-227.23184577414253,399.63522630367686,373.94755109885125,194.66760037234198,-227.23184577414253,-386.3377856643959,-422.24697788116305,0,0,0
East Asia & Pacific,2020-01-13,2400504322,-19890.703426049527,-16748.447880163814,-18790.857769001646,-19890.703426049527,-894012.7829171416,-894012.7829171416,-894012.7829171416,-894012.7829171416,-22923.404690183117,0
North America,2020-01-13,371050850,-0.08900157665122446,0.07127974461257994,0.04949445408830966,0,-0.08900157665122446,-0.13436697883706983,-0.27799650218235034,0,0,0
Other,2020-01-13,17189,-0.1141091023988646,0.4443315268398292,0.3453443052876595,0.07715201997321175,-0.13133817925157998,-0.26675068774578103,-0.30009522649742976,0,0,0
Latin America & Caribbean,2020-01-20,655680793,54.880406712645254,453.5330888524152,429.6190619839349,181.59667208444304,-6.267318174401613,-134.3153883098567,-194.00122360675348,0,0,0
South Asia,2020-01-20,1877243630,21057.228546131926,21057.228546131926,21057.228546131926,21057.228546131926,-1413.1084347558206,-7652.55916641764,-8784.714564111386,0,0,0
Sub-Saharan Africa,2020-01-20,1165571063,12589.501548330109,15808.562440106365,13608.132239072676,12589.501548330109,0,-4345.836272188483,-5116.147835450752,0,0,0
Europe & Central Asia,2020-01-20,925895167,-238.11527807736337,222.7871450911789,187.38641196201866,0,-313.33011243503705,-684.4615220963241,-742.2312869671101,0,0,0
Middle East & North Africa,2020-01-20,472721233,-303.90052681656977,513.5291535347799,504.71538769617223,234.70741337847016,-303.90052681656977,-517.5045265252012,-581.7521829790004,0,0,0
East Asia & Pacific,2020-01-20,2400504322,-29683.061720591646,-25422.602433196604,-27821.68717429159,-29683.061720591646,-1317929.9448613524,-1317929.9448613524,-1317929.9448613524,-1317929.9448613524,-33793.07550926545,0
North America,2020-01-20,371050850,-0.1986290717410997,0.03859604235640984,0.018889231614120188,0,-0.1986290717410997,-0.2814350843191298,-0.3769979398924904,0,0,0
Other,2020-01-20,17189,-0.1814055250759844,0.5346619703053994,0.4000954739279374,0.10053195120234056,-0.2069330723149903,-0.4178005015165102,-0.4375092443516895,0,0,0
Latin America & Caribbean,2020-01-27,655680793,-457.00213449864316,77.96027121350932,-8.319501306062932,-293.0720674161614,-23331.799133551223,-23331.799133551223,-23331.799133551223,-23331.799133551223,-542.5999798500284,0
