continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
"W. Europe, NA, and Aus/NZ",2020-05-04,1062311981,3951.4297471749987,3951.641222361149,3951.634942353599,3951.465721351472,3951.2235902248103,3951.000542927189,3950.953800455583,181758.90929563774,3951.28063686169,4147.2880000000005
"W. Europe, NA, and Aus/NZ",2020-05-11,1062311981,3901.776298473928,3901.9618337652237,3901.9428003251005,3901.7813252852925,3901.56615731124,3901.378000111316,3901.297171230523,179482.04072420934,3901.783494004551,3516.001
"W. Europe, NA, and Aus/NZ",2020-05-18,1062311981,3161.805498759935,3161.945745840176,3161.9155351547247,3161.805498759935,3161.5635465709524,3161.3772597014195,3161.373158827696,145438.88643849426,3161.714922575962,2991.741666666667
"W. Europe, NA, and Aus/NZ",2020-05-25,1062311981,2625.5717728942845,2625.7966012595853,2625.7918985111855,2625.6223863088567,2625.406282962107,2625.218713067052,2625.149706737668,120781.17786706518,2625.6777797188083,2424.4880000000003
"W. Europe, NA, and Aus/NZ",2020-06-01,1062311981,2590.209490870547,2590.439681416211,2590.4085640235894,2590.320627262761,2590.1281666512323,2589.9748608311193,2589.9568238798774,119154.07802067531,2590.306043927724,1967.4083333333333
"W. Europe, NA, and Aus/NZ",2020-06-08,1062311981,2491.521678322396,2491.74502501238,2491.724222782747,2491.610556273525,2491.4664261505814,2491.3331367338606,2491.319937939294,114612.0380206754,2491.5660439277262,1796.288
"W. Europe, NA, and Aus/NZ",2020-06-15,1062311981,2195.514898121624,2195.7126841094987,2195.70882280297,2195.6060670816037,2195.454648063993,2195.334904810289,2195.2694656530125,100995.6437349607,2195.5574724991457,1522.573
"W. Europe, NA, and Aus/NZ",2020-06-22,1062311981,2822.6591665381197,2822.846729683324,2822.8208753769572,2822.738555763327,2822.627105313971,2822.536534646407,2822.5283743736422,129843.68944924639,2822.6889010705736,1555.0463333333332
"W. Europe, NA, and Aus/NZ",2020-06-29,1062311981,2824.622004788524,2824.753099988948,2824.733235116857,2824.691127220716,2824.600651283561,2824.537658083921,2824.521578892379,129933.84944924722,2824.648901070592,1414.8353333333334
"W. Europe, NA, and Aus/NZ",2020-07-06,1062311981,3086.4333424916945,3086.5518620704734,3086.538211616195,3086.488670397925,3086.4068935785067,3086.3472025392343,3086.331960111534,141977.07482559077,3086.4581483824077,1273.1633333333334
"W. Europe, NA, and Aus/NZ",2020-07-13,1062311981,3246.1772646490076,3246.2886406862704,3246.281717649807,3246.226379868655,3246.146434453787,3246.095387922828,3246.077456461382,149325.24625416327,3246.2010055252886,1546.1676666666667
"W. Europe, NA, and Aus/NZ",2020-07-20,1062311981,3332.635636806654,3332.7406239738316,3332.727231109729,3332.664706842233,3332.5804446272696,3332.517125680296,3332.5018276480146,153302.4062541621,3332.661005525263,1499.602
"W. Europe, NA, and Aus/NZ",2020-07-27,1062311981,4071.6688623037544,4071.7941276198953,4071.7882910770286,4071.713567068575,4071.613565856785,4071.5524234071545,4071.5384174112805,187297.98339701968,4071.695291239558,1778.6903333333332
"W. Europe, NA, and Aus/NZ",2020-08-03,1062311981,3642.9959840748966,3643.17593145836,3643.1058485794515,3643.022273168918,3642.926072708396,3642.8447257786784,3642.8311992553286,167578.5295721354,3643.0115124377257,1738.8826666666669
"W. Europe, NA, and Aus/NZ",2020-08-10,1062311981,4537.853673105994,4538.053591173143,4538.044726673681,4537.911600843187,4537.794259505384,4537.703792733439,4537.699580166461,208742.08957213478,4537.871512437712,1906.1473333333333
"W. Europe, NA, and Aus/NZ",2020-08-17,1062311981,3632.782713201574,3632.9984771563227,3632.966704235331,3632.834460199121,3632.7141154613855,3632.6304939086417,3632.6289114828023,167108.67242927843,3632.7972267234445,1761.002
"W. Europe, NA, and Aus/NZ",2020-08-24,1062311981,2887.05975003797,2887.308964682413,2887.296521447614,2887.126612907961,2886.9992414800786,2886.926192799173,2886.919836167883,132805.6838578487,2887.080083866276,1660.429
"W. Europe, NA, and Aus/NZ",2020-08-31,1062311981,2466.363695568076,2466.6615577931047,2466.618224706967,2466.4638400046956,2466.3086110189165,2466.2337238093887,2466.2288517997977,113453.61528642036,2466.3829410091384,1603.5246666666667
"W. Europe, NA, and Aus/NZ",2020-09-07,1062311981,2755.354162745953,2755.649403469684,2755.6176670311756,2755.4416582439153,2755.2894064516463,2755.211924539845,2755.2047325106055,126746.92563972261,2755.367948689622,1503.5473333333334
"W. Europe, NA, and Aus/NZ",2020-09-14,1062311981,2733.3072003295483,2733.5786992671206,2733.5330590451877,2733.403905194023,2733.2550430378265,2733.161100121681,2733.1425351207154,125732.6913540089,2733.319377261063,1416.857
"W. Europe, NA, and Aus/NZ",2020-09-21,1062311981,2519.8284335988556,2520.086226846382,2520.0592061819502,2519.9454305796553,2519.7837212612885,2519.6881646892766,2519.6608843555227,115912.6113540092,2519.83937726107,1480.146
"W. Europe, NA, and Aus/NZ",2020-09-28,1062311981,2427.0159186665423,2427.2952780189135,2427.2613178042784,2427.1128565799027,2426.9813249044355,2426.8744832177244,2426.8650599966054,111644.2056397229,2427.0479486896284,1570.859
"W. Europe, NA, and Aus/NZ",2020-10-05,1062311981,2735.082176070003,2735.3140332347007,2735.2729183625106,2735.1519801488075,2735.0233266633427,2734.9523782796136,2734.939572919074,125814.603857849,2735.1000838662826,1607.3323333333333
"W. Europe, NA, and Aus/NZ",2020-10-12,1062311981,3108.791990036831,3108.9903309239676,3108.9838546816413,3108.8632080467714,3108.7394449965777,3108.648786229279,3108.637133832068,143005.1981435634,3108.8086552948566,1627.6676666666667
"W. Europe, NA, and Aus/NZ",2020-10-19,1062311981,4885.3702447281275,4885.603405093182,4885.5481126364975,4885.437179023068,4885.3121592962025,4885.231596408726,4885.189967175924,224727.3524292776,4885.377226723426,1956.573
"W. Europe, NA, and Aus/NZ",2020-10-26,1062311981,6244.493189539447,6244.768365676804,6244.740168295898,6244.591115135342,6244.441003337461,6244.37510567524,6244.311367951557,287247.13528642047,6244.502941009141,2612.3343333333332
"W. Europe, NA, and Aus/NZ",2020-11-02,1062311981,8111.18613229254,8111.4405072827185,8111.408774073323,8111.3227829675225,8111.179376419212,8111.004054636708,8110.9854320109935,373114.3827825805,8111.182234403924,3367.6903333333335
"W. Europe, NA, and Aus/NZ",2020-11-09,1062311981,8560.428114797372,8560.679685950183,8560.635351171424,8560.511453831454,8560.335834978277,8560.202366775655,8560.102427441718,393768.3827825806,8560.182234403926,4851.480333333333
"W. Europe, NA, and Aus/NZ",2020-11-16,1062311981,8870.44589344234,8870.726892805176,8870.706983412694,8870.590804090067,8870.4298540437685,8870.243353028061,8870.167310008634,408040.8684968663,8870.453662975355,5350.593666666667
"W. Europe, NA, and Aus/NZ",2020-11-23,1062311981,8973.189544660076,8973.479505843301,8973.448396460766,8973.342693083623,8973.179770314588,8972.983298002953,8972.92701178218,412766.7770682949,8973.190805832497,6061.574
"W. Europe, NA, and Aus/NZ",2020-11-30,1062311981,9329.383307255785,9329.703863420747,9329.660672377966,9329.552155793112,9329.377370328786,9329.165837177454,9329.157129515595,429153.15992543707,9329.416520118197,6361.714
"W. Europe, NA, and Aus/NZ",2020-12-07,1062311981,9719.509272132635,9719.83652477285,9719.81482390993,9719.679486187566,9719.494556665664,9719.327229585564,9719.309237474914,447097.89842006133,9719.519530870899,6953.14
"W. Europe, NA, and Aus/NZ",2020-12-14,1062311981,9287.010973097378,9287.317576289885,9287.287276679328,9287.162742961964,9287.010973097378,9286.82315322501,9286.783591247096,427205.26413434726,9287.070959442332,7100.550333333334
"W. Europe, NA, and Aus/NZ",2020-12-21,1062311981,9526.0117084541,9526.307654496824,9526.29360191916,9526.151935363192,9525.974685463021,9525.810186483654,9525.78581931925,438199.52699149004,9526.076673728045,7548.143
"W. Europe, NA, and Aus/NZ",2020-12-28,1062311981,10392.128034837386,10392.453360301659,10392.421878412377,10392.282926235952,10392.081353017957,10391.929268316595,10391.896636021256,478040.54535464017,10392.185768579135,6405.141
"W. Europe, NA, and Aus/NZ",2021-01-04,1062311981,10066.703625782697,10066.954264402144,10066.928546743036,10066.775758038393,10066.613867090608,10066.448268823036,10066.386373728203,463071.1206606467,10066.763492622755,7275.858
"W. Europe, NA, and Aus/NZ",2021-01-11,1062311981,10535.450555800488,10535.71117067796,10535.62416663109,10535.533203585046,10535.330168620165,10535.176213239916,10535.148738943184,484632.19685105066,10535.482540240231,8755.737666666666
"W. Europe, NA, and Aus/NZ",2021-01-18,1062311981,11083.548202214379,11083.833043390026,11083.77409834294,11083.631075073909,11083.445112370902,11083.276273858328,11083.25663732676,509844.577803431,11083.577778335457,9020.285
"W. Europe, NA, and Aus/NZ",2021-01-25,1062311981,8789.997822858086,8790.277984455597,8790.21881515525,8790.103541787767,8789.940016489976,8789.810931983218,8789.76396676792,404340.511136765,8790.011111668804,9305.431
"W. Europe, NA, and Aus/NZ",2021-02-01,1062311981,6707.514765488172,6707.944270522495,6707.907513927995,6707.673107558435,6707.111917157996,6706.8962232539725,6706.864647070614,308491.7866681211,6706.343188437416,9106.285
"W. Europe, NA, and Aus/NZ",2021-02-08,1062311981,4463.720283208711,4464.33624227377,4464.241118789831,4463.987954047813,4463.6579969395325,4463.421126726253,4463.370076559154,205306.12000145498,4463.176521770761,8258.903333333334
"W. Europe, NA, and Aus/NZ",2021-02-15,1062311981,3702.516838404715,3703.195700894212,3703.095116954961,3702.751346110399,3702.4405477978776,3702.1966982809313,3702.111772413912,170291.57714431168,3701.9908074850364,7112.002
"W. Europe, NA, and Aus/NZ",2021-02-22,1062311981,2594.8523049840032,2595.573617777033,2595.507666927766,2595.0999616250815,2594.780759227267,2594.5393723099637,2594.4433385278185,119342.96285859736,2594.4122360564643,5666.1449999999995
