continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
W. Europe,2020-03-16,530152257,2489.839108015663,2490.0294618354606,2489.994043344631,2489.8601372556436,2489.719202940136,2489.615130870525,2489.6123251801437,102085.90373669275,2489.9000911388475,330.9193333333333
W. Europe,2020-03-23,530152257,4544.405432379975,4544.718943599528,4544.681351420081,4544.463423337497,4544.291038220759,4544.186237522195,4544.182804192816,186322.39516526376,4544.448662567409,1084.8193333333334
W. Europe,2020-03-30,530152257,6237.527645699839,6237.823964318807,6237.80420862362,6237.661075605504,6237.432455354298,6237.295751049032,6237.266367099761,255724.6180224067,6237.185805424554,2472.928
W. Europe,2020-04-06,530152257,5857.83837630506,5858.157443416571,5858.119885412242,5857.96347460898,5857.725599847153,5857.567711651086,5857.558599324994,240163.41378277566,5857.6442386042845,3676.4393333333333
W. Europe,2020-04-13,530152257,4946.630374216282,4946.957926393509,4946.908966128933,4946.745750333958,4946.548711397843,4946.388851387488,4946.355092764398,202794.84235420424,4946.215667175713,3964.003
W. Europe,2020-04-20,530152257,3479.544545944421,3480.2349034477843,3480.1924845704857,3479.89703447989,3479.5179071957837,3479.2264514979906,3479.175904780929,142619.72806848964,3478.5299528899914,3542.858
W. Europe,2020-04-27,530152257,2150.8461847192293,2151.3670674003024,2151.267612708892,2150.991726336887,2150.746191803628,2150.599527193257,2150.5437394822598,88151.46235420427,2150.035667175714,2798.573
W. Europe,2020-05-04,530152257,1050.5175767857468,1050.8096390778528,1050.7511058824866,1050.5301899968201,1050.2601960919865,1050.0495371787877,1050.0156814128484,43065.375902591324,1050.3750220144225,1990.8600000000001
W. Europe,2020-05-11,530152257,1069.557534430199,1069.7410327075422,1069.7118661057484,1069.557534430199,1069.2964509746269,1069.1209915880809,1069.0490566127567,43851.40447402003,1069.5464505858545,1529.4289999999999
W. Europe,2020-05-18,530152257,636.7327849849148,636.84802853624694,636.8116648914968,636.7327849849148,636.4258402695999,636.278638936955,636.2711001248372,26101.918759733857,636.6321648715575,1201.9556666666667
