region,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
EMRO,2021-05-03,761408469,1295275.6119644244,1428454.6203996015,1414133.2506392205,1295275.6119644244,971177.5807038886,781866.0361674096,732074.6770510203,7227014.88961405,344143.56617209763,181649.10866666667
AFRO,2021-05-03,1162657993,720173.4180864712,1109552.0471145515,1011780.5290747217,749314.8413731842,353110.26028896787,50307.30244993699,-34194.796081442524,8599926.170718053,182977.1525684692,82988.17566666666
EURO,2021-05-03,932917123,1902739.4121953065,1940883.7958135402,1932285.1019980744,1902739.4121953065,1832376.6142380605,1792410.5048318484,1790380.7047972996,89809183.52478153,1694512.896693991,1094323.3163333333
AMRO,2021-05-03,1026253581,2196165.985803651,2213190.9988510516,2207427.9590088148,2196165.985803651,2171721.4428956145,2157580.0511687603,2156544.1921010013,73262523.08103287,2093214.9451723676,1628678.471
WPRO,2021-05-03,1924140566,231260.61827723123,807598.1751873295,682250.9136018532,277474.30731798615,30777.663071801144,-262188.7746996731,-318329.16139422037,-2363986.0636096,-87555.03939294814,36093.47466666667
SEARO,2021-05-03,2030500787,2740074.583337166,3556696.3963534543,3495740.2698658397,2961733.385954669,2314038.333194639,843272.6869292224,705545.2318822183,46948.97311552675,4694.897311552674,287646.70433333336
Other,2021-05-10,44753371,2627.831471550613,7696.946370333234,6860.549084305944,4441.435984091883,1668.2840942979844,-1265.6640648422313,-3721.4279203583997,-10809.894411122084,-300.274844753391,6462.521333333333
EMRO,2021-05-10,761408469,1340549.1587108716,1468047.081884635,1449416.525349419,1340549.1587108716,1001398.5060500472,803584.3846060532,752010.892417843,7447834.587624843,354658.78988689726,187096.10266666667
AFRO,2021-05-10,1162657993,738689.8300666544,1134151.865552051,1039194.9939218134,767893.1317798652,363608.747935185,65849.06514448175,-28468.331261720592,8672509.37685316,184521.47610325873,83981.17466666667
EURO,2021-05-10,932917123,1924221.5460084782,1962743.39020757,1954008.3504126228,1924221.5460084782,1851754.9498600774,1810721.8034049186,1809442.1996297494,90669320.86984554,1710741.903204633,1113776.3233333332
AMRO,2021-05-10,1026253581,2235222.9432144365,2252242.150359845,2246098.08984011,2235222.9432144365,2211191.545412374,2195621.723726526,2194667.5920811715,74386448.48145929,2125327.099470265,1663624.466
WPRO,2021-05-10,1924140566,240467.96040565165,817369.6266560797,692992.7564442742,287159.46962648764,37758.38123651084,-263003.5300535819,-321173.19266360556,-2215306.417205801,-82048.38582243706,37927.971666666665
SEARO,2021-05-10,2030500787,3059939.6338817365,4104800.122649009,4005448.1353138457,3242540.1373468777,2505466.2351057804,992648.7122698883,806650.700027572,53307.665530967715,5330.766553096771,317602.70033333334
Other,2021-05-17,44753371,2765.9126205988023,7975.867882044152,7132.331532803583,4725.8808992921295,1837.0103310575735,-1183.6084728812127,-3717.2560484889523,-7817.621337336554,-217.1561482593484,6553.528333333334
EMRO,2021-05-17,761408469,1387449.1873143949,1517162.27332517,1495620.7337388638,1387449.1873143949,1025175.0549343633,828126.5374099286,776123.6509930538,7676738.445635635,365558.9736016969,191482.08566666668
