region,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Sub-Saharan Africa,2020-01-06,1165571063,477.1292144044359,962.206091925363,687.3433754684388,477.1292144044359,21.365033754842596,-178.67867271775899,-288.95339966852447,0,0,0
Europe & Central Asia,2020-01-06,925895167,-18.16774278735435,13.325899668777323,7.370791291818138,0.09403813079977205,-18.16774278735435,-21.12826604935716,-24.73420885423635,0,0,0
Middle East & North Africa,2020-01-06,472721233,17.555502403164972,34.06779974130164,26.79793354658212,17.555502403164972,-2.009696587996255,-16.366462511572003,-20.217056742065814,0,0,0
East Asia & Pacific,2020-01-06,2375062416,-866.8990575940179,-673.7378302145,-744.6165776018789,-866.8990575940179,-1019.5400558442801,-1060.5940723733274,-1078.5412865601782,-40357.55990430836,-1008.938997607709,0
North America,2020-01-06,371050850,-0.004623186188599984,0.0028937979477700127,0.0019791477141000253,-2.4036059183002347e-4,-0.004623186188599984,-0.01638326004408006,-0.02515332466758001,0,0,0
Other,2020-01-06,2411176,-0.25243279809161295,1.1315227316458232,0.7487876415327014,0.18677042201606903,-0.2709454673047212,-1.2630251990819432,-1.9218659290832116,0,0,0
Latin America & Caribbean,2020-01-13,658613257,1.8040358188022925,14.580873417625947,13.173918561092215,6.001035146993899,-2.179438861328536,-10.710637073201749,-13.105582993520866,0,0,0
South Asia,2020-01-13,1877243630,665.0312100928284,1023.9235378440414,705.0119410596692,665.0312100928284,-36.30078841861624,-162.65228361951094,-269.81183083868825,0,0,0
Sub-Saharan Africa,2020-01-13,1165571063,475.3235239768778,962.1616187979264,685.3571459504265,475.3235239768778,20.167634385369066,-150.6964586462918,-280.3316928675941,0,0,0
Europe & Central Asia,2020-01-13,925895167,-18.36949320178214,12.045863831132882,8.727692553207557,-0.678708187484897,-18.36949320178214,-20.92028746733172,-26.57997453504023,0,0,0
Middle East & North Africa,2020-01-13,472721233,17.163341691526963,34.80600288946019,27.21716472560801,17.163341691526963,-3.2261363302911827,-15.793133056993303,-20.022749758309914,0,0,0
East Asia & Pacific,2020-01-13,2375062416,-1113.4228045761952,-908.4109565319807,-974.5761712255448,-1113.4228045761952,-1265.9834224223282,-1316.5506279345814,-1335.738334276096,-50275.764135286816,-1256.8941033821704,0
North America,2020-01-13,371050850,-0.004599992077920009,0.002441613897430011,0.0019172225757000238,-5.195197897899877e-4,-0.004599992077920009,-0.016318305303810045,-0.024680685480870015,0,0,0
Other,2020-01-13,2411176,-0.25228732021437794,1.1315227316458232,0.7491353339162711,0.18527800240580888,-0.2713201532426412,-1.2627058805297715,-1.9218659290832116,0,0,0
Latin America & Caribbean,2020-01-20,658613257,4.522582622916517,38.7313901374575,31.27090311800421,12.391488914205423,-1.4469692967296486,-14.351789240292891,-18.21138366871676,0,0,0
South Asia,2020-01-20,1877243630,697.4541117425784,1541.0363223900588,1395.761886851207,697.4541117425784,-170.88803026003637,-652.0032376174238,-963.5975036466738,0,0,0
Sub-Saharan Africa,2020-01-20,1165571063,483.13216874803,982.63578885233,785.3527411783423,483.13216874803,-10.258009019798545,-238.48245412102696,-290.8034564263209,0,0,0
Europe & Central Asia,2020-01-20,925895167,-33.17804764756117,9.553429573610364,2.9723435120751973,-17.88378568465613,-50.98007586640993,-82.02470003257268,-90.38563740489214,0,0,0
Middle East & North Africa,2020-01-20,472721233,16.058482396432385,48.97454295343879,34.49743113685903,16.058482396432385,-7.272930928690981,-25.74151682429739,-33.60654659678597,0,0,0
East Asia & Pacific,2020-01-20,2375062416,-1322.0210385473422,-839.8983373175904,-925.0723162143788,-1162.752009700478,-1554.6159699873801,-1625.9636275562316,-1647.8598368639603,-62112.40468047046,-1552.8101170117616,0
North America,2020-01-20,371050850,-0.016819266278974968,0.0010517103871799949,-0.0032092083170399753,-0.012414824738040016,-0.023439856595900015,-0.032977609186920026,-0.03576409989107015,0,0,0
Other,2020-01-20,2411176,-0.27157746241624287,0.8810563542952509,0.6123855297138617,0.0883211836892091,-0.3364862479661418,-1.2853922744996436,-1.9355046507224718,0,0,0
Latin America & Caribbean,2020-01-27,658613257,-57.77568008173585,-36.31726942905081,-38.057983225852084,-50.240236057904774,-63.571621468037215,-73.63861192292528,-77.39026047533311,-2750.063149309412,-61.11251442909805,0
