custom_regions,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Oceania,2020-03-09,43430556,-765.9165631988328,491.80751062399946,447.53998921369333,-148.62440964666925,-765.9165631988328,-1070.977784838972,-1119.8783167267861,-4888.687616313381,-212.55163549188612,5.502
European Union,2020-03-09,447045744,-27886.08396235419,-27886.08396235419,-27886.08396235419,-27886.08396235419,-27886.08396235419,-27886.08396235419,-27886.08396235419,-752924.2669835632,-27886.08396235419,544.1706666666666
North America,2020-03-09,370982987,-3747.374412885617,-3747.374412885617,-3747.374412885617,-3747.374412885617,-3747.374412885617,-3747.374412885617,-3747.374412885617,-7494.748825771234,-3747.374412885617,37.001999999999995
Latin America and Caribbean,2020-03-16,658737988,19.856382937552635,2081.1133308883295,1839.2108108936357,901.5491542084233,-174.50691793293913,-1453.8754746454629,-1592.2491521661625,10305.558408935196,214.69913351948313,32.071666666666665
Asia,2020-03-16,4678110154,-43258.16675289475,-28453.179279991455,-43258.16675289475,-43258.16675289475,-138425.31232932227,-203229.49962658528,-243597.21671412143,-4579402.311689196,-91588.04623378393,4237.835
Oceania,2020-03-16,43430556,-782.5961539117544,560.8224594708461,524.79339768849,-129.35669375428017,-782.5961539117544,-1111.7600602169932,-1134.4970476954381,-3909.7092845467478,-169.98736019768467,5.502
European Union,2020-03-16,447045744,-10764.204291769733,-10764.204291769733,-10764.204291769733,-10764.204291769733,-10764.204291769733,-10764.204291769733,-10764.204291769733,-290633.51587778283,-10764.204291769733,2756.1403333333333
North America,2020-03-16,370982987,-2354.3251651357255,-2354.3251651357255,-2354.3251651357255,-2354.3251651357255,-2354.3251651357255,-2354.3251651357255,-2354.3251651357255,-4708.650330271451,-2354.3251651357255,119
Latin America and Caribbean,2020-03-23,658737988,2656.128682738157,5269.194576254166,4706.205435790156,3607.176808860686,2259.060574986903,903.1636843752971,647.8801507366753,143083.7764373622,2980.9120091117115,159.27566666666667
Asia,2020-03-23,4678110154,-47654.084210657784,-32087.542105405348,-47654.084210657784,-47654.084210657784,-148023.3750998843,-221035.26713603345,-264463.4309035073,-4345403.816610668,-86908.07633221336,5472.765666666666
Oceania,2020-03-23,43430556,-733.7941256394396,690.3063436220395,656.3466678334057,-5.174770535487166,-733.7941256394396,-1092.375607909343,-1117.8364478955548,-1458.7309527801078,-63.423084903482945,9.498999999999999
European Union,2020-03-23,447045744,19653.31537881466,19653.31537881466,19653.31537881466,19653.31537881466,19653.31537881466,19653.31537881466,19653.31537881466,530639.5152279957,19653.31537881466,9912.534333333333
North America,2020-03-23,370982987,3690.9240826141563,3690.9240826141563,3690.9240826141563,3690.9240826141563,3690.9240826141563,3690.9240826141563,3690.9240826141563,7381.848165228313,3690.9240826141563,862.001
Latin America and Caribbean,2020-03-30,658737988,8530.662592876066,11751.459526501096,10855.15545752974,9548.123615227889,7871.723526520794,6535.804997635517,6023.297372604919,433868.39446579036,9038.924884703965,555.408
Asia,2020-03-30,4678110154,-63458.5314893678,-53090.68592675722,-63458.5314893678,-63458.5314893678,-175010.19474493226,-250041.7949107257,-293467.3828987869,-4444944.555068958,-88898.89110137915,6954.724
Oceania,2020-03-30,43430556,-579.1572915317207,947.7312586194054,894.7355871588776,157.66925730112033,-579.1572915317207,-959.2916167329729,-1014.909727212465,3366.307378986555,146.3611903907198,23.002
European Union,2020-03-30,447045744,55792.59504939906,55792.59504939906,55792.59504939906,55792.59504939906,55792.59504939906,55792.59504939906,55792.59504939906,1506400.0663337745,55792.59504939906,25202.529333333332
North America,2020-03-30,370982987,19533.17333036399,19533.17333036399,19533.17333036399,19533.17333036399,19533.17333036399,19533.17333036399,19533.17333036399,39066.34666072798,19533.17333036399,4537.001
Latin America and Caribbean,2020-04-06,658737988,14783.7824909412,18718.14165027891,17530.79941829171,15801.226404899888,13881.05786947043,12312.898308116095,11774.511959386871,747149.177655509,15565.607867823102,1689.653
Asia,2020-04-06,4678110154,-77124.89766888777,-72462.7991054823,-77124.89766888777,-77124.89766888777,-205906.69521049978,-287582.6130515326,-317635.0428077045,-4561194.624172409,-91223.89248344817,9007.747
Oceania,2020-04-06,43430556,-541.0970437139817,1107.0749984405866,1037.0567958884944,253.63322808972558,-541.0970437139817,-926.5666783079655,-1009.4973991145304,5736.592807527397,249.41707858814772,46.004
European Union,2020-04-06,447045744,87296.07966622006,87296.07966622006,87296.07966622006,87296.07966622006,87296.07966622006,87296.07966622006,87296.07966622006,2356994.1509879413,87296.07966622006,46085.27933333333
North America,2020-04-06,370982987,42947.822578113926,42947.822578113926,42947.822578113926,42947.822578113926,42947.822578113926,42947.822578113926,42947.822578113926,85895.64515622785,42947.822578113926,15420.006000000001
Latin America and Caribbean,2020-04-13,658737988,21124.92843057925,24958.26872675468,24413.797982651227,22273.209300483602,19958.806515420194,18054.174081527523,17490.867306734235,1064233.1608452273,22171.524184275568,3758.685
Asia,2020-04-13,4678110154,-92110.87673072952,-85072.36417808216,-89868.14978062076,-92110.87673072952,-232053.98033343087,-326555.46111998043,-344152.3110402359,-4700958.69327586,-94019.1738655172,11423.762
Oceania,2020-04-13,43430556,-662.6096467900289,1097.832750514338,992.6096681694614,175.13356654236804,-662.6096467900289,-1054.0062895956635,-1152.9368996136027,4545.0982360682465,197.61296678557594,71.001
European Union,2020-04-13,447045744,108650.36428304102,108650.36428304102,108650.36428304102,108650.36428304102,108650.36428304102,108650.36428304102,108650.36428304102,2933559.8356421073,108650.36428304102,66802.29033333334
North America,2020-04-13,370982987,65240.27182586376,65240.27182586376,65240.27182586376,65240.27182586376,65240.27182586376,65240.27182586376,65240.27182586376,130480.54365172752,65240.27182586376,31590.006
Latin America and Caribbean,2020-04-20,658737988,29313.87351294846,33501.15160522239,33049.32304702388,30583.654294196254,27853.105857045204,25750.008717270204,25009.03602421013,1468601.9440349452,30595.87383406136,6921.201
Asia,2020-04-20,4678110154,-106401.56468223823,-94080.83343239034,-106401.56468223823,-106401.56468223823,-263061.50407748553,-360023.0906240818,-377781.23223336646,-4894821.762379311,-97896.43524758621,15222.780999999999
Oceania,2020-04-20,43430556,-764.6259468707451,1106.8622431442466,979.8726978637386,112.69378232012222,-764.6259468707451,-1179.8041916579077,-1263.203994982562,4080.863664609104,177.42885498300453,84
European Union,2020-04-20,447045744,120357.84889986193,120357.84889986193,120357.84889986193,120357.84889986193,120357.84889986193,120357.84889986193,120357.84889986193,3249661.920296272,120357.84889986193,85244.29433333334
North America,2020-04-20,370982987,85618.5210736137,85618.5210736137,85618.5210736137,85618.5210736137,85618.5210736137,85618.5210736137,85618.5210736137,171237.0421472274,85618.5210736137,48397.006
Latin America and Caribbean,2020-04-27,658737988,39347.09210524656,44199.952543022206,43084.500287182724,40777.188139653386,37655.89862347276,35399.95049377229,34575.796435723314,1963193.9272246643,40899.87348384717,11974.956
Asia,2020-04-27,4678110154,-117510.13478615801,-113772.75910217197,-117510.13478615801,-117510.13478615801,-292688.20011222234,-392185.34874002845,-407194.843788248,-5070061.831482761,-101401.23662965522,17688.797
Oceania,2020-04-27,43430556,-1063.574120323019,878.8462510512265,643.7624232984208,-87.01812217076223,-1063.574120323019,-1448.3447516791034,-1597.0350144046877,-391.8109068500694,-17.035256819568232,107.002
European Union,2020-04-27,447045744,126611.67351668295,126611.67351668295,126611.67351668295,126611.67351668295,126611.67351668295,126611.67351668295,126611.67351668295,3418515.1849504393,126611.67351668295,99335.30133333334
North America,2020-04-27,370982987,101308.17032136362,101308.17032136362,101308.17032136362,101308.17032136362,101308.17032136362,101308.17032136362,101308.17032136362,202616.34064272724,101308.17032136362,63790.006
Latin America and Caribbean,2020-05-04,658737988,58289.31549197405,63566.8314408173,62247.28391766234,59642.27958871298,56372.613530705356,54018.86267857237,52900.747020943454,2869264.91944664,59776.35248847167,19558.966
Asia,2020-05-04,4678110154,-105964.0735904841,-95399.49137993691,-105964.0735904841,-105964.0735904841,-290560.7344154068,-401321.1673961732,-432985.8002450657,-5122744.086070083,-102454.88172140165,20211.611
Oceania,2020-05-04,43430556,-1280.9187386898548,732.3363459858025,434.21782421355607,-228.64641875987112,-1280.9187386898548,-1650.5409932831494,-1845.0970282749583,-3038.062897664091,-132.08969120278658,121.002
European Union,2020-05-04,447045744,130423.40028404159,130423.40028404159,130423.40028404159,130423.40028404159,130423.40028404159,130423.40028404159,130423.40028404159,3521431.8076691227,130423.40028404159,108987.32133333333
North America,2020-05-04,370982987,114955.21956911356,114955.21956911356,114955.21956911356,114955.21956911356,114955.21956911356,114955.21956911356,114955.21956911356,229910.4391382271,114955.21956911356,78034.005
Latin America and Caribbean,2020-05-11,658737988,79030.45387534234,84850.73301020307,83277.36057483335,80294.514611087,76748.79583428684,74408.68555278626,73119.77500793336,3861066.311668616,80438.88149309617,29485.960000000003
Asia,2020-05-11,4678110154,-93505.68133085984,-71582.69014347688,-78489.6510979217,-93505.68133085984,-281548.3080783335,-407095.52399389964,-458392.64526384533,-5184973.340657405,-103699.46681314809,22644.622
Oceania,2020-05-11,43430556,-1616.1210041315505,474.0962678042896,237.1541062903537,-491.218042646098,-1616.1210041315505,-1986.1480376745376,-2211.2102308628596,-8602.554888478126,-374.0241255860055,123.00399999999999
European Union,2020-05-11,447045744,133116.92705140024,133116.92705140024,133116.92705140024,133116.92705140024,133116.92705140024,133116.92705140024,133116.92705140024,3594157.0303878062,133116.92705140024,116520.31533333333
North America,2020-05-11,370982987,126619.8688168635,126619.8688168635,126619.8688168635,126619.8688168635,126619.8688168635,126619.8688168635,126619.8688168635,253239.737633727,126619.8688168635,90654.011
Latin America and Caribbean,2020-05-18,658737988,101287.84526080817,107576.03782864477,105850.28288043271,102716.06687463063,98682.36316393834,96076.11526465714,95238.90826039128,4925806.103890591,102620.96049772065,41218.982
Asia,2020-05-18,4678110154,-73637.79476878159,-37857.29684865092,-46853.78063862991,-73637.79476878159,-260935.62955417891,-402926.9492177704,-476137.0489059104,-5228255.595244726,-104565.11190489453,25257.285666666667
