custom_regions,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Latin America and Caribbean,2020-11-16,649993496,810065.0651169033,865401.5121253512,858016.5713540269,810065.0651169033,749164.0090946862,714819.6325868916,701789.4381045675,27987809.5566517,621951.3234811489,479680.18
Latin America and Caribbean,2020-11-23,649993496,829039.4617036915,883597.7450665454,875921.6631485191,829039.4617036915,767927.634461492,731517.439419945,719716.6339876436,28616873.092105214,635930.5131578937,490712.173
Latin America and Caribbean,2020-11-30,649993496,851478.0470390704,904984.6306384288,897258.254183262,851478.0470390704,789346.9185481307,751136.7572542534,740868.9916053978,29396991.930784535,653266.4873507674,503084.169
Latin America and Caribbean,2021-01-18,649993496,1103594.0124289887,1156242.8181166495,1143142.3582918874,1103594.0124289887,1030267.7260918802,988321.9950414305,983551.3952876298,38913887.20539906,864753.049008868,614817.21
Latin America and Caribbean,2021-01-25,649993496,1148026.7603850898,1199351.3060627645,1185376.2984817254,1148026.7603850898,1073661.2134813645,1029539.9990140179,1025221.9651655443,40576519.90858202,901700.4424129337,640562.216
Latin America and Caribbean,2021-02-01,649993496,1187618.3666045917,1238564.3532576754,1225205.264247461,1187618.3666045917,1110588.5902886246,1066432.3346449551,1062460.3268628183,42041283.51179277,934250.744706506,666266.216
Latin America and Caribbean,2020-12-28,649993496,962643.4736026076,1017180.6336261278,1007125.5065284892,962643.4736026076,894092.2185444448,855640.015677904,845856.3162694133,33538539.095849834,745300.868796663,556158.197
Latin America and Caribbean,2021-01-04,649993496,1002214.3349953628,1058387.0325636314,1045238.0141164925,1002214.3349953628,932855.6817762573,892714.2252770251,886529.7006937875,35036336.04903316,778585.2455340702,573448.197
Latin America and Caribbean,2021-01-11,649993496,1051426.3175686293,1106733.6876571437,1092728.4934273812,1051426.3175686293,980217.5242793602,938624.3732583203,934015.7435243366,36908980.00221611,820199.5556048024,593494.216
Latin America and Caribbean,2021-02-08,649993496,1221562.1446655013,1272822.2206208685,1260333.7319764474,1221562.1446655013,1141780.408351079,1098100.7971638849,1094326.914152373,43272842.11500353,961618.7136667451,689930.206
Latin America and Caribbean,2021-07-26,649993496,2171776.674251112,2335468.46212077,2301758.2164386576,2171776.674251112,2019920.294104417,1923796.957096057,1917591.8524177778,65728063.787454,1460623.6397212,1355840.248
Latin America and Caribbean,2021-08-02,649993496,2218678.7101411666,2380240.5740090525,2358561.762454627,2218678.7101411666,2050506.760859307,1950903.2512973333,1936713.1786092042,65728063.787454,1460623.6397212,1373331.232
