custom_regions,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
European Union,2021-09-27,447045744,201.5496704028124,201.5496704028124,201.5496704028124,201.5496704028124,201.5496704028124,201.5496704028124,201.5496704028124,5441.841100875935,201.5496704028124,172.2852007138968
North America,2021-09-27,370982987,235.67718795451535,235.67718795451535,235.67718795451535,235.67718795451535,235.67718795451535,235.67718795451535,235.67718795451535,471.3543759090307,235.67718795451535,193.018281455586
Latin America and Caribbean,2021-10-04,658737988,322.539008509353,329.6128202411319,329.3343789359501,325.6448057519298,318.76767818481136,315.2177769173721,314.7512685431407,13859.359537500042,288.73665703125084,223.98539139155682
Asia,2021-10-04,4678110154,175.80927931274547,248.31531934762987,237.396540738578,195.88015776324576,149.27380641554504,97.61658135606322,85.7661793135831,627.6562619619706,12.553125239239412,24.093202330922853
Oceania,2021-10-04,43430556,-34.04557831191433,-3.2398426252580164,-7.049214989518438,-18.01641752651489,-34.04557831191433,-40.6676552214395,-41.274757473979435,-611.2452443542203,-26.57588018931393,7.035976391061323
European Union,2021-10-04,447045744,204.03940632690842,204.03940632690842,204.03940632690842,204.03940632690842,204.03940632690842,204.03940632690842,204.03940632690842,5509.063970826527,204.03940632690842,173.2372285672254
North America,2021-10-04,370982987,239.58554301078985,239.58554301078985,239.58554301078985,239.58554301078985,239.58554301078985,239.58554301078985,239.58554301078985,479.1710860215797,239.58554301078985,196.69095553430324
Latin America and Caribbean,2021-10-11,658737988,324.0985859637727,331.2539935863363,330.9732406601792,327.1389003161044,320.2596364203271,316.65073036928027,316.23200289371806,13912.910277215631,289.85229744199233,225.32433826077343
Asia,2021-10-11,4678110154,178.27605840662122,252.1544151634996,240.0183843323604,197.92737987812922,151.34069228000857,99.46073332353832,87.22807940865357,642.4062909265962,12.848125818531924,24.333641581597238
Oceania,2021-10-11,43430556,-34.02993713347284,-2.916054723940514,-7.119826078074462,-17.702628656823304,-34.02993713347284,-40.4873053205103,-41.13490636733649,-616.6345825670674,-26.8101992420464,7.461934557473008
European Union,2021-10-11,447045744,207.27111553774705,207.27111553774705,207.27111553774705,207.27111553774705,207.27111553774705,207.27111553774705,207.27111553774705,5596.320119519171,207.27111553774705,174.36709303138636
North America,2021-10-11,370982987,243.26132675510814,243.26132675510814,243.26132675510814,243.26132675510814,243.26132675510814,243.26132675510814,243.26132675510814,486.5226535102163,243.26132675510814,199.67411120122335
Latin America and Caribbean,2021-10-18,658737988,325.2716154279577,332.48480929972607,332.235580992786,328.25904064189325,321.35644192777477,317.7456880788332,317.3360570333922,13951.146764248406,290.64889092184177,226.34358837067705
Asia,2021-10-18,4678110154,180.73606153987325,254.94660562244925,242.55221672937736,200.2986355968342,153.13574532890738,101.22099293343649,88.67423999078392,656.0623311155142,13.121246622310284,24.552041526525084
Oceania,2021-10-18,43430556,-33.43504870392084,-2.11344915212376,-6.4660252123264454,-16.898695882170706,-33.43504870392084,-39.11250524193395,-40.5564272373263,-613.4627133203552,-26.672291883493706,7.9638876063817055
European Union,2021-10-18,447045744,211.36600263402377,211.36600263402377,211.36600263402377,211.36600263402377,211.36600263402377,211.36600263402377,211.36600263402377,5706.882071118643,211.36600263402377,175.66316151604684
North America,2021-10-18,370982987,246.60227034677013,246.60227034677013,246.60227034677013,246.60227034677013,246.60227034677013,246.60227034677013,246.60227034677013,493.20454069354025,246.60227034677013,203.07022354100567
