region,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Polynesia,2021-02-08,633057,0.22295316635496704,0.861014525043775,0.7012907845864159,0.4581622597703049,0.19228200775661594,0.03865439053355431,0.009738170071257908,3.305682769214121,0.36729808546823567,0.429
Northern Europe,2021-02-08,106727166,597.2302712079396,598.1823556037403,598.1351317339993,597.7287615661268,597.2302712079396,596.9698562174243,596.8178313420439,8363.638533874022,597.4027524195731,1077.857
Northern Africa,2021-02-08,250635265,496.1708681968896,625.7359442486797,602.3001232725045,533.187199063538,415.09439106794014,344.931922949093,330.17023336368254,1533.0116961186047,219.0016708740864,150.43
Melanesia,2021-02-08,11328580,-5.794358165379908,17.735449182686157,15.345419459084797,5.141382501852783,-5.794358165379908,-8.473723725406215,-10.087646966518824,0,0,0
Micronesia,2021-02-08,554402,-0.0657387691083292,0.7513866920140003,0.6503115660269311,0.24354162002944882,-0.22215162557190996,-0.5861661577339815,-0.7472049716327565,0,0,0
Central Asia,2021-02-08,75250695,91.84109336035496,108.14869417011498,103.52423284451496,98.22759524711498,91.80037788505498,85.53156146769501,81.16944734495502,478.1022294625748,95.62044589251497,11.143
Other,2021-02-08,25637123,3.192990521508546,3.192990521508546,3.192990521508546,3.192990521508546,3.192990521508546,3.192990521508546,3.192990521508546,6.385981043017092,3.192990521508546,4.143
Latin America and the Caribbean,2021-02-15,658613257,4254.868802849754,4357.356789797342,4328.84195677934,4272.319300927831,4177.364570643704,4108.788523875318,4080.9226451060067,173599.43876772246,3857.765305949388,3581.285
Southern Asia,2021-02-15,1962272390,3793.4439420793474,5561.02381608616,5412.216569153167,4544.826934765976,3249.415134680191,1354.0368821453933,378.107231904359,1092.2431119586226,121.36034577318028,220.43
Sub-Saharan Africa,2021-02-15,1121670004,3031.167211781466,4302.817862739414,4081.671687817498,3031.167211781466,1854.6165462439524,1074.4552375863973,866.8631909610361,16791.78858712463,342.6895630025435,363.142
Southern Europe,2021-02-15,150192351,344.8952599438196,345.438861267726,345.319624365876,345.02055866361246,344.713177886135,344.5180741806056,344.45092136862405,5505.270893830522,344.07943086440764,1041.286
Western Asia,2021-02-15,284170120,612.68270697343,993.4162835989741,899.3328997474325,714.1142700020706,506.2888685235191,366.77732314667065,344.88007296099954,1444.9143560906537,80.27301978281409,258.429
Australia and New Zealand,2021-02-15,30914517,-7.286262707319372,-7.286262707319372,-7.286262707319372,-7.286262707319372,-7.286262707319372,-7.286262707319372,-7.286262707319372,-14.572525414638744,-7.286262707319372,0.143
Western Europe,2021-02-15,198599053,17.348499561014286,17.348499561014286,17.348499561014286,17.348499561014286,17.348499561014286,17.348499561014286,17.348499561014286,156.13649604912857,17.348499561014286,1049.572
Eastern Europe,2021-02-15,292475148,1939.4853324447117,1939.4853324447117,1939.4853324447117,1939.4853324447117,1939.4853324447117,1939.4853324447117,1939.4853324447117,19394.85332444712,1939.4853324447117,1285.715
Northern America,2021-02-15,371107718,1267.7767542495385,1268.034114043886,1268.0056055820125,1267.9208165626071,1267.7767542495385,1267.742836602682,1267.7213292792915,6339.488321186731,1267.8976642373461,2462
South-eastern Asia,2021-02-15,674675391,1055.7458791709914,1734.3585141423334,1662.4180556699469,1274.2639500261967,706.2542027832366,419.27632795483845,377.93532739786286,1007.737250320348,91.61247730184982,282.429
