custom_regions,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
European Union,2020-03-09,447593544,644.6038774992088,644.6038774992088,644.6038774992088,644.6038774992088,644.6038774992088,644.6038774992088,644.6038774992088,17404.30469247864,644.6038774992088,68.94033333333333
North America,2020-03-09,375152636,37.23560682141114,37.23560682141114,37.23560682141114,37.23560682141114,37.23560682141114,37.23560682141114,37.23560682141114,74.47121364282228,37.23560682141114,3.286
Latin America and Caribbean,2020-03-16,655119303,-133.63675119858738,-103.70922731137277,-105.20377433962967,-132.88891360163407,-168.42781980386727,-186.94950613449853,-194.31354410261537,-5876.2667268499135,-122.42222347603987,3.5816666666666666
Asia,2020-03-16,4666863690,-550.1116302751902,218.48617798642755,99.82194049446385,-550.1116302751902,-2561.3332456639637,-3776.8266721680907,-4051.7917711324912,-44909.14985463247,-916.5132623394383,112.25
Oceania,2020-03-16,44446737,17.48334328713878,30.8410434771004,30.111937509617626,23.435152318537895,14.317022176291012,4.703409096390476,1.7822217627442503,445.85857881474,19.385155600640868,0
European Union,2020-03-16,447593544,2435.003877499223,2435.003877499223,2435.003877499223,2435.003877499223,2435.003877499223,2435.003877499223,2435.003877499223,65745.10469247903,2435.003877499223,316.06233333333336
North America,2020-03-16,375152636,199.00703539284166,199.00703539284166,199.00703539284166,199.00703539284166,199.00703539284166,199.00703539284166,199.00703539284166,398.0140707856833,199.00703539284166,11.143
Latin America and Caribbean,2020-03-23,655119303,280.159166085946,291.0830242146801,286.75773197027945,280.159166085946,217.89565869397953,184.93713433214003,180.36855958278676,12898.818987435467,268.7253955715722,18.172
Asia,2020-03-23,4666863690,-635.0586085444701,70.59040162156666,-32.08432254478698,-635.0586085444701,-2145.6034971002637,-3310.258640404407,-3544.597427046877,32556.432387309444,664.4169874961111,176.41866666666667
Oceania,2020-03-23,44446737,20.54305950909858,36.153872184678285,33.284433325893026,24.165396448175375,15.602068924130263,7.301567507556839,0.4744668638339756,482.65857881474074,20.9851556006409,0.571
European Union,2020-03-23,447593544,4332.952448927786,4332.952448927786,4332.952448927786,4332.952448927786,4332.952448927786,4332.952448927786,4332.952448927786,116989.71612105021,4332.952448927786,1023.1999999999999
North America,2020-03-23,375152636,863.6070353928403,863.6070353928403,863.6070353928403,863.6070353928403,863.6070353928403,863.6070353928403,863.6070353928403,1727.2140707856806,863.6070353928403,102.571
Latin America and Caribbean,2020-03-30,655119303,703.0892943990452,772.6384863543414,757.3360157031792,717.7581117665552,669.1439392762989,624.6023861733436,609.3625467262929,35564.87613029279,740.9349193810997,56.67366666666666
Asia,2020-03-30,4666863690,-2664.8518085698233,-1465.1988505817033,-1750.9396455122917,-2664.8518085698233,-4391.114311963912,-5833.359432932323,-6208.199526386116,-14139.060307845193,-288.55225118051413,211.70833333333334
Oceania,2020-03-30,44446737,26.877858984670368,46.39447514884754,43.44564116068301,33.900203347963924,24.574279239909927,14.456581401372533,10.678952386138908,725.1442931004551,31.52801274349805,1.929
European Union,2020-03-30,447593544,5149.203877499215,5149.203877499215,5149.203877499215,5149.203877499215,5149.203877499215,5149.203877499215,5149.203877499215,139028.5046924788,5149.203877499215,2185.285
North America,2020-03-30,375152636,2263.1784639642615,2263.1784639642615,2263.1784639642615,2263.1784639642615,2263.1784639642615,2263.1784639642615,2263.1784639642615,4526.356927928523,2263.1784639642615,511.14200000000005
Latin America and Caribbean,2020-04-06,655119303,747.2346501725417,812.140426412967,806.0898180235961,761.6402292785987,711.6999213291883,674.350637631467,655.5865199366152,37935.58654503931,790.324719688319,162.035
Asia,2020-04-06,4666863690,-1916.4109291649622,-1108.8848732816878,-1283.384276889904,-1916.4109291649622,-4096.352770173398,-5584.849605590987,-5810.5113298022,-16338.922082038647,-333.44738942936016,293.289
Oceania,2020-04-06,44446737,16.202416063867776,32.519738858235556,30.171664297161808,22.162819010724085,12.081511592235634,2.300494916749302,-2.820097403759732,405.8032485536034,17.643619502330584,3.715
European Union,2020-04-06,447593544,4486.090298390158,4486.090298390158,4486.090298390158,4486.090298390158,4486.090298390158,4486.090298390158,4486.090298390158,121124.43805653426,4486.090298390158,2984.821
North America,2020-04-06,375152636,3344.949892535705,3344.949892535705,3344.949892535705,3344.949892535705,3344.949892535705,3344.949892535705,3344.949892535705,6689.89978507141,3344.949892535705,1583.5720000000001
Latin America and Caribbean,2020-04-13,655119303,757.9223357052116,823.7005066965311,812.506729704672,776.3271907808738,721.8899050426573,688.896971909039,678.6411139270058,38531.01511646779,802.729481593079,295.576
Asia,2020-04-13,4666863690,-1945.0543572287381,-801.2210262613602,-1414.1448919403695,-1945.0543572287381,-4058.1645872574804,-5414.462619946289,-5746.697080284696,-19630.882082038665,-400.63024657221763,345.145
Oceania,2020-04-13,44446737,4.234013038888743,19.207917561117778,18.44271832909958,9.7539519418212155,-0.10370800361944447,-7.471913540501738,-11.782571259562388,148.86039141074704,6.472190930902046,4.143
European Union,2020-04-13,447593544,3049.6331555330094,3049.6331555330094,3049.6331555330094,3049.6331555330094,3049.6331555330094,3049.6331555330094,3049.6331555330094,82340.09519939125,3049.6331555330094,2961.43
North America,2020-04-13,375152636,3184.6356068214054,3184.6356068214054,3184.6356068214054,3184.6356068214054,3184.6356068214054,3184.6356068214054,3184.6356068214054,6369.271213642811,3184.6356068214054,2276.857
Latin America and Caribbean,2020-04-20,655119303,1033.5796818473198,1093.7822964401284,1086.4513362350708,1052.6972987497459,996.943445580837,960.9938093738208,940.144697354358,51594.10083075354,1074.8771006406987,451.645
Asia,2020-04-20,4666863690,-2772.88075581368,-1597.9442356759964,-1622.3454637046932,-2772.88075581368,-4528.370115402024,-5725.431647216279,-6138.621905624037,-27204.742082038654,-555.1988180007888,358.431
Oceania,2020-04-20,44446737,-3.9380919415213986,11.530489917393393,7.239039277987112,2.016466911112169,-8.21132820790394,-17.817778433047305,-21.06323900100251,-20.025322874966136,-0.8706662119550495,1.714
European Union,2020-04-20,447593544,1672.5188698187162,1672.5188698187162,1672.5188698187162,1672.5188698187162,1672.5188698187162,1672.5188698187162,1672.5188698187162,45158.009485105336,1672.5188698187162,2636.572
North America,2020-04-20,375152636,2911.178463964276,2911.178463964276,2911.178463964276,2911.178463964276,2911.178463964276,2911.178463964276,2911.178463964276,5822.356927928552,2911.178463964276,2374
