region,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
WPRO,2021-08-23,1927284137,0.2881541137970262,0.34315536850288975,0.33420768700624925,0.2881541137970262,0.2135885633341601,0.17419143371367002,0.14297004552885065,2.723688088573322,0.10087733661382674,0.04574904047996115
SEARO,2021-08-23,2044764457,0.7009332411589577,1.5043201131506927,1.328905046796504,0.8753214956080495,0.5463872623525232,0.37005526798852556,0.3272143445558637,0.234203051770356,0.023420305177035597,0.11783411002434105
Other,2021-08-30,44924020,0.15060428904660828,0.22624837082385363,0.2163175884902049,0.17509894743810786,0.13833081471220565,0.12148650457702036,0.1186357594594141,2.7570410161491026,0.07658447267080841,0.09635157316731673
EMRO,2021-08-30,774669408,0.5887210356017972,0.9326877989133555,0.8254792002557444,0.6674851112652812,0.5130053759036253,0.4534442773230291,0.449416430014113,4.217473543898395,0.20083207351897117,0.14260457281411065
AFRO,2021-08-30,1191645942,0.21377654944009095,0.3941635504369717,0.3895221031279093,0.29178406754417313,0.21377654944009095,0.17591834869299686,0.1684875823901446,2.4322831640322335,0.0517507056177071,0.0459627294228641
EURO,2021-08-30,933468778,0.5849447048133798,0.6044185583311701,0.5976806916040431,0.5852107157727044,0.56381803420081,0.5509619840959765,0.5479891615248471,24.940106700217793,0.4705680509475056,0.20632720080113917
AMRO,2021-08-30,1032012460,0.6969930884105418,0.7095566780290411,0.7073600354422571,0.7024405033982656,0.69414249513446,0.6878143209009439,0.6866053934006964,23.05724491750048,0.6587784262142994,0.32827655976169123
WPRO,2021-08-30,1927284137,0.28792539449189325,0.3372228249782405,0.3302407755895211,0.28792539449189325,0.20718209519411668,0.17004975679759832,0.1687737521959251,2.749185107438683,0.10182167064587716,0.04742424754363036
SEARO,2021-08-30,2044764457,0.6084415720882327,1.4101590732075946,1.2519262008740861,0.7922123480633286,0.4909355106077827,0.3341766800107716,0.2992282854905445,0.234203051770356,0.023420305177035597,0.09575679943462553
Other,2021-09-06,44924020,0.1742936428259118,0.2614776996241009,0.23454817112993825,0.19892066118193313,0.15989380517459928,0.13420741727323718,0.13085903700977952,3.1424659783336355,0.08729072162037876,0.11479604897335546
EMRO,2021-09-06,774669408,0.5759650829028725,0.991515472461548,0.8042483286201072,0.6459008273549635,0.5040478785021038,0.4537298594566556,0.44897881368877673,4.571577892952042,0.21769418537866864,0.1231862250070936
AFRO,2021-09-06,1191645942,0.19553925714626363,0.37691292588549546,0.3572764141009652,0.2689045780466439,0.182139531368984,0.1455182631492723,0.12083258182086984,1.7146931443088749,0.03648283285763563,0.036444214232888315
EURO,2021-09-06,933468778,0.695554271213302,0.7206163502533526,0.7135865574176125,0.6968606760576467,0.6769171090618504,0.6614390575144509,0.6588158099111715,30.622239998214088,0.5777781131738506,0.24040911200138712
AMRO,2021-09-06,1032012460,0.6263228672525257,0.6416274718522101,0.6405089461080252,0.6296928660592589,0.6224021386248177,0.615818847240052,0.615496154915336,20.47984006259089,0.5851382875025968,0.32902441894936035
WPRO,2021-09-06,1927284137,0.31219953785922266,0.3701105638556366,0.3660362738073793,0.31219953785922266,0.23595852718698251,0.19182313903414464,0.18553739500321204,3.8212743878551865,0.14152868103167354,0.04519312867669807
SEARO,2021-09-06,2044764457,0.5622989679851018,1.2798197572819692,1.020100212820951,0.6741357906459293,0.4247887935881866,0.29487223353086595,0.2870154148532832,0.12272127316536682,0.012272127316536685,0.07545397195839462
Other,2021-09-13,44924020,0.18344213137373275,0.2761180969568284,0.25325916632475876,0.20904403400387783,0.16954824261684628,0.13849522729167926,0.13368149955673625,3.1424659783336355,0.08729072162037876,0.1007256251778002
EMRO,2021-09-13,774669408,0.5182914731220852,0.8550520655992281,0.7486448051501902,0.581392739696417,0.46179026773478243,0.41548776974422036,0.40597902205696973,3.9289863631210347,0.1870945887200493,0.10826734492657286
AFRO,2021-09-13,1191645942,0.17531934514356534,0.34629312160524345,0.32446345511401936,0.23954861354113355,0.17021034716938346,0.11974442817655855,0.09875184958372749,1.1542893921490263,0.024559348769128218,0.029131471669963528
EURO,2021-09-13,933468778,0.668306291448425,0.6859366718952442,0.6784530914399453,0.6694139319722427,0.6455826801175586,0.6296899662310138,0.6219384972175604,29.101950111392394,0.5490933983281584,0.221897298422551
AMRO,2021-09-13,1032012460,0.592147626423176,0.6036196718239933,0.60293124708307,0.5962622156913827,0.58780152916473,0.5801712773778915,0.5789753201797896,19.342208449112093,0.5526345271174883,0.3524873139613062
WPRO,2021-09-13,1927284137,0.2360806307143726,0.38380478635451426,0.36710587626942937,0.3000564615347114,0.2315635702609201,0.19670729727173109,0.188776734821175,3.837004887720315,0.14211129213778942,0.04905493600293147
SEARO,2021-09-13,2044764457,0.47590250492357744,1.1638133256552314,1.049340684829867,0.5942406649517832,0.3554230129590985,0.2436974576767314,0.21292728548262135,0.12272127316536682,0.012272127316536685,0.05948293926159535
Other,2021-09-20,44924020,0.1922255972386327,0.2757644291514014,0.24893395451422332,0.21301626381056774,0.17536145921774104,0.15418478959770204,0.14345104164420514,3.1424659783336355,0.08729072162037876,0.08490780655871848
EMRO,2021-09-20,774669408,0.4653107241027269,0.7300739320646895,0.6829540435505397,0.5158616176952453,0.4044137154550903,0.3664903554247267,0.3545497618102482,3.357217302117919,0.15986749057704375,0.08779783904929933
AFRO,2021-09-20,1191645942,0.17456913155711676,0.34357568484982126,0.334496969764435,0.2409482291763827,0.16503730147917334,0.11131819159558014,0.0956703529710382,0.9988908853667156,0.02125299756099395,0.02547510038850113
EURO,2021-09-20,933468778,0.6379557602098659,0.6527824930227053,0.6477435735174512,0.6379557602098659,0.6158232363449474,0.5981447271507205,0.5910080478107566,27.568063429981734,0.5201521401883347,0.22946680708371806
AMRO,2021-09-20,1032012460,0.5372570075789327,0.5521515067366022,0.547865915003779,0.5429745753138283,0.5326429631775746,0.5275046150287683,0.5269207711157087,17.503648605884365,0.5001042458824104,0.35854344239215874
WPRO,2021-09-20,1927284137,0.23969555320390468,0.39059917866450794,0.3678352494103727,0.31488549443125874,0.23969555320390468,0.20931350119882605,0.20083398638126987,3.829479864884071,0.1418325875882989,0.04892153584928303
SEARO,2021-09-20,2044764457,0.42556329359719414,1.0431770445423874,0.9810800500170314,0.5623245097244304,0.3145879869003995,0.2191651955427428,0.19399075511586739,0.12272127316536682,0.012272127316536685,0.043993918073078085
Other,2021-09-27,44924020,0.18794674179696802,0.2679394769089113,0.2429431606519299,0.20753205337594416,0.1731087005502389,0.15208635170099435,0.14857026100535353,3.1424659783336355,0.08729072162037876,0.08490780655871848
EMRO,2021-09-27,774669408,0.39330864646276514,0.590885165566287,0.5547776172113494,0.43577073449478537,0.32837154428348764,0.2932943729928188,0.2903546525783605,2.733872692129138,0.13018441391091135,0.07263963107214891
AFRO,2021-09-27,1191645942,0.18047546683860313,0.33473720724740613,0.3031404911358808,0.22949044990382142,0.15765309376790498,0.10368634354760373,0.08802858732418373,0.6973343921473746,0.014836901960582438,0.023688915478218445
EURO,2021-09-27,933468778,0.6475926251698485,0.6639308525761061,0.6580624701602952,0.6475926251698485,0.6222290696101677,0.6092813397612591,0.6004293109358477,28.2182304047454,0.5324194415989698,0.2309513773582259
AMRO,2021-09-27,1032012460,0.5058823265139498,0.5143050527607469,0.5140814023624886,0.5061121283895171,0.49624951424674035,0.49058356909281714,0.48933151993592966,16.315411983237386,0.4661546280924968,0.351587421725509
WPRO,2021-09-27,1927284137,0.2578219839166694,0.4054463023463283,0.39677208660846186,0.3148313918859921,0.25319888058268847,0.2154027389133936,0.21188055348174215,3.8885592994920337,0.14402071479600126,0.03474163394725228
SEARO,2021-09-27,2044764457,0.36803018723899633,0.8541087171989269,0.8010096110978976,0.517703183654718,0.2855392444667132,0.17724531621888406,0.16652263492098215,0.12272127316536682,0.012272127316536685,0.03534460888763385
Other,2021-10-04,44924020,0.18297928099874483,0.2734810650432828,0.2662746377708836,0.19606312459390912,0.142827108596116,0.11588672230619111,0.11155229440388627,-0.9162579192246619,-0.025451608867351726,0.07695660361650628
EMRO,2021-10-04,774669408,0.3857473618370659,0.5529570810173801,0.5406724090662606,0.42519218294466216,0.3231920453580306,0.29939307306016494,0.2828979480272938,2.957515354719292,0.14083406451044247,0.058937528097146696
AFRO,2021-10-04,1191645942,0.1762903384757288,0.28790621397555094,0.28340754429117354,0.19507901059634677,0.12683482057617645,0.08552351152915176,0.07089792477854592,0.46758931958778066,0.009948708927399588,0.028388130070936792
EURO,2021-10-04,933468778,0.8965798302338048,0.9143009167624164,0.9107336846701393,0.8965798302338048,0.871179055432447,0.8575839374395263,0.8558200876405081,41.382739346970254,0.7808064027730237,0.24529079643197238
AMRO,2021-10-04,1032012460,0.37817834226973396,0.3866679895940498,0.38554407240899063,0.3812812847538847,0.37309415343639707,0.3686325829724772,0.36609529672537794,12.14460316696915,0.34698866191340433,0.32308592475714876
WPRO,2021-10-04,1927284137,0.17166003057391113,0.2975721905757369,0.28741597312346145,0.22433100453864238,0.16557159003357932,0.12531770267286532,0.12416443981228874,1.731912545365289,0.0641449090876033,0.031739741341522805
SEARO,2021-10-04,2044764457,0.3690334670734227,0.792425535321199,0.7259301583945591,0.4582294210321311,0.24458658627766028,0.1460291660087389,0.14410662574188737,0.039158897186486165,0.003915889718648616,0.02964360994856632
Other,2021-10-11,44924020,0.08334445789046124,0.1697629909895203,0.14421379562404182,0.11204038246587224,0.07568746411138286,0.05502087251759164,0.047951591343361036,-0.9162579192246619,-0.025451608867351726,0.135523638950091
EMRO,2021-10-11,774669408,0.3971899073141369,0.5835232128048693,0.5416480300058908,0.44524698769788656,0.34655732719279664,0.32661525070432357,0.3200148342587336,3.5222439931322334,0.16772590443486826,0.052667627737276027
AFRO,2021-10-11,1191645942,0.14784322875933287,0.28420144400375524,0.24573296741889455,0.19463223852864747,0.13001027778692653,0.08331512031327115,0.0737752634394072,0.6934186216847695,0.014753587695420624,0.01472173854807622
EURO,2021-10-11,933468778,0.9494120041465209,0.9786613938574663,0.9756452019858791,0.953478234990581,0.9270801225423729,0.9156819223745419,0.9122989097717625,44.149878802077225,0.8330165811712684,0.2729607095653713
AMRO,2021-10-11,1032012460,0.3355068174284619,0.34543882019348743,0.3439005745974136,0.33903680287387433,0.3324374806659394,0.32833646156466806,0.32682977008747055,10.822017391212146,0.3092004968917756,0.2763530587605502
