region,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
EMRO,2020-11-23,774669408,67.04994899066804,97.6318762624632,92.41365013075203,75.70786833368196,63.3178214493881,51.411902391054,50.60406798919264,578.4554160022933,27.5454960001092,12.571178706809947
AFRO,2020-11-23,1191645942,10.699601893056192,64.4309566793168,47.60247565296632,27.756592097873092,2.220788228910399,-14.741581742206497,-25.765974309002036,316.50925940152916,6.734239561734663,2.7549264013410006
EURO,2020-11-23,933468778,102.16894865782982,102.6185843625261,102.60796772404338,102.26559381148611,101.9373786001846,101.62529497865785,101.47107391099,5332.962887234937,100.62194126858368,43.44768740263819
AMRO,2020-11-23,1032012460,104.57056833225015,105.13283218426855,105.02197837967076,104.57056833225015,103.36880780973343,102.78019425729394,102.69925077592194,3573.7485325831667,102.10710093094762,72.9585855000239
WPRO,2020-11-23,1927284137,-7.2929796227905115,17.016097846203223,14.981724485223257,2.1799497484245913,-8.393169239594261,-11.782352046445531,-14.051683204477005,-169.79844241257433,-6.288831200465716,0.8031152941859484
SEARO,2020-11-23,2044764457,60.298302812904076,104.4399652704258,97.61123620089737,72.82632708259268,50.18381953284978,38.02098778406697,29.468070432992114,-1.5265188855114074,-0.15265188855114073,7.8220684923287145
Other,2020-11-30,44924020,-4.3783880264033295,-1.807545792043773,-2.1967473786876215,-3.5366297032043086,-5.753870162335993,-7.519879648671699,-8.91218824968709,-190.3316829831119,-5.286991193975331,4.661101863398096
EMRO,2020-11-30,774669408,69.53859668149772,100.05269513201804,95.78330045976325,77.97754175250384,65.87147964683224,53.66612853428991,52.42309101888248,597.1653772116581,28.43644653388848,13.282580105017734
AFRO,2020-11-30,1191645942,11.638790570634544,66.52422686891362,50.2899309581233,29.18230223233196,3.269796526320447,-14.03082618212683,-25.557629273365034,333.6841948595322,7.099663720415579,2.8333068134315575
EURO,2020-11-30,933468778,109.97156783318911,110.46387812947427,110.4490051717536,110.08842822513381,109.72456031024275,109.40578776384454,109.26063217932497,5739.52613082809,108.29294586468096,47.40775772006235
AMRO,2020-11-30,1032012460,108.30283412328863,108.88854464787646,108.74363401370265,108.30283412328863,107.0553561117726,106.48359076782799,106.37353767885931,3701.3325438082084,105.75235839452023,75.30700695222227
WPRO,2020-11-30,1927284137,-7.379112959155424,17.457804691614253,15.879092520047644,2.55038779355377,-8.329700647972125,-12.266119854212386,-13.796513381522626,-170.22219287909866,-6.30452566218884,0.8248564060415273
SEARO,2020-11-30,2044764457,62.41963860000186,107.7754135637913,99.7843781953357,75.85083310268654,52.167227880709724,39.78941366590333,30.99018327701785,-1.240444837198961,-0.12404448371989611,8.064101259626566
Other,2020-12-07,44924020,-3.1720238266037017,-0.580429401923696,-0.95447058516529,-2.3336750160975566,-4.606528435980604,-6.389728907210966,-7.747996092195452,-149.1686237135622,-4.1435728809322825,5.181972435533003
EMRO,2020-12-07,774669408,71.88687574389874,102.49717459937561,98.92647485493892,80.55680265389283,67.79337408662363,55.7941221858692,54.11880409048807,617.0908700212603,29.385279524821925,13.899230633703645
AFRO,2020-12-07,1191645942,12.542710632484912,68.6558474034348,52.32562396599915,30.48353278966578,4.323434135250633,-13.103160136175815,-25.14270638667491,350.6861355020228,7.461407138340912,2.921923655295481
EURO,2020-12-07,933468778,117.48681498231144,118.0279648885998,118.00835048808806,117.62178817006794,117.24840669258226,116.90028541525406,116.76299669740844,6130.933639999539,115.67799320753848,51.31811925119006
AMRO,2020-12-07,1032012460,112.78440866744727,113.40086380011726,113.20469284962385,112.78440866744727,111.4808712229174,110.93187133707956,110.79502549598203,3854.7666461021786,110.13618988863367,78.18284354822615
WPRO,2020-12-07,1927284137,-7.404165346350602,18.38458283626228,16.808499892884488,2.8081071874843127,-8.085783656870387,-12.829031513665218,-13.975764840523912,-169.28035760172108,-6.269642874137817,0.849813701687032
SEARO,2020-12-07,2044764457,64.41499622727144,110.84012844392315,101.91467161390958,78.68646986023853,53.97796041303212,41.263956790245174,32.31872958932673,-0.8326141459334921,-0.08326141459334924,8.299385181133033
Other,2020-12-14,44924020,-1.9742360401877999,0.6543201474788318,0.32309916306014375,-1.141140336897447,-3.4294599094002227,-5.290778560419164,-6.58855262702629,-108.00556444401244,-3.000154567889233,5.776327081444032
EMRO,2020-12-14,774669408,74.06904345842938,104.55882549899418,101.47198774577491,82.95920573885265,69.91147788562296,57.743207440255034,55.5914139069233,635.2255318187259,30.248834848510757,14.420613427226838
AFRO,2020-12-14,1191645942,13.636291965739986,71.29960207697874,54.559769041898655,31.89148050609473,5.616539514060098,-12.188756887531227,-24.447575131790938,371.1391851149328,7.896578406700697,3.05719890301667
