region,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
South-eastern Asia,2020-02-03,680786410,0.5137014364706592,3.098211442352231,2.3889835873544016,1.214079923067377,-0.14133021216624414,-0.4639006660594512,-0.6155928178377315,-1.198861889367216,-0.10898744448792873,1.468889486204638e-4
Eastern Asia,2020-02-03,1613237280,-2.1427517540078225,-2.1427517540078225,-2.1427517540078225,-2.1427517540078225,-2.1427517540078225,-2.1427517540078225,-2.1427517540078225,-12.85651052404694,-2.1427517540078225,0.02237736534330523
Northern Europe,2020-02-03,106550176,-2.051332170674569,-2.042975232184274,-2.044980488264163,-2.051292993732409,-2.0595048750536917,-2.0642254061694456,-2.066084918555574,-28.609841777971667,-2.0435601269979764,9.385249631122148e-4
Northern Africa,2020-02-03,259969965,0.06446727676451813,0.20925280045701855,0.14444854351624548,0.06446727676451813,-0.1730989485982775,-0.2848432943820936,-0.318508456727696,-0.9071743862481086,-0.12959634089258693,0
Melanesia,2020-02-03,12413369,2.382070105104104,7.0603849042018085,5.6631866069596155,2.561752888990288,-0.6715336027761769,-2.3825070435530673,-2.7445117829196213,0,0,0
Micronesia,2020-02-03,539140,1.1786602461739981,6.560341656641242,5.929058142740177,2.4218088426990074,-0.4063369351336452,-1.8505880120177716,-3.1485403897316075,0,0,0
Central Asia,2020-02-03,76551056,0.30979246509379776,0.5658388130676396,0.5364321895494225,0.4464414806392258,0.30979246509379776,0.2895726777982837,0.2743919319162418,1.8608138757445967,0.3721627751489193,0
Other,2020-02-03,25675511,0.177231840306412,0.177231840306412,0.177231840306412,0.177231840306412,0.177231840306412,0.177231840306412,0.177231840306412,0.354463680612824,0.177231840306412,0
Latin America and the Caribbean,2020-02-10,660258572,-0.17142954197688598,-0.047571264363351295,-0.10056860860391649,-0.17142954197688598,-0.23928217221800985,-0.2800654615045684,-0.2979681185910153,-10.578471711228898,-0.21588717778018163,0
Southern Asia,2020-02-10,2007549683,1.1528526760813156,3.346246025902619,3.0375239950338715,1.2556985630415005,-0.10223680164063348,-0.9888828264803889,-1.2890328850442643,-0.1835172786135155,-0.020390808734835054,0
Sub-Saharan Africa,2020-02-10,1166766649,2.782099205313987,6.2390121333579875,5.2530453021360515,2.782099205313987,0.5084216619720998,-0.3404887792763888,-0.5433053588284169,3.77394273212882,0.0739988771005651,0
Southern Europe,2020-02-10,149750531,-2.1890282108960544,-2.188991626424502,-2.1889970106016565,-2.1890158775018382,-2.189032438841526,-2.189044178313389,-2.189051744947378,-35.02396364990896,-2.18899772811931,0
Western Asia,2020-02-10,293775379,-0.3171338732829443,0.3434990722580115,0.1519561962324733,-0.22507800159280672,-0.5401619576299919,-0.6867985288623673,-0.803064039105226,-9.02982834089624,-0.5016571300497912,0
Polynesia,2020-02-10,723699,-1.5494953307717652,0.7708927626827546,0.38045223731733563,-0.4405346567838418,-1.5494953307717652,-1.8417756297728594,-2.2680818833719947,-4.3462468376690255,-0.4346246837669026,0
Australia and New Zealand,2020-02-10,31362699,0.3489415882221787,0.3489415882221787,0.3489415882221787,0.3489415882221787,0.3489415882221787,0.3489415882221787,0.3489415882221787,0.6978831764443574,0.3489415882221787,0
Western Europe,2020-02-10,198806318,-3.5970508605375606,-3.5970508605375606,-3.5970508605375606,-3.5970508605375606,-3.5970508605375606,-3.5970508605375606,-3.5970508605375606,-32.37345774483804,-3.5970508605375606,0.004778520167553226
Eastern Europe,2020-02-10,289626123,-2.0727185884119614,-2.0727185884119614,-2.0727185884119614,-2.0727185884119614,-2.0727185884119614,-2.0727185884119614,-2.0727185884119614,-20.727185884119613,-2.0727185884119614,0
