world,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
World,2020-08-10,7868684247,27.629743676355417,30.448682425838754,28.749725376423292,27.629743676355417,19.526878035814747,16.2643758020616,15.383577090491588,3014.2832323954462,13.456621573193958,9.80922451290731
World,2020-08-17,7868684247,29.64979108913832,32.62110564370635,30.974719239332913,29.64979108913832,21.253249355200005,17.92189101082693,17.111203152213236,3190.8182126906404,14.2447241637975,10.346798580847922
World,2020-08-24,7868684247,31.493050215722075,34.575234540119084,33.15426075512044,31.493050215722075,22.993025486398025,19.417807525725056,18.634749388766046,3344.4074494537426,14.930390399347065,10.869618237967657
World,2020-08-31,7868684247,33.192461906626946,36.68490129050752,35.04108421066709,33.192461906626946,24.499905039869002,20.754114582958678,19.908914861206146,3481.220645751927,15.54116359710682,11.373641842868574
World,2020-09-07,7868684247,34.99146109795565,38.76399161521197,37.10816169054944,34.99146109795565,26.131656822721673,22.345127544789438,21.32980419560109,3616.0951091745196,16.14328173738625,11.877500337573274
World,2020-09-14,7868684247,36.87179908519832,40.800433148111345,39.131972985439596,36.87179908519832,27.81765196834845,23.888999142227906,22.76243800106403,3747.12582620734,16.728240295568483,12.347464715850352
World,2020-09-21,7868684247,38.6350085498174,42.44112659782149,41.259645728231696,38.6350085498174,29.422349973170192,25.49937801643281,24.20819615348369,3873.4341558450237,17.292116767165286,12.825766269434093
World,2020-09-28,7868684247,40.32428536324153,44.38662173244782,43.446433598412966,40.32428536324153,30.963905098760016,27.00985676144811,25.60097502056075,3996.2578537697086,17.8404368471862,13.305643308780237
World,2020-10-05,7868684247,42.15462698941614,46.495164774481864,45.409160762240354,42.15462698941614,32.353456990562606,28.33874397930342,27.144249820859752,4158.211259720022,18.5634431237501,13.851452781518635
World,2020-10-12,7868684247,43.9298531841208,48.6634992172669,47.84336086319347,43.9298531841208,33.88206420455369,29.682441204507395,28.664340112079863,4330.977438258811,19.33472070651255,14.326412099072249
World,2020-10-19,7868684247,45.8752947354538,50.85031456693287,50.089530062781435,45.8752947354538,35.59270547257534,31.18548597835714,30.28591621513481,4539.444663865765,20.265377963686447,14.812973966319582
World,2020-10-26,7868684247,47.91580251565719,53.16497027398394,52.31723158654771,47.91580251565719,37.47804895729939,32.83750541776303,31.823005393821106,4776.176211988661,21.322215232092233,15.349569916476025
World,2020-11-02,7868684247,50.53044099599187,55.970116861124446,54.98975154691031,50.53044099599187,39.88855065330352,34.752138972174144,33.79727216531335,5087.855976836444,22.713642753734128,15.952352281495733
World,2020-11-09,7868684247,53.226989759882294,58.883708450372154,57.73950410620092,53.226989759882294,42.11208315585722,36.748068087909644,35.81877960199031,5412.796690451674,24.164270939516403,16.69362046775239
World,2020-11-16,7868684247,55.87111499689687,61.48725162900901,60.609082326239424,55.87111499689687,44.33171539475375,38.92881740995599,37.79539759885032,5741.9503045925085,25.63370671693084,17.502752325143593
World,2020-11-23,7868684247,58.50883933558557,64.35339712341255,63.52204669804748,58.50883933558557,46.540489038135924,41.190119530297494,39.59978457914555,6066.942192879473,27.08456336106908,18.396663197559363
World,2020-11-30,7868684247,61.090577713042876,67.32822799803792,66.10033150226221,61.090577713042876,49.075517255269105,43.2447781340146,41.523152764019656,6398.106222930189,28.56297420950977,19.321024268823987
World,2020-12-07,7868684247,63.77255329500358,70.41617087671145,68.67395856502503,63.77255329500358,51.49669556843819,45.51289719920586,43.56716620998237,6749.346432869271,30.13101086102353,20.300463646244463
World,2020-12-14,7868684247,66.33806088472822,73.36117012842043,71.13448187573046,66.33806088472822,53.606102727673026,47.87088250807355,45.647995550417825,7092.977710219296,31.665079063479,21.295268235459545
World,2020-12-21,7868684247,68.9332565791351,76.48011150303118,73.95127743825822,68.9332565791351,55.86744382935934,50.281838997728215,47.82384764967865,7449.3345654901395,33.2559578816524,22.342216065796087
World,2020-12-28,7868684247,71.59492051627062,79.78210030333929,77.22980461644957,71.59492051627062,58.37417236030603,52.72828638565051,49.96181310994045,7832.094343946365,34.9647068926177,23.274633909706555
World,2021-01-04,7868684247,73.97116083349054,83.0590180559098,79.52875173110219,73.97116083349054,60.81337425175531,54.96453237107167,52.02994839950073,8172.078563517348,36.48249358713102,24.287979946947793
World,2021-01-11,7868684247,76.4332511883221,85.88271431104985,81.86865759098805,76.4332511883221,63.292962473710816,57.129746057122375,54.09715866895863,8533.09013592215,38.0941523925096,25.465889786643512
World,2021-01-18,7868684247,78.92617832927516,88.79060326356141,84.58853013871374,78.92617832927516,65.62616465959772,59.292150526695174,56.17200766489144,8899.842703718554,39.731440641600685,26.70007346909367
World,2021-01-25,7868684247,81.10734853357486,91.33640395583878,86.9349174264569,81.10734853357486,67.54227673995122,61.11176037037492,58.00099646685237,9205.195866205546,41.09462440270334,27.996834805512812
World,2021-02-01,7868684247,82.95919754309956,93.324438832262,88.94315431989924,82.95919754309956,69.21178224390461,62.541424238537026,59.50378781975605,9443.979893548329,42.160624524769325,29.267288643308042
World,2021-02-08,7868684247,84.53637000484038,94.96649526958612,90.67755783488184,84.53637000484038,70.7172656466466,63.67418758735918,60.56578359727505,9629.302140819422,42.987955985800994,30.409207662796685
World,2021-02-15,7868684247,86.0340551479722,96.5386241702772,92.34547973547016,86.0340551479722,72.0290239945679,64.70923338804336,61.63460209342476,9800.684462401652,43.75305563572166,31.436774883210024
World,2021-02-22,7868684247,87.36508113360712,97.98020264188258,93.90572590292021,87.36508113360712,73.12227361238158,65.70249410376061,62.68977728661051,9944.281252569695,44.39411273468614,32.321434158063255
World,2021-03-01,7868684247,88.81647839612373,99.733121799872407,95.60734721117716,88.81647839612373,74.66048157951633,66.77426373950068,63.800446637463004,10117.960174924117,45.16946506662553,33.18744968062003
World,2021-03-08,7868684247,90.39394879661917,101.62421160840178,97.37455829852529,90.39394879661917,76.06737651783801,67.88165398344285,64.95754523176954,10294.77991254042,45.95883889526973,34.00461322387079
World,2021-03-15,7868684247,92.11452919214886,103.62294661828673,99.18699529437636,92.11452919214886,77.53048726269087,69.203422056491,66.26105987971735,10481.546590569686,46.79261870790038,34.80232018515764
World,2021-03-22,7868684247,93.97269764150626,105.8312388821596,101.540646910641,93.97269764150626,79.0851582626016,70.71229295342674,67.70727888044523,10681.354778774474,47.68461954810033,35.6657312189134
World,2021-03-29,7868684247,96.1541627855334,108.45129416002328,103.89124024055212,96.1541627855334,80.9753672237429,73.40052421362675,69.34550381091103,10892.452348178393,48.62701941151069,36.5869907805439
World,2021-04-05,7868684247,98.83456672487152,111.53525425150889,106.88943671494785,98.83456672487152,83.612381569143,76.02933003324502,71.32953942358871,11125.766157214395,49.66859891613569,37.50917846430647
World,2021-04-12,7868684247,101.88143264562942,114.72749112148789,110.51112751239452,101.88143264562942,86.09845980653996,78.49005717252868,73.43347682687437,11358.619954061185,50.70812479491601,38.63458939986107
World,2021-04-19,7868684247,105.21801957103476,121.01942100525574,114.74352780929173,105.21801957103476,89.39321923015386,81.34015878718867,75.93140040176728,11601.974683474711,51.79452983694067,39.74741940105708
World,2021-04-26,7868684247,109.3591593327517,127.40231152867581,120.22893937722344,109.3591593327517,94.52898639436114,85.10631711566583,79.37789534492634,11835.221803173987,52.835811621312445,40.93764427296888
World,2021-05-03,7868684247,114.44226900997742,134.9890936999836,127.09480602159665,115.03882971635748,99.97964698442456,90.01911596962476,81.84309391878504,12027.947297517872,53.696193292490506,42.15872544720246
World,2021-05-10,7868684247,119.98894898973765,140.16899757919472,135.60689252369983,121.53367866114311,105.98091096269076,93.35580533573588,85.07680172405657,12214.7598446388,54.530177877851784,43.33902431400994
World,2021-05-17,7868684247,125.281676826351,147.12498429730752,141.503683504489,127.89002006215316,111.60875732684816,96.22236136173733,88.17195672898151,12390.63033978543,55.31531401689925,44.46550206070303
World,2021-05-24,7868684247,130.6356693199287,155.10140390545976,148.24851958887874,134.9382693515734,116.63306334711851,98.87530242579595,91.05933638340477,12553.965184891507,56.04448743255138,45.5322503043119
