continent,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Asia,2020-06-01,4679006159,0.16585072613954654,0.3169721772640289,0.2779935799252905,0.2026223403754356,0.10279098802226662,0.039054895067325186,0.024791253126293326,0.40193728117659766,0.007881123160325444,0.010682995127897629
Africa,2020-06-01,1371693397,0.12258482343342796,0.18202262331768015,0.16356664856850492,0.12258482343342796,0.001578488543518748,-0.057917093691241976,-0.07838000907971888,4.154613552523254,0.07553842822769553,0.00899843946686287
Europe,2020-06-01,747993718,0.19153014044172684,0.1915965696838327,0.1915910739042803,0.1915582021198102,0.19152743188321236,0.19150197563272653,0.1914975346204241,9.385372020839295,0.19153820450692435,0.10517708652734968
Oceania,2020-06-01,43202462,-0.16062728567139745,-0.12727572953360453,-0.134020244219003,-0.15096302198290884,-0.1732053216808093,-0.18584321914825574,-0.19278342694885092,-2.956916841298388,-0.14080556387135182,3.3099965460301774e-4
Americas,2020-06-08,1026788511,0.43778654798545175,0.4414682279318776,0.44031852702191804,0.43778654798545175,0.4283883544891503,0.42365534869440225,0.4227188626640641,20.33381352876646,0.4236211151826345,0.3270251823065052
Asia,2020-06-08,4679006159,0.13522240258989476,0.3093043799504088,0.2802282333413712,0.20088678616131023,0.11409463166168643,0.047020363075973674,0.04253764762735165,0.4590364030367498,0.009000713785034309,0.013412570504804072
Africa,2020-06-08,1371693397,0.22616372287315886,0.22616372287315886,0.22616372287315886,0.22616372287315886,0.011351746244379051,-0.04635516684742909,-0.08340956166009804,4.4422767541896775,0.08076866825799414,0.010623000760861721
Europe,2020-06-08,747993718,0.17652282977752518,0.17659251897122666,0.17658604343103607,0.17655035471906783,0.17651849453493818,0.1764945554271349,0.17648991260833471,8.649991513271997,0.17653043904636725,0.08147528319215108
Oceania,2020-06-08,43202462,-0.1392221842338731,-0.10423356954927038,-0.11259530225280936,-0.1291581507358861,-0.15098557535511728,-0.16473563995708654,-0.1704454267634232,-2.4894434829513576,-0.11854492775958844,0
Americas,2020-06-15,1026788511,0.4399828961194232,0.44677679569942685,0.4451758856106617,0.4399828961194232,0.4327706278960224,0.42639177604253753,0.4254836345572823,20.48012269547349,0.42666922282236436,0.30739397316844347
Asia,2020-06-15,4679006159,0.1968563886152231,0.30947059828705686,0.2949144179936414,0.22626068200774913,0.14299728328267872,0.07757860108757249,0.057519446071767434,0.3500015268672566,0.006862775036612875,0.016819789785619727
Africa,2020-06-15,1371693397,0.2533097523594111,0.27633812575113603,0.25344344119563567,0.2533097523594111,0.09045127433448776,0.04355924691318116,0.01688538566245775,5.340780334703326,0.09710509699460593,0.01455974056861338
Europe,2020-06-15,747993718,0.1327144142437037,0.1327880759273556,0.13277421545515536,0.1327404100020536,0.13271269132151864,0.13268743201401614,0.13267927675134292,6.50336920701346,0.1327218205512951,0.06566178140014807
