world,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
World,2020-03-09,7882631890,-588.1559159109825,743.0427531993056,610.2566983094196,-588.1559159109825,-2888.174366141384,-5402.41746095358,-5577.543852422647,11716.450609409561,51.163539779081056,135.51133333333334
World,2020-03-16,7882631890,2260.746934181834,2865.91597734956,2540.5961783132893,2260.746934181834,-647.9402480000889,-2399.189967932194,-3340.0259995721626,384318.81841895083,1678.2481153665974,471.052
World,2020-03-23,7882631890,4898.315955885863,6331.925758911043,5893.986264920519,4898.315955885863,2614.572757193019,441.55519969661583,4.394724692192787,1445478.1589646207,6312.1316985354615,1478.9013333333332
World,2020-03-30,7882631890,6765.950131415178,7436.263548196391,7053.926144952753,6765.950131415178,3204.6832305848184,1757.5641392860787,-178.26274014794777,2026720.7899743398,8850.3091265255,3511.797
World,2020-04-06,7882631890,8157.1314306571585,8687.893118119015,8466.290287641454,8157.1314306571585,4208.950178802543,2514.792797504781,1252.6735485181403,2238716.30879155,9776.05375018144,6218.525333333334
World,2020-04-13,7882631890,6804.141481393512,8115.1528311831335,7303.95820290861,6804.141481393512,3235.4772953592,1234.1197567608606,471.0832154931687,1985179.0678391657,8668.904226371902,7375.658
World,2020-04-20,7882631890,5123.477214139577,6031.758577505624,5674.4917392709385,5123.477214139577,1617.523259635276,-271.90104384178056,-585.9711908440731,1606264.326886786,7014.2547025623835,7207.85
World,2020-04-27,7882631890,4297.998798680853,6412.735375076008,5629.824058553046,4297.998798680853,462.20029592057205,-1973.661060084191,-2354.35698115954,1207800.510220122,5274.23803589573,6412.27
World,2020-05-04,7882631890,7922.505407294531,12019.212074895779,11184.790058171138,8555.777312527835,5751.329661763212,3693.9284230567278,3134.671443230511,1498166.0693752668,6542.209909935663,5799.729
World,2020-05-11,7882631890,8386.913981923806,12722.476947281562,11325.625408414984,9112.100603474868,6678.381019962624,4810.183782404242,3570.943429589277,1493407.558422887,6521.430386126144,5437.29
World,2020-05-18,7882631890,9242.788975921305,13742.98100707472,12550.465483623755,9468.020610375279,6958.153067497515,4973.429165116414,4683.693889556075,1371497.4455657399,5989.071814697554,5072.556333333333
World,2020-05-25,7882631890,21865.662563507347,29236.09838102296,28438.488584226103,21865.662563507347,7873.896790724936,4642.055444318949,3465.762675843069,1231384.7769943092,5377.22610041183,4754.111333333333
World,2020-06-01,7882631890,15572.74186207366,23218.3658971689,22791.589132239857,17499.656696845006,11825.576344620213,9199.55842590737,8467.725631991794,1641009.0792677358,7165.9785120861825,4506.888666666667
World,2020-06-08,7882631890,15922.929222887808,22003.761503692825,21796.718352247484,17830.04331982882,12670.397767555069,8638.446352367939,8099.081923069032,1663779.3126010695,7265.411845419517,4760.006
