world,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
World,2020-10-19,7948769202,0.23690826580170835,0.3246212275185015,0.3071873366505205,0.2714931617155568,0.23313240493703374,0.20906744821918147,0.20091564717359653,29.757528097347652,0.12994553754300284,0.06916619240393439
World,2020-10-26,7948769202,0.25547755015859364,0.3424985990268791,0.31628361549577533,0.2887191284805582,0.24878051326576242,0.2243345559140258,0.22212636921280213,33.83677102759528,0.14775882544801433,0.07681881112441438
World,2020-11-02,7948769202,0.3172674733417186,0.40571077908118636,0.39147536152050094,0.35354100949538075,0.3083706060748009,0.27737285866635397,0.2723168735871686,44.896629465203794,0.19605515050307337,0.08614997902162011
World,2020-11-09,7948769202,0.32793968692467795,0.4198625940337869,0.4019625951084017,0.36571273451709885,0.3220472130213525,0.2920898564697031,0.2829904319990779,46.84347613591217,0.20455666434896144,0.10642628795753026
World,2020-11-16,7948769202,0.3379820185095965,0.41350263349285693,0.4041326875788226,0.3671572516602031,0.318424768219343,0.2922440508347327,0.281532939763566,47.44705830807353,0.20719239435839967,0.11497025222094251
World,2020-11-23,7948769202,0.33646348043889973,0.4206262244894546,0.40369086339827026,0.3694258754624274,0.32155226965263095,0.29589081478762985,0.28039802901494054,46.84854523456306,0.20457880015093038,0.12767839576278595
World,2020-11-30,7948769202,0.3332780638262543,0.4260293914797707,0.4079394025770172,0.3760944856509191,0.3332780638262543,0.30708231561690763,0.3015943627465706,47.743560108674174,0.20848716204661213,0.1315964111446093
World,2020-12-07,7948769202,0.3368956743451773,0.4276032497805212,0.4073562105976908,0.382322929159042,0.3368956743451773,0.31624751353608943,0.31143394143633024,50.52890826872119,0.22065025444856415,0.1393872525222176
World,2020-12-14,7948769202,0.32440522646912623,0.4045144722155486,0.39772161055821087,0.3704036947664574,0.32440522646912623,0.30317279604095004,0.2967839609528754,49.43520256194238,0.21587424699538155,0.14104433925668786
World,2020-12-21,7948769202,0.3234345636709872,0.39967651786221786,0.39397173239208555,0.3712693868469032,0.3234345636709872,0.30482915002636773,0.30109541250599836,51.278129816855404,0.2239219642657441,0.14822920002552617
World,2020-12-28,7948769202,0.37722114834003967,0.46780493406889623,0.4553060398051465,0.421354554691425,0.37722114834003967,0.3563387204757943,0.3537637064290004,55.21429539180234,0.24111046022621108,0.1339186281064532
World,2021-01-04,7948769202,0.32576870741676245,0.4084222617977191,0.3919091386704454,0.3647520732371662,0.3183068393371709,0.28487333699033063,0.2770396629066889,50.15794706728574,0.2190303365383657,0.14521117303413184
World,2021-01-11,7948769202,0.33994915299424655,0.4198175625343345,0.4094814773063042,0.37431964889067826,0.3294988029298387,0.2981542923890317,0.2824700389430287,53.141444304362636,0.23205870875267529,0.16841918113098084
World,2021-01-18,7948769202,0.3280129236198681,0.4140717298169419,0.39887239615061404,0.3701957492889476,0.3258806886967065,0.2900227008344784,0.2738845493628481,54.07802029988886,0.23614856026152342,0.1783182734307298
World,2021-01-25,7948769202,0.2927661658199924,0.36960482528336086,0.3650449771663597,0.33057893490816515,0.2927661658199924,0.26188147270323375,0.25006611158155206,45.089674974423474,0.1968981439931156,0.18387222761886904
World,2021-02-01,7948769202,0.24923200691617364,0.31932806051597545,0.3084538141250075,0.27375695300628344,0.2395806396613981,0.2208671134235229,0.20969945683509839,34.95476978002901,0.1526409160699957,0.1792784220784072
World,2021-02-08,7948769202,0.20561320087720414,0.27332165191561286,0.2631236230749319,0.23641834704348208,0.1979161257531965,0.1800438462403964,0.17008653104483434,27.310277489868763,0.11925885366754918,0.1619843652032776
World,2021-02-15,7948769202,0.2002026304603444,0.26829576706473873,0.2569147975604925,0.23083063454426583,0.19734228510763963,0.16941999302630975,0.16427268494343095,25.307421168000637,0.11051275619214251,0.14550504242958645
World,2021-02-22,7948769202,0.1797520206831026,0.24478110942137227,0.2387021315927334,0.20744756567234715,0.17384171502291665,0.14608514178239262,0.14128886729688356,21.262973244270604,0.09285141154703322,0.12445241204777907
World,2021-03-01,7948769202,0.19818662888414898,0.25814747670050053,0.2538271541554189,0.2260655145341241,0.18996311926857695,0.16092673087918677,0.15225152191839494,24.70236048887,0.107870569820393,0.12261919741672228
World,2021-03-08,7948769202,0.19843656785803082,0.26618003573144733,0.26049159858203297,0.23033109931885068,0.19176933110639954,0.16580850925121826,0.15668028363549238,25.130000716696557,0.10973799439605483,0.11554533496442562
World,2021-03-15,7948769202,0.2402567918069947,0.31083649954807574,0.29053736345775816,0.2561066107615661,0.21529482265391497,0.18310418930958272,0.16876549016742465,26.529480764747618,0.11584926098143064,0.11290056072759024
World,2021-03-22,7948769202,0.23725266442387424,0.3353138981366842,0.3248473975664479,0.2834630918282488,0.2291168637253257,0.1980583910352916,0.1844476438981087,28.434373472526392,0.12416756974902356,0.12232009450662625
World,2021-03-29,7948769202,0.356112893043054,0.48303697056494393,0.44380745644989505,0.39801448940821316,0.3208382548672258,0.2677196151121054,0.25597715155397055,30.16335179228804,0.13171769341610498,0.1305107965317421
World,2021-04-05,7948769202,0.43489254976767644,0.5324328904682509,0.49793571250644286,0.4455659871671096,0.3664077450471503,0.31258620107015184,0.30508065585460503,34.40302662028279,0.15023155729381127,0.13085409496331732
World,2021-04-12,7948769202,0.4753316696671623,0.6995368957455198,0.6277332816056469,0.5059559465106215,0.3991797878685068,0.34719381676018685,0.33066180253178884,34.22979377507511,0.14947508198722753,0.1590633301671249
World,2021-04-19,7948769202,0.5117169879585699,0.7611350004115478,0.7029665477122676,0.5730594600321626,0.4749520010579799,0.40350211583863055,0.39178210416666104,35.75038069476439,0.15611519954045586,0.1578179298103616
World,2021-04-26,7948769202,0.5677234769675131,0.9171970356264849,0.8893075754004414,0.707330729201782,0.5374887374292596,0.42957715835849064,0.41384828721047595,34.406481015520384,0.15024664198917198,0.1685257133472876
World,2021-05-03,7948769202,0.7294936684152598,1.2508610958113362,1.1345103549742548,0.8647373143267248,0.5996635771267438,0.43734787529319075,0.40231732228756745,29.56748229197019,0.12911564319637636,0.1728228440265135
World,2021-05-10,7948769202,0.6946963869523723,1.261949320909458,1.1566009531795751,0.8814411360525806,0.5871438832486232,0.4280260598939728,0.3969080857907555,28.786762902541486,0.12570638822070518,0.16703481586381075
World,2021-05-17,7948769202,0.7196127000177052,1.2594502073554663,1.1737063215854724,0.8972087928590473,0.5731646588785364,0.394547297835847,0.35307810920240634,27.203287606328377,0.11879164893593178,0.15940471635296577
World,2021-05-24,7948769202,0.7032031842287608,1.1900272631685418,1.1338443160075877,0.8975136264952717,0.5527637352593918,0.3589532638255884,0.32929784957145947,25.382070897448195,0.1108387375434419,0.15123286001278466
