world,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
World,2020-03-30,7951213330,-74443.7237276438,133048.29116813914,105124.27780175356,-22041.169069667834,-120207.75787190725,-202902.96309686196,-218105.4008136529,-3850035.678703414,-16313.710502980564,39039.153999999995
World,2020-04-06,7951213330,-31236.921450132322,206875.7318119028,165281.67413514212,22621.413138269345,-84897.35284706586,-175484.2292912087,-187121.53711734927,12399546.224639596,52540.45010440507,79854.229
World,2020-04-13,7951213330,2787.501576630028,260300.18831362334,221391.47271385966,72575.7522347767,-50917.97075282244,-161947.30238588437,-168148.57167204446,26813556.314649247,113616.76404512393,131839.309
World,2020-04-20,7951213330,28260.840919000737,307923.4293160828,294669.1965418616,109289.02705743324,-36287.11829461422,-151939.12190439814,-165944.32291506583,38473364.59132557,163022.73131917618,184331.343
World,2020-04-27,7951213330,43497.64283804754,344728.7160684818,322510.83976557874,133874.88023471215,-26580.7116976839,-151628.7002754448,-172335.88639904588,47235537.33466859,200150.58192656183,229950.357
World,2020-05-04,7951213330,90198.30419300798,409570.70124755456,394240.1751662553,186757.18282473405,10576.990143368692,-123675.7502181239,-144104.09754391387,57972189.105968595,245644.86909308724,271886.951
World,2020-05-11,7951213330,139125.90668706544,483219.83158732916,456092.38781290286,248610.83821194997,57147.491294573134,-94781.55291593213,-112822.19464849691,68665592.30393526,290955.89959294605,311870.006
World,2020-05-18,7951213330,186861.07453741872,552553.3970405642,519108.5950566246,312646.3587039271,113259.92469820232,-67909.34243183982,-84485.41546061613,78468399.9419019,332493.2200928047,348295.031
World,2020-05-25,7951213330,236664.00383479884,623015.5959807977,585036.4507983108,383640.9125609902,153733.3196824089,-33853.34457835468,-55787.789784736735,87263034.45986854,369758.6205926633,382736.095
World,2020-06-01,7951213330,308003.13737337047,725830.7130801661,682617.4615451772,479297.19530202367,238890.6626842448,37863.4594882324,6417.2994898355555,98989457.66987818,419446.8545333821,416540.082
World,2020-06-08,7951213330,388076.7786528371,830291.1045208741,784498.1259036562,587084.6887960944,315541.5187059227,126337.1121420379,83355.06705111287,110876982.3465545,469817.7218074343,451887.12799999997
World,2020-06-15,7951213330,480324.2277949398,939019.2019657987,907375.102329949,694497.6520796344,405244.9825275518,199266.9540489076,172318.80022269455,122460454.84989746,518900.23241481977,486825.157
World,2020-06-22,7951213330,592593.7236095306,1062172.495078193,1038934.2436197905,820250.3550941396,514264.5420475413,283750.526773349,273029.71090555243,135547835.05243775,574355.2332730413,524746.1799999999
World,2020-06-29,7951213330,703093.737227927,1198311.0707513536,1185216.7296889685,956370.6527563159,633667.4770769542,373490.4718589749,365494.34562009474,148733050.6283114,630224.7907979296,561479.2609999999
World,2020-07-06,7951213330,827820.825782433,1395014.5919447562,1348010.1022991864,1104564.2123029756,751219.9023443356,481054.1506457604,454263.5100728899,164662865.4820345,697724.0062798072,598212.293
World,2020-07-13,7951213330,959443.6269955451,1593159.2224849912,1538092.3309272972,1250773.809825256,878280.3743671495,600649.6694040531,542316.6283011194,181560648.4957576,769324.7817616848,637680.351
World,2020-07-20,7951213330,1106626.3829330844,1784260.9904807252,1729947.3949554882,1399713.1287824707,1032108.6572259637,745162.3934013125,637505.3040910605,198762622.92281404,842214.503910229,681053.394
World,2020-07-27,7951213330,1253380.4878485736,1991813.555664833,1926946.7118822813,1577192.9200242693,1172141.8725250924,899320.0536066396,740745.6631349627,217184447.52320382,920273.0827254399,726386.409
World,2020-08-03,7951213330,1386558.9051877263,2160468.365968957,2107132.16247709,1726880.5745144426,1296322.7471739796,1019785.7053571988,834380.9371616129,232701943.9347764,986025.1861643068,771762.488
World,2020-08-10,7951213330,1516559.3174607255,2342179.8217205512,2290033.6708669993,1899405.067865626,1423645.351768727,1132733.1041972514,938066.6831872438,249211519.05301562,1055981.012936507,817497.478
World,2020-08-17,7951213330,1637293.7220484938,2522590.1153396023,2465191.7186283087,2041642.8863176727,1558307.259625332,1245779.3653334246,1052794.5295240309,263974492.78458822,1118535.9863753738,861646.499
World,2020-08-24,7951213330,1763485.5137947008,2697054.879228165,2631484.4411009676,2182129.929347034,1679642.9836754997,1336669.0424942265,1168721.6093566467,276826742.8628275,1172994.673147574,904517.5229999999
World,2020-08-31,7951213330,1882053.1492132419,2863095.9997580047,2767500.4392333054,2318970.05674129,1808533.3831119365,1417352.6489933573,1288516.6223309936,288267030.90106666,1221470.469919774,945933.5549999999
World,2020-09-07,7951213330,2011919.2557565405,3029995.093200375,2901418.071096383,2467025.2814051313,1942584.882735612,1502953.8006435775,1385783.5968400661,299929632.93071693,1270888.2751301564,989352.588
World,2020-09-14,7951213330,2137508.680902221,3185108.6413907497,3032770.9875719193,2627215.3357450003,2058386.725710239,1578391.9446816344,1483783.890037093,311244684.0537005,1318833.4070072055,1028890.6039999999
World,2020-09-21,7951213330,2264101.191021234,3349497.7876937445,3152384.849045903,2760141.7127493103,2181382.1403326774,1678201.1891279002,1588143.6144739168,322151251.5497276,1365047.6760581678,1067657.626
World,2020-09-28,7951213330,2375968.7370979497,3496258.595699323,3304626.184175068,2893626.4510510196,2293586.0641352963,1791906.7060829087,1692022.0075463501,332803746.9524213,1410185.3684424632,1105487.628
World,2020-10-05,7951213330,2494538.5234803874,3654758.1666723336,3467242.0699043027,3013507.0126411812,2418701.1289357143,1903767.5307819133,1806334.7018151067,346408033.02414733,1467830.648407404,1142834.707
World,2020-10-12,7951213330,2622880.483272417,3829635.563059177,3632496.625929653,3149141.636376284,2563029.7868064493,2028364.058161945,1918084.0242724193,360906969.1358733,1529266.8183723446,1180638.739
World,2020-10-19,7951213330,2752464.1959286937,4011601.564218621,3789588.6458348003,3286721.9562220816,2701262.6217309996,2154881.903933429,2015758.8332755046,378379071.79426605,1603301.1516706187,1218822.794
World,2020-10-26,7951213330,2891886.686046073,4203494.343266136,3955024.533568824,3440286.3069157386,2839764.1038644877,2296679.5034115002,2128335.543118831,398210740.2126587,1687333.6449688927,1262114.5156666667
World,2020-11-02,7951213330,3071661.059969935,4433564.453965765,4161889.160186072,3626759.01743106,3013426.0783404405,2479052.1550971917,2296383.3801785246,425206210.9140191,1801721.2326865217,1310852.5476666666
World,2020-11-09,7951213330,3257052.9324902594,4672563.215846568,4358886.525935483,3818683.720318698,3193052.9270729865,2670706.832532786,2466623.9805744397,453313232.1753795,1920818.7804041505,1368888.6166666667
World,2020-11-16,7951213330,3446796.8550063255,4885956.501905368,4557945.162401797,4017970.1794493333,3371777.687565325,2842005.90038419,2635996.647902104,481743799.21007323,2041287.284788446,1434523.6196666667
World,2020-11-23,7951213330,3635351.584025647,5121449.545467554,4758844.108766,4237861.549617599,3547789.913906857,2999550.736031494,2806418.3581836815,509826162.40476704,2160280.3491727416,1506810.6526666665
