iso3c,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
SLE,2020-10-12,7976985,2423.411356301539,7799.849891532568,6596.065160456951,2962.856608926989,-877.7424447994642,-3806.608059237972,-5970.912428097649,2423.411356301539,0,72.009
SLE,2020-10-19,7976985,2497.087208030845,8070.774854404755,6778.980372235376,3037.233637708636,-915.7547179147375,-3832.877805422315,-6078.088896099819,2497.087208030845,0,73.00999999999999
SLE,2020-10-26,7976985,2574.9456524391103,8342.976236006842,6970.909957388264,3114.0537867592234,-923.525156123016,-3852.6312328180384,-6190.7576258595,2574.9456524391103,0,74.011
SLE,2020-11-02,7976985,2652.845620590002,8613.644257298794,7160.338861205849,3254.2214412136614,-931.4101809898607,-3951.845596026176,-6301.844331792124,2652.845620590002,0,74.011
SLE,2020-11-09,7976985,2730.745588740894,8978.706529094627,7349.580283344094,3287.0366619380056,-924.4716524967985,-4067.126762234261,-6409.034788480112,2730.745588740894,0,74.011
SLE,2020-11-16,7976985,2808.368218767869,9205.123977092228,7542.8995591176,3391.3913764121066,-907.3196518952229,-4143.994292225221,-6513.701580776744,2808.368218767869,0,74.011
SLE,2020-11-23,7976985,2885.9908487948437,9433.131155562563,7736.184864574691,3494.7654057057825,-889.474853597455,-4220.670661598655,-6622.81165045054,2885.9908487948437,0,74.011
SLE,2020-11-30,7976985,2974.319447665927,9661.766280790549,8031.091100692987,3601.941784361065,-866.2664596766064,-4299.456474896269,-6731.573882671622,2974.319447665927,0,74.011
SLE,2020-12-07,7976985,3027.103709123776,9934.53215203759,8398.26981369013,3707.5723199529025,-793.9795608301619,-4376.063865149747,-6840.306539929844,3027.103709123776,0,74.011
SLE,2020-12-14,7976985,3101.470851867772,10206.36917530507,8771.043555911248,3806.3680435603137,-755.2049125621721,-4451.824075427991,-6957.467630285368,3101.470851867772,0,75.012
SLE,2020-12-21,7976985,3184.1260452890524,10478.381422344999,9140.010555835599,3806.711488554236,-793.2674413748096,-4528.625660047605,-7071.374824205958,3184.1260452890524,0,75.012
SLE,2020-12-28,7976985,3305.6136448252355,10751.574116838905,9502.272451557435,3960.0519509254154,-718.1989342725252,-4614.728684137351,-7202.720244827983,3305.6136448252355,0,76.01299999999999
SLE,2021-01-04,7976985,3432.1915681537166,11029.231716916316,9781.751671380962,4105.739552921544,-601.604695207705,-4694.047001360361,-7333.212963665068,3432.1915681537166,0,76.01299999999999
SLE,2021-01-11,7976985,3555.4801284601976,11290.551239526843,10038.493756355761,4205.135881810042,-605.837370027571,-4771.265170486398,-7465.725726225553,3555.4801284601976,0,77.014
SLE,2021-01-18,7976985,3678.761747727929,11550.331375714024,10369.677643211604,4284.6664434933655,-573.5675647460506,-4855.28074772929,-7603.304781954398,3678.761747727929,0,77.014
SLE,2021-01-25,7976985,3820.9013960121843,11808.822497474244,10713.595281997743,4300.089277497989,-567.07699520812,-4940.009601794419,-7725.381582427253,3820.9013960121843,0,77.014
SLE,2021-02-01,7976985,3909.2968248545376,12082.736567494361,11053.746750230352,4421.317949108305,-566.5271071546971,-5037.412767003194,-7850.420626812977,3909.2968248545376,0,79.01599999999999
SLE,2021-02-08,7976985,3990.457108319685,12343.790397227242,11385.507217444227,4584.0403250539885,-561.8446421256382,-5134.598945374488,-7989.5035572606585,3990.457108319685,0,79.01599999999999
SLE,2021-02-15,7976985,4071.4613795582814,12602.394058247526,11715.61582583935,4740.970755046117,-561.4362760056962,-5235.210473216642,-8128.4006693294805,4071.4613795582814,0,79.01599999999999
SLE,2021-02-22,7976985,4153.489516192658,12862.3355948826,12045.667312339387,4879.312267104208,-514.4296836417053,-5329.193662355604,-8268.858306115902,4153.489516192658,0,79.01599999999999
SLE,2021-03-01,7976985,4234.122349632349,13125.163637200696,12387.55212794892,5001.5507658504375,-460.33763023186214,-5425.653566180038,-8408.672206197287,4234.122349632349,0,79.01599999999999
SLE,2021-03-08,7976985,4314.7551830720395,13386.41722594478,12723.898275835723,5074.956522422731,-452.6712432132968,-5519.777700086561,-8547.056666134135,4314.7551830720395,0,79.01599999999999
SLE,2021-03-15,7976985,4430.8288552749955,13665.888704850558,13048.627954184469,5258.573495717591,-448.5318262504885,-5616.054163778958,-8666.445287894452,4430.8288552749955,0,79.01599999999999
SLE,2021-03-22,7976985,4549.5116726171755,13997.754967790672,13375.994615391472,5414.628438799374,-434.12429608608284,-5750.835329469538,-8793.832856248378,4549.5116726171755,0,79.01599999999999
