continent,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Africa,2021-06-07,1371693397,1258477.791732612,1528321.8078883805,1422482.7511906507,1258477.791732612,656846.6211759385,439068.17267831945,361868.95952150907,19293957.811984602,350799.2329451746,132576.773
Europe,2021-06-07,748005174,1674579.586150177,1676076.8302714645,1675842.478739801,1674898.7140416375,1673829.7534521236,1672974.426735067,1672504.978909035,81859448.85814343,1670600.9971049682,1079142.393
Oceania,2021-06-07,43198762,-5443.72463155257,2149.940453268406,916.6649584418241,-1881.1565375911152,-6120.463440796839,-8186.892201562278,-8822.856158056551,-80664.23446060893,-3841.1540219337585,1254.078
Americas,2021-06-14,1026788511,2515142.843208093,2576261.613345634,2562554.3580334056,2529462.356928074,2487325.778623373,2462179.6079647117,2451291.339724721,111674196.68619303,2326545.7642956884,1830619.392
Asia,2021-06-14,4679006159,6338222.737133091,7994885.072374379,7832499.019825995,6849718.2667629365,5015846.597242893,3418389.636072206,2341553.8712072046,11761644.264423646,230620.47577301267,744902.417
Africa,2021-06-14,1371693397,1288598.6716762374,1559179.3938253066,1455368.5203656019,1288598.6716762374,683802.2859706461,463224.6987341198,385246.9027698246,19575305.646116856,355914.64811121556,134993.80299999999
Europe,2021-06-14,748005174,1694053.6381659126,1695583.2388721386,1695188.830115541,1694257.738259004,1693094.4583595889,1692139.801877629,1691683.4288377964,82787259.07633138,1689535.899516967,1086397.41
Oceania,2021-06-14,43198762,-5306.697929701234,2595.553341432269,1273.7275436242903,-1609.8738444345686,-5887.431119982137,-8086.310538382226,-8749.521013169304,-78181.7767820939,-3722.941751528281,1255.079
Americas,2021-06-21,1026788511,2552306.8213049397,2614342.7093523503,2601436.6575616756,2567187.4438284836,2524190.145271385,2497968.2509371815,2487231.963988462,113063466.97173755,2355488.8952445323,1861760.411
Asia,2021-06-21,4679006159,6487454.4439004315,8176572.628410747,7993822.629958001,7024932.065603986,5224014.163207058,3512990.9970966796,2391142.5717295073,12249401.715295201,240184.34735872946,765660.434
Africa,2021-06-21,1371693397,1321770.298402991,1595015.0712052335,1493920.9110510359,1321770.298402991,711955.8896317472,491384.88505523646,414019.6255256857,19964112.48024911,362983.86327725655,137945.829
Europe,2021-06-21,748005174,1711670.885180382,1713198.1612431486,1712695.965627848,1711802.9719387111,1710650.6130998977,1709493.8230778854,1709048.2889638548,83623958.69451931,1706611.4019289655,1092771.421
Oceania,2021-06-21,43198762,-5306.143420477999,2699.9555281057665,1571.7437450428215,-1448.7722872776894,-5883.089803035187,-8172.312925710993,-8833.820332795616,-79370.11910357884,-3779.529481122802,1266.083
Americas,2021-06-28,1026788511,2590342.5694182543,2652975.1715042754,2640906.4654993005,2605454.8714640182,2562016.9860305,2535011.1700426824,2524575.8230705243,114529637.25728206,2386034.1095267097,1890006.412
Asia,2021-06-28,4679006159,6638234.567682782,8348953.098620104,8199711.58252989,7211715.513189645,5403457.8123620795,3605785.449451865,2446496.881380873,12756390.246166758,250125.29894444623,783102.453
Africa,2021-06-28,1371693397,1358317.4776181888,1636068.5722917642,1537844.6359163155,1358317.4776181888,745491.9691711199,521235.4879705396,444285.33173215867,20438191.314381365,371603.47844329756,141631.847
Europe,2021-06-28,748005174,1727641.9612064823,1729133.234094812,1728579.7478110862,1727641.9612064823,1726348.265352486,1725139.2799947197,1724710.763781287,84378875.35270724,1722017.8643409642,1099772.429
Oceania,2021-06-28,43198762,-5281.711512282285,3075.4577747995904,1958.355397697535,-1281.8788069323002,-5785.120141436319,-8122.981042396429,-8751.179270219665,-80663.46142506381,-3841.1172107173243,1276.086
Americas,2021-07-05,1026788511,2619333.86559174,2683427.1867027846,2671919.3476186614,2635175.7209929153,2591011.343047071,2563351.3829674604,2553264.46140614,115608630.66016681,2408513.1387534756,1916457.41
Asia,2021-07-05,4679006159,6792909.710708864,8535043.77506415,8327290.112163583,7393583.330455004,5545245.269459819,3710282.421064332,2503300.715719889,13414830.627190335,263035.8946507909,799396.451
Africa,2021-07-05,1371693397,1398668.3099804386,1678402.8970507898,1587452.6882851687,1398668.3099804386,786361.9370722366,553570.9519736002,473832.8704369248,20836523.12794069,378845.8750534671,147036.876
Europe,2021-07-05,748005174,1748342.701307828,1749718.1490118126,1749220.1518725397,1748342.701307828,1746844.9222563724,1745525.3111604932,1745149.2829895657,85365430.80680916,1742151.6491185543,1106759.43
Oceania,2021-07-05,43198762,-5155.04017165267,3666.4511429714503,2485.5948874730166,-963.5845928222927,-5559.787493774988,-7961.569040670395,-8570.991669536308,-80400.23858525848,-3828.582789774214,1293.089
Americas,2021-07-12,1026788511,2648932.1139365584,2712791.693087227,2702538.5822979105,2664955.684661156,2620363.436204637,2591729.94053192,2581907.862019428,116721783.26305158,2431703.8179802415,1939218.4
Asia,2021-07-12,4679006159,6951929.661080536,8736714.584581658,8539551.52596296,7568059.1614681445,5704196.870250118,3799928.3463393874,2573932.0023107072,14111637.288213912,276698.77035713557,821151.4569999999
Africa,2021-07-12,1371693397,1443891.193638701,1719313.0734142463,1637195.5019046722,1443891.193638701,823538.6660331162,588647.7592527487,502046.1064229115,21401383.94150002,389116.0716636367,152395.866
Europe,2021-07-12,748005174,1771517.1523895443,1772925.262142476,1772324.2918596496,1771517.1523895443,1769809.1488981338,1768387.5752794151,1767997.550563433,86470750.50091107,1764709.1938961444,1113441.455
Oceania,2021-07-12,43198762,-4935.895493592282,4397.155962140128,3308.856390799121,-530.542462441987,-5207.8643368076655,-7734.937568894269,-8288.469165790159,-79225.61574545312,-3772.6483688311005,1327.088
Americas,2021-07-19,1026788511,2680699.955891711,2744607.3071896653,2735642.841838106,2696522.092130601,2651865.739549705,2622874.744678437,2612871.987268361,117957515.06593636,2457448.2305403408,1960685.412
Asia,2021-07-19,4679006159,7107710.084196385,8936716.930864993,8766328.320389275,7751725.416869961,5859179.071390195,3899363.3346061804,2650323.995729392,14808197.10923749,290356.8060634802,842223.459
Africa,2021-07-19,1371693397,1487974.3352867514,1759430.2524882155,1693984.7305672402,1487974.3352867514,861152.9308465669,622169.3484444042,532333.757370836,21924466.755059343,398626.6682738063,158614.876
Europe,2021-07-19,748005174,1794486.6413012967,1795981.8187116808,1795317.661730931,1794486.6413012967,1792676.7529067663,1791074.1814287999,1790676.0640902268,87571013.39501299,1787163.5386737345,1120182.469
Oceania,2021-07-19,43198762,-4673.646447998407,4958.075064328464,3824.2073646489685,-81.30124657782505,-4833.839178697604,-7576.07084379042,-7875.6827295775565,-78685.19290564783,-3746.913947887992,1393.0910000000001
Americas,2021-07-26,1026788511,2715759.30935878,2780968.7834639046,2772292.7416847404,2731490.691620775,2687343.7480319524,2657539.575455642,2646896.7523330455,119379086.86882113,2487064.309767107,1980289.409
Asia,2021-07-26,4679006159,7286350.738604555,9157064.803371795,8990910.808488376,7937407.809451289,6024083.352984221,4010716.0880778916,2728056.5104508377,15616313.310261067,306202.22176982486,870349.48
Africa,2021-07-26,1371693397,1532000.0487254239,1810254.9078160122,1743319.6629171625,1532000.0487254239,901446.7884301995,656878.2618064403,564570.0696510322,22391108.56861867,407111.06488397584,165237.884
Europe,2021-07-26,748005174,1817865.2168474693,1819415.7395462338,1818698.588015128,1817865.2168474693,1815857.1276182183,1814204.6044269411,1813709.2857668884,88689999.18911491,1809999.9834513247,1127238.483
Oceania,2021-07-26,43198762,-4444.643930444397,5284.958183300185,4390.069119959187,313.305240394778,-4476.080125066199,-7352.504241150315,-7613.747196046374,-78169.97006584248,-3722.3795269448806,1489.089
Americas,2021-08-02,1026788511,2752700.425108192,2819821.6199565176,2810009.5494592916,2768675.5607671477,2725047.5902607907,2694112.9465500205,2682956.8432803545,120905530.69751234,2518865.2228648406,2000670.392
Asia,2021-08-02,4679006159,7481446.348214402,9489749.773531074,9215292.552785447,8180546.049288561,6224574.492466899,4145119.591289624,2828377.7835904956,16956759.351284645,332485.47747616953,900359.481
Africa,2021-08-02,1371693397,1574666.485084917,1853739.312598159,1791887.3337415645,1574666.485084917,937827.849297656,694729.3489838928,596699.0251255729,22740996.382177997,413472.6614941454,171857.875
Europe,2021-08-02,748005174,1840630.3900971476,1842070.843304914,1841441.6154323467,1840630.3900971476,1838596.231262974,1836735.7453772577,1836232.744510777,89781805.4419265,1832281.7437127857,1134826.483
Oceania,2021-08-02,43198762,-4203.506581306709,5604.792473905069,4968.05822452564,715.2555352859216,-4203.506581306709,-7132.782506672373,-7321.057925757347,-77850.65690345649,-3707.174138259833,1558.095
Americas,2021-08-09,1026788511,2793951.5946520814,2861581.8915825905,2851949.6053744736,2810144.776592473,2766995.003439588,2735083.360416552,2723078.1058596997,122656351.32620357,2555340.652629241,2020662.392
Asia,2021-08-09,4679006159,7663922.587471219,9816189.04786545,9451076.644274695,8360135.866498404,6407899.146217827,4267422.189470421,2917325.3364544366,18287605.152308222,358580.49318251415,933031.491
Africa,2021-08-09,1371693397,1612969.651803661,1900538.2619726555,1836758.703463294,1612969.651803661,968007.3760593192,734553.0739210809,621087.5652699629,22999320.195737325,418169.458104315,178231.872
Europe,2021-08-09,748005174,1866346.5640365465,1867781.2397968087,1867192.2697466789,1866346.5640365465,1864229.4250332383,1862183.59138271,1861673.1060643056,91015400.05473809,1857457.143974247,1142857.499
Oceania,2021-08-09,43198762,-4119.381826304678,6100.081756974262,5446.051492631593,1059.5385730582882,-4119.381826304678,-6790.24611797341,-7208.456104173429,-78430.14374107053,-3734.768749574787,1652.0910000000001
Americas,2021-08-16,1026788511,2840261.535832611,2907788.034419289,2897800.833310281,2856448.7908205115,2813396.2850898714,2780498.686689545,2767554.1010305155,124652363.1548948,2596924.2323936415,2040800.398
Asia,2021-08-16,4679006159,7845758.225939966,10070008.790452749,9708607.599493288,8534247.650195478,6578199.27841569,4372981.678918034,3005486.6762656304,19730734.5933318,386877.1488888588,966894.516
Africa,2021-08-16,1371693397,1651346.5669575732,1944646.2629445514,1880440.611665906,1651346.5669575732,998010.2972376649,758448.7129090767,640588.6626231739,23280414.00929665,423280.25471448456,184428.881
