continent,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Europe,2021-04-26,747759214,3876.8386401473545,3883.6838684475256,3880.244546846983,3876.8386401473545,3843.9407865538146,3821.116364910351,3811.5262158463775,190087.98877800323,3801.7597755600646,3224.1420000000003
Oceania,2021-04-26,44446737,43.68609114774715,64.23161473419717,61.387044299297614,50.87431649128874,37.373537068031865,26.9804661182142,26.330634786109563,746.0046488649542,32.43498473325888,2.143
Americas,2021-05-03,1030271939,5644.114396749259,5774.049982048104,5762.911720559628,5653.002558239367,5530.698993322177,5455.82838394541,5446.474554807787,234830.61393892617,4696.612278778523,5499.857
Asia,2021-05-03,4667759697,55992.158105217204,84098.1016244841,79095.47502418807,55992.158105217204,35808.17273753363,23610.74647077585,21461.137087837826,76724.92858492813,1534.4985716985625,5150.715
Africa,2021-05-03,1392394303,4650.142839445122,5547.3272929330415,5146.133035047956,4650.142839445122,2961.7628709858486,2436.826907409853,2368.176085590699,64410.97662531346,1150.1960111663118,303.858
Europe,2021-05-03,747759214,2433.875962268049,2455.800927135697,2452.042835114178,2433.875962268049,2407.6858593980655,2381.3821664735665,2377.0060445994045,118303.55329413305,2366.071065882661,2772.143
Oceania,2021-05-03,44446737,43.548603867418514,61.33422797521717,60.05254445421487,49.1413129174977,37.91045923171946,33.09634563033547,30.20009999472104,815.4123600784677,35.452711307759465,1.715
Americas,2021-05-10,1030271939,5571.358024486771,5716.89154968351,5683.887500745541,5581.669192273149,5449.371918516543,5374.3342578361835,5371.261773609611,229349.06631987874,4586.981326397575,4993.857
Asia,2021-05-10,4667759697,51832.623637092955,86495.61937083746,83338.03493090787,55283.46526519838,33180.83047285625,23403.855084686467,21574.63704093013,76893.21429921384,1537.8642859842766,5557.927
Africa,2021-05-10,1392394303,4860.636719507025,5613.407136295785,5459.362516217572,4860.636719507025,2964.5899696580705,2433.692203562136,2251.818532067142,66478.17662531346,1187.1102968805974,313
Europe,2021-05-10,747759214,2249.0937588345,2269.7987170570564,2268.0858010624106,2249.0937588345,2231.2867673342007,2216.1046254087014,2211.1732646043356,109691.41043699012,2193.8282087398024,2392.572
Oceania,2021-05-10,44446737,12.812386402090695,45.25923345915444,43.17285946750874,27.058978147251686,12.812386402090695,7.489735388673858,4.833469503047892,287.0695029356105,12.481282736330892,1
Americas,2021-05-17,1030271939,5552.940162257088,5710.242084299649,5687.297739531474,5573.093022105419,5445.76532117534,5381.198218744012,5306.39996013246,226780.37584368835,4535.607516873767,4797.001
Asia,2021-05-17,4667759697,56471.62859016237,86868.96354077161,82275.20098881212,57655.141010551015,33263.03782507762,17711.67957846101,16833.349899397545,76565.78572778526,1531.3157145557052,5608.856
Africa,2021-05-17,1392394303,4761.676594595211,5603.8845204628005,5404.8768395048255,4761.676594595211,3013.355659724341,2473.021970655783,2342.1336271397972,66241.37662531347,1182.881725452026,260.288
Europe,2021-05-17,747759214,1784.874011970948,1785.8177622183136,1785.3514989655314,1784.874011970948,1743.9126512534901,1718.6191562038996,1717.8047565181257,84672.8390084188,1693.456780168376,1993.9959999999999
Oceania,2021-05-17,44446737,31.36151772339336,59.49575651988462,57.21655793527474,40.10254670612251,25.666691468473005,19.714047744492582,18.703089947065468,478.29807436418196,20.795568450616607,2.2859999999999996
Americas,2021-05-24,1030271939,5231.690422341457,5411.064009148084,5390.599699863899,5273.803782303466,5131.196290194201,5030.864859844757,5016.8152446280465,210782.87584368815,4215.657516873763,4568.857
Asia,2021-05-24,4667759697,67231.8959030582,90632.4751938024,87580.55786917904,67737.50820757206,31781.16617299336,16502.36692174549,15021.485843847964,72573.92858492809,1451.4785716985618,5519.145
Africa,2021-05-24,1392394303,5089.483943729357,6013.115314089841,5985.003765670124,5089.483943729357,3307.5380128722104,2694.2646776546417,2627.45949441188,71263.77662531346,1272.5674397377404,301.29
Europe,2021-05-24,747759214,1447.5432746660204,1447.5432746660204,1447.5432746660204,1447.5432746660204,1407.8280975701232,1387.2637434320889,1385.1232959724096,68159.9818655612,1363.199637311224,1617.002
Oceania,2021-05-24,44446737,29.07663931618691,63.03365186560754,58.36421144194688,43.96009738332202,28.46016487904003,22.89573749047869,18.695077916472812,571.6123600784716,24.852711307759638,2.857
Americas,2021-05-31,1030271939,5419.62386970814,5566.8483214883545,5526.44024940957,5419.62386970814,5287.567983584782,5207.023995925988,5150.249671720539,216233.59012940194,4324.671802588039,4736.570000000001
Asia,2021-05-31,4667759697,45089.91859844344,75794.04476939596,70465.83922263425,52053.02359158952,27411.512436490557,13560.212800631602,13014.99233543461,66747.21429921381,1334.9442859842761,4825.861
Africa,2021-05-31,1392394303,5154.051717340228,6057.062580384221,6028.038927271205,5154.051717340228,3432.1184954084256,2859.1072284175816,2698.5350215821877,75902.17662531347,1355.3960111663118,279.717
Europe,2021-05-31,747759214,1620.2964392178462,1623.7043073592135,1621.1775770915506,1620.2964392178462,1588.7421336765499,1564.3542375972238,1559.2044341370658,76929.4104369896,1538.5882087397918,1383.57
Oceania,2021-05-31,44446737,4.471837101117706,35.299767722191135,29.12311647391831,14.883389490520715,3.8900302171915278,-4.2792792863596345,-5.111060248159569,70.21236007847224,3.052711307759663,1
Americas,2021-06-07,1030271939,5034.567466931598,5134.183843348732,5111.96594791951,5034.567466931598,4834.981609673917,4749.455686194054,4735.357518576837,193074.77676534685,3861.495535306937,4308.999
Asia,2021-06-07,4667759697,39017.030944709,63841.949758879804,62182.61184278528,43272.96038535993,22879.963769801412,12776.709259448613,12258.117926837263,77991.26652655637,1559.8253305311273,4054.1420000000003
Africa,2021-06-07,1392394303,4419.213871762113,5310.87069338639,5224.433971249291,4419.213871762113,2918.788321255415,2407.203640747733,2166.8846369427456,44349.078990904854,791.9478391233009,278.289
Europe,2021-06-07,747759214,2461.9873706383487,2467.3973120465407,2465.3763050606567,2461.9873706383487,2430.40932949934,2404.5910513679114,2401.5404924594077,118750.6792541938,2375.013585083876,1127.9093333333333
Oceania,2021-06-07,44446737,23.293767634519742,42.67039089283822,41.33745783833975,30.11052058954537,19.119746857739624,11.171603719170365,11.126261405810032,431.6494107697161,18.76736568563983,0.286
Americas,2021-06-14,1030271939,5102.357601645206,5226.6599433004285,5215.147923335791,5102.357601645206,4919.541865414744,4822.084895543794,4815.073127901562,199512.15771772774,3990.243154354555,4523.568
Asia,2021-06-14,4667759697,22707.340992298465,39992.95288874053,37812.93295738609,28050.26203887517,17492.162822592516,11836.566428002196,11498.772153814109,70727.69509798494,1414.5539019596988,3829.429
Africa,2021-06-14,1392394303,4129.9217843290835,5196.545978701532,5087.780721310364,4259.456511703876,2949.28395122203,2403.3109657975133,2310.0889444920003,41033.87899090485,732.7478391233009,345.29
Europe,2021-06-14,747759214,2777.6259077758614,2789.0571207790767,2788.3142716415214,2777.6259077758614,2760.4449732975277,2737.6177121689325,2735.337310690405,135573.53639705098,2711.4707279410195,1045.86
Oceania,2021-06-14,44446737,28.228261375269692,46.922502713570005,46.69199456618154,36.155393331572164,25.1801987874885,18.156424732319657,17.189110780365297,565.0494107697161,24.56736568563983,0.143
Americas,2021-06-21,1030271939,4949.329284243675,5021.489594891975,5008.605889658806,4949.329284243675,4764.146935549477,4662.918518736363,4640.198212729132,193459.18152725158,3869.1836305450315,4436.688
Asia,2021-06-21,4667759697,19491.630962420903,35179.210364647675,34016.09299472463,22816.571929280726,14335.164574273613,10837.483118403761,10273.000980373474,69897.07433830979,1397.9414867661958,2963.288
Africa,2021-06-21,1392394303,4493.614932960785,5938.991784125252,5443.331278904551,4601.833189471635,3368.761853091846,2617.4405985140397,2543.053616335069,56664.278990904844,1011.8621248375865,421.718
Europe,2021-06-21,747759214,2529.11902468478,2556.3244221861937,2548.066708416143,2529.11902468478,2503.971668600643,2482.047853428421,2478.8220751144354,122260.67925419335,2445.213585083867,914.717
Oceania,2021-06-21,44446737,4.954969738637257,28.568502771362112,27.563131959365577,16.249877982649924,4.954969738637257,-2.924808988641835,-3.7452047094436023,62.33512505543668,2.7102228284972467,1.572
Americas,2021-06-28,1030271939,5073.851336537746,5170.792525907379,5162.395696597848,5073.851336537746,4917.501516738655,4848.4268258557,4837.906910725633,206617.39581296552,4132.34791625931,4025.143
Asia,2021-06-28,4667759697,19140.833548708346,31379.37095249387,30074.99076365958,22739.798824540638,15643.085531474404,11016.025665325855,10433.813862624495,72597.64576688127,1451.9529153376252,2489.86
Africa,2021-06-28,1392394303,4718.176728337134,5835.311087174628,5552.770169118587,4845.216998475754,3673.4671398533283,2942.577170009114,2808.4334077577664,69075.47899090484,1233.490696266158,526.574
Europe,2021-06-28,747759214,2281.185752290966,2294.4966625746506,2293.84272589199,2281.4122437257774,2265.5665300983273,2240.9703572028343,2240.6635477657883,110777.53639705095,2215.550727941019,1003.716
Oceania,2021-06-28,44446737,5.3065130857379055,30.919648840451867,28.555585907569778,13.604695648086544,2.9290180592667268,-6.273178208268614,-10.236307242976329,-64.49344637314064,-2.8040628857887233,1.429
Americas,2021-07-05,1030271939,4057.585385312713,4207.611120010141,4203.098294979324,4091.962537117749,3950.698154269122,3869.7998554641254,3852.7229192632194,163295.2875180352,3265.905750360704,3771.429
Asia,2021-07-05,4667759697,18360.04858764337,30874.999468320442,28155.295809820513,21945.90184437822,15581.959683865873,11898.693868681452,10198.171639990142,95295.01750267236,1905.9003500534473,2323.857
Africa,2021-07-05,1392394303,4748.965714436255,5885.276233541964,5666.754230151548,5036.9489073151435,3844.879352202255,3226.7140424241034,3087.293085007744,72246.64114144247,1290.1185918114727,772.147
Europe,2021-07-05,747759214,2959.5630642906185,2977.845527771546,2974.6531044255726,2961.9677792504094,2944.6332515437384,2921.117888293831,2918.2512270496886,144355.97264897148,2887.1194529794298,1003.574
Oceania,2021-07-05,44446737,21.639706625225806,40.81021797207571,40.05436960489049,27.746921375230087,16.323325579550318,10.715117898572327,7.148330772559919,180.40037851165033,7.8434947178978405,2.429
Americas,2021-07-12,1030271939,4051.582579563974,4210.900871364253,4208.026828332615,4121.433814654824,3980.4870363984746,3909.3886664703914,3897.0603651163296,166433.50180374936,3328.670036074987,3348.57
Asia,2021-07-12,4667759697,19178.534736368303,32104.415293135164,29069.241601242764,24244.026666856196,17244.559004909228,13389.453841912245,11820.191178801824,100518.44607410088,2010.3689214820176,3106.0009999999997
Africa,2021-07-12,1392394303,4210.788385816126,6516.035340101895,6285.8569208551025,5337.847259056238,3849.0608237269535,2861.1622951452264,2512.099910552738,96509.04114144237,1723.3757346686139,765.57
Europe,2021-07-12,747759214,3324.3609715148787,3344.879788637234,3340.350486768481,3327.099723576554,3299.152684771627,3271.7881569478423,3265.5518918248295,161704.25836325658,3234.0851672651315,957.4309999999999
Oceania,2021-07-12,44446737,46.21441382725557,64.35096491518078,57.512379713191876,46.21441382725557,28.408765540419267,20.510370633066746,20.15368913179501,382.14323565451303,16.614923289326654,4.857
