continent,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Europe,2021-01-04,746515263,157.33652047402555,157.36028915867962,157.35601054975805,157.3433694579162,157.3294984536222,157.319451372849,157.31734148221489,7866.076079204754,157.32152158409505,78.36386568294452
Oceania,2021-01-04,45038907,-16.62187718538827,0.40515392292950375,-1.902470461729827,-8.246099321070984,-16.62187718538827,-21.580983783825037,-22.92803190816886,-286.1099314449082,-11.921247143537844,2.6578264876632107
Americas,2021-01-11,1037129342,141.02268245480835,142.03981015840853,141.86000913331458,141.02268245480835,139.68406731082166,138.90918159941592,138.83164876697617,7429.712539960276,137.58726925852363,98.8042272230561
Asia,2021-01-11,4695793204,42.50929516162285,66.65093396101942,64.49808878328744,54.975332180417226,40.580830421795696,32.214802663871325,27.41231178566811,177.6316873432446,3.5526337468648927,7.464580759250999
Africa,2021-01-11,1426736614,32.216321257094776,75.84847930225158,66.77419822581182,51.668922068939615,28.978882171191263,12.259516322099627,1.6250632877937312,1057.408871240581,18.23118743518243,5.1202540316947385
Europe,2021-01-11,746515263,162.47788474829372,162.50190701734377,162.49806916840055,162.4846843919686,162.46965167216993,162.4597404718882,162.45751893118302,8123.031136631135,162.4606227326227,83.13188594511027
Oceania,2021-01-11,45038907,-16.448128284385326,0.6154858575878196,-1.8006742502628823,-8.306638439269042,-16.448128284385326,-21.661979689953746,-22.90780137352457,-287.7071121726277,-11.987796340526153,2.677813651206056
Americas,2021-01-18,1037129342,148.09590412463672,149.11634225449717,148.93413411115054,148.09590412463672,146.750415520265,145.93614398095195,145.86267082272752,7804.123164174041,144.5207993365563,103.39401444363595
Asia,2021-01-18,4695793204,43.39226399244339,67.91210163404772,65.79761979982698,55.86685178136584,41.45907883699634,32.801582748657786,27.99590412539606,181.6178740663736,3.632357481327472,7.642697759652024
Africa,2021-01-18,1426736614,34.2107859517546,79.0443167014462,70.70962661238144,53.694908005595984,31.519595020954405,14.881567490204294,3.2960647998640646,1121.0217930566225,19.32796194925211,5.552569845242649
Europe,2021-01-18,746515263,168.2013435125017,168.22581129683684,168.22229214935876,168.20767748992432,168.19294504928715,168.18289292726766,168.18053306787516,8409.176264794669,168.18352529589336,88.194743179685
Oceania,2021-01-18,45038907,-15.964826337450118,1.3449966441186232,-1.104965089128802,-7.680122771561982,-15.964826337450118,-21.198304386791264,-22.198366703645707,-275.91142792695877,-11.496309496956616,2.6955782918977143
Americas,2021-01-25,1037129342,154.06876825736228,155.11500087227995,154.90352298292444,154.06876825736228,152.67734967427242,151.85748428223698,151.76956342277117,8119.425090448759,150.35972389719925,108.1416404152479
Asia,2021-01-25,4695793204,44.24532309325887,69.0933863684331,66.7769279338109,56.82550207290737,42.23179426018324,33.61936185341965,28.696745651123585,185.69669689614148,3.71393393792283,7.810188035699538
Africa,2021-01-25,1426736614,35.89860117011966,81.53808869888846,72.47338872098204,55.54437034543726,33.02970204022618,16.21413821828035,4.9236475298280435,1161.0943736932886,20.01886851195325,5.995187910695898
Europe,2021-01-25,746515263,173.33773251666787,173.36255254699162,173.35944723573806,173.3441662034954,173.3294342464292,173.31895320362133,173.31679250867225,8665.969459042462,173.31938918084924,93.34078384409402
