C.,S.,C. & S.,Basic data and indicators,...5,...6,...7,...8,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,...37
438,1.1,438-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
438,1.2,438-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TCE,59,56,57,59,60,61.6,56.5,48.7,49,48.5,49.8,54.9,72.8,72.900000000000006,66.5,64.3,67,62.4,59.6,61.3,56.7,69.099999999999994,79.3,85.3,98.1,NA
438,1.3,438-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
438,1.4,438-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
440,0,440-0,LITHUANIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,1.1,440-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,2600,3497,3702,4287,4454,4092,4195,3999,3635,..,..,..,4251,4459,4001,4073,4504,4979,5264,5217,5048,5322,5590,6115,..,NA
440,1.2,440-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,650,832,1012,1416,1422,1083,1271,1428,1491,1800,2000,2180,1486,1611,1341,1507,1775,1900,2012,2063,2071,2296,2523,2825,..,NA
440,1.3,440-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,1950,2665,2690,2871,3032,3009,2924,2571,2144,..,..,..,2765,2848,2660,2566,2729,3079,3252,3155,2977,3026,3067,3290,..,NA
440,1.4,440-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,4,5,6,8,9,14,24,25,37,32,34,35,22,27,33,58,60,64,75,..,..,NA
442,0,442-0,LUXEMBOURG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ Non-resident tourists staying in all types of accommodation establishments; including youth hostels, tourist private accommodation and others."
442,1.1,442-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
442,1.2,442-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TCE,768,724,778,789,863,852,836,885,867,878,913,908,914,877,847,805,874,950,945,1038,1090,1054,1046,1018,..,NA
442,1.3,442-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
442,1.4,442-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
446,0,446-0,"MACAO, CHINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,1/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ 2008: according to Statistics and Census Service, the visitor arrivals figures from year 2008 onward will not include other non-residents namely workers, students, etc."
446,1.1,446-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,7752,8151,7000,6949,7444,9162,10279,11531,11888,16673,18711,21998,27003,22933,21753,24965,28002,28082,29325,31526,30715,30950,32611,35804,39406,NA
446,1.2,446-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,4202,4690,3836,4517,5050,5197,5842,6565,6309,8324,9014,10683,12945,10610,10402,11926,12925,13577,14268,14566,14308,15703.6,17255,18493,18633,NA
446,1.3,446-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,3550,3461,3164,2432,2394,3965,4437,4966,5579,8349,9697,11315,14058,12323,11351,13040,15077,14505,15056,16960,16407,15246.7,15356,17311,20773,NA
446,1.4,446-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
450,0,450-0,MADAGASCAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Arrivals of non-resident tourists by air.
450,1.1,450-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,115,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
450,1.2,450-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,75,83,101,121,138,160,170,62,139,229,277,312,344,375,163,196,225,256,196,222,244,293,255,291,384,NA
450,1.3,450-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
450,1.4,450-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
454,0,454-0,MALAWI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Departures. 2018 estimates.
454,1.1,454-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
454,1.2,454-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,192,194,207,220,254,228,266,383,424,427,438,638,735,742,755,746,767,770,795,819,805,849,837,871,..,NA
454,1.3,454-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
454,1.4,454-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
458,0,458-0,MALAYSIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Including Singapore residents crossing the frontier by road through Johore Causeway.
458,1.1,458-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,14885,14084,12591,10886,13910,17213,22995,20756,16293,24432,24209,25298,28325,25321,31509,..,..,..,..,..,..,..,..,..,..,NA
458,1.2,458-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,7469,7138,6211,5551,7931,10222,12775,13292,10577,15703,16431,17547,20973,22052,23646,24577,24714,25033,25715,27437,25721,26757,25948,25832,26101,NA
458,1.3,458-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,7416,6946,6380,5335,5979,6991,10219,7464,5716,8729,7778,7751,7352,3269,7863,..,..,..,..,..,..,..,..,..,..,NA
458,1.4,458-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
462,0,462-0,MALDIVES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Arrivals by air.
462,1.1,462-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
462,1.2,462-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,315,339,366,396,430,467,461,485,564,617,395,602,676,683,656,792,931,958,1125,1205,1234,1286,1390,1484,1703,NA
462,1.3,462-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,7,5,3,4,4,4,3,6,2,3,0.5,0.2,9,2,..,..,..,..,..,..,NA
462,1.4,462-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,7,5,3,4,4,4,3,6,2,3,0.5,0.2,9,2,..,..,..,..,..,..,NA
466,0,466-0,MALI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ 1995-2007, 2016-2018: Arrivals by air only (Bamako-Sénou airport)."
466,1.1,466-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
466,1.2,466-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,42,98,75,83,82,86,89,96,110,113,143,153,164,190,160,169,160,134,142,168,159,173,193,203,..,NA
466,1.3,466-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
466,1.4,466-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
470,0,470-0,MALTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ From 2004 data based on departures by air and by sea.
470,1.1,470-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/,VF,1193,1123,1238,1326,1402,1387,1439,1483,1512,1428,1484,1521,1723,1832,1608,1815,1916,2007,2013,2162,2383,2592,2944,3232,3519,NA
470,1.2,470-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,1116,1054,1111,1182,1214,1216,1180,1134,1127,1156,1171,1124,1244,1291,1182,1339,1415,1443,1582,1690,1783,1966,2274,2599,2753,NA
470,1.3,470-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,77,69,127,144,188,171,259,349,385,272,314,397,479,542,426,476,501,563,431,472,600,626,670,633,766,NA
470,1.4,470-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,77,69,127,144,188,171,259,349,385,272,314,397,479,542,426,476,501,563,431,472,600,626,670,633,766,NA
584,0,584-0,MARSHALL ISLANDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ 1995-2003, 2006-2008, 2010-2018 arrivals by air. 2004, 2005, 2009 air and sea arrivals.
2014-2018 Source: South Pacific Tourism Organisation - Regional Tourism Resource Centre."
584,1.1,584-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.5,7.9,..,..,NA
584,1.2,584-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,5.5,6.2,6.4,6.4,4.5999999999999996,5.2,5.4,6,7.2,9,9.1999999999999993,5.8,7.2,6,5.4,4.5999999999999996,4.5999999999999996,4.5999999999999996,..,4.9000000000000004,6.3,5.4,6,6.8,..,NA
584,1.3,584-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1000000000000001,1.9,..,..,NA
584,1.4,584-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1000000000000001,1.9,..,..,NA
474,0,474-0,MARTINIQUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474,1.1,474-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,885,885,900,964,903,816,663,654,722,630,577,599,573,568,511,553,538,603,622,696,762,842,1003,1002,919,NA
474,1.2,474-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,457,477,513,549,564,526,460,447,453,471,484,503,501,481,442,478,497,488,490,490,487,519,536,537,556,NA
474,1.3,474-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,428,408,387,415,339,290,203,207,269,159,93,96,72,87,70,75,41,115,133,206,274,323,467,465,363,NA
474,1.4,474-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,428,408,387,415,339,290,203,207,269,159,93,96,72,87,70,75,41,92,104,178,242,281,406,393,285,NA
478,0,478-0,MAURITANIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,1.1,478-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
478,1.2,478-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,..,..,..,..,24,30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
478,1.3,478-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
478,1.4,478-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
480,0,480-0,MAURITIUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,1.1,480-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,437,509,558,579,600,678,675,709,721,739,782,807,933,970,890,956,983,984,1015,1065,1174,1307,1371,1431,1418,NA
480,1.2,480-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,422,487,536,558,578,656,660,682,702,719,761,788,907,930,871,935,965,965,993,1038,1151,1275,1342,1399,1383,NA
480,1.3,480-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,15,22,22,21,22,22,14,28,19,20,21,18,26,40,19,22,18,19,22,27,22.6,32,30,32,35,NA
480,1.4,480-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,6,12,13,13,11,11,6,18,9,9,9,8,9,13,14,9,6,6,9,13,6.5,11,7,9,13,NA
484,0,484-0,MEXICO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ Including nationals residing abroad.
2/ Including visitors of the US border zone with a length of stay under 24 hours."
484,1.1,484-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,85446,90394,92915,95214,99869,105673,100718,100153,92330,99250,103146,97701,93582,92948,88044,81953,75732,76749,78100,81042,87129,94853,99349,96497,..,NA
484,1.2,484-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,20241,21395,19351,19392,19043,20641,19810,19667,18665,20618,21915,21353,21606,22931,22346,23290,23403,23403,24151,29346,32093,35079,39291,41313,..,NA
484,1.3,484-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,2/,NA,65205,68999,73564,75822,80826,85032,80908,80487,73664,78632,81231,76348,71976,70017,65698,58664,52329,53346,53950,51696,55035,59774,60058,55184,..,NA
484,1.4,484-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,1697,2142,2253,2246,3048,3467,3805,5136,4974,6493,6707,6516,6943,6491,5701,6048,5289,5199,4555,5785,6115,6695,7681,8271,..,NA
583,0,583-0,"MICRONESIA, FEDERATED STATES OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ Arrivals in the States of Kosrae, Chuuk, Pohnpei and Yap; excluding FSM citizens. Note 2018: data source: South Pacific Tourism Organisation (2018 Annual Visitor Arrivals Report)."
583,1.1,583-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
583,1.2,583-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,..,17.600000000000001,17.2,13.4,16.100000000000001,20.5,15.3,19.100000000000001,18.2,19.3,19,19.100000000000001,21.1,25.7,47.5,44.7,35.4,38.299999999999997,42.1,35.4,31.2,29.6,..,19.2,..,NA
583,1.3,583-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
583,1.4,583-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
498,0,498-0,"MOLDOVA, REPUBLIC OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ 1995-2003: Visitors who have benefited from tourism services provided by the tourism agencies and tour operators (titulars of tourism licences).
2/ From 2004: non-resident tourists staying in all types of accommodation establishments;
Excluding the left side of the river Nistru and the municipality of Bender."
498,1.1,498-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/,VF,32.799999999999997,28.9,21.2,19.899999999999999,14.1,19,15.7,20.2,23.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
498,1.2,498-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/ 2/,TCE,32,29,21,19,14,18,16,18,21,69,67,63,70,73,60,64,75,89,95.6,93.9,94.4,121,145,160,174,NA
498,1.3,498-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,1,0.1,..,0.5,0.3,0.8,0.2,2,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
498,1.4,498-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
492,0,492-0,MONACO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,1.1,492-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
492,1.2,492-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,THS,233,226,259,278,278,300,270,263,235,250,286,313,328,324,265,279,295,292,328,329,331,336,355,347,363,NA
492,1.3,492-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,23,26,22,56,60,76,72,56,80,125,133,180,182,232,236,322,285,233,245,194,255,182,166,169,158,NA
492,1.4,492-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,23,26,22,56,60,76,72,56,80,125,133,180,182,232,236,322,285,233,245,194,255,182,166,169,158,NA
496,0,496-0,MONGOLIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,1.1,496-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,108,71,82,197,160,158,192,235,205,305,345,408,455,469,465,557,627,624,515,506,467,471,543,598,637,NA
496,1.2,496-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,..,..,..,165,155,154,187,229,201,301,339,404,452,446,412,456,460,476,418,393,386,404,469,529,577,NA
496,1.3,496-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
496,1.4,496-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
499,0,499-0,MONTENEGRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,1.1,499-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
499,1.2,499-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TCE,..,..,..,..,..,..,..,136,142,188,272,378,984,1031,1044,1088,1201,1264,1324,1350,1560,1662,1877,2077,..,NA
499,1.3,499-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
499,1.4,499-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
500,0,500-0,MONTSERRAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
